country_code,start,end,timestamp,period,val
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T00:00:00Z,1,2812
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T01:00:00Z,2,2743
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T02:00:00Z,3,2595
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T03:00:00Z,4,2494
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T04:00:00Z,5,2482
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T05:00:00Z,6,2484
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T06:00:00Z,7,2527
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T07:00:00Z,8,2633
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T08:00:00Z,9,2755
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T09:00:00Z,10,2923
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T10:00:00Z,11,3161
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T11:00:00Z,12,3318
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T12:00:00Z,13,3380
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T13:00:00Z,14,3361
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T14:00:00Z,15,3386
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T15:00:00Z,16,3469
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T16:00:00Z,17,3773
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T17:00:00Z,18,4104
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T18:00:00Z,19,4032
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T19:00:00Z,20,3821
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T20:00:00Z,21,3545
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T21:00:00Z,22,3317
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T22:00:00Z,23,3082
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T23:00:00Z,24,2820
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-02T00:00:00Z,25,2647
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-02T01:00:00Z,26,2538
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-02T02:00:00Z,27,2528
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-02T03:00:00Z,28,2537
DK,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-02T04:00:00Z,29,2657
