country_code,start,end,timestamp,period,val
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T00:00:00Z,1,458
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T00:15:00Z,2,472
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T00:30:00Z,3,467
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T00:45:00Z,4,462
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T01:00:00Z,5,459
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T01:15:00Z,6,456
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T01:30:00Z,7,448
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T01:45:00Z,8,444
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T02:00:00Z,9,436
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T02:15:00Z,10,427
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T02:30:00Z,11,430
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T02:45:00Z,12,427
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T03:00:00Z,13,423
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T03:15:00Z,14,423
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T03:30:00Z,15,421
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T03:45:00Z,16,416
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T04:00:00Z,17,413
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T04:15:00Z,18,413
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T04:30:00Z,19,407
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T04:45:00Z,20,399
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T05:00:00Z,21,395
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T05:15:00Z,22,397
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T05:30:00Z,23,396
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T05:45:00Z,24,394
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T06:00:00Z,25,394
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T06:15:00Z,26,395
LU,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T06:30:00Z,27,396
