country_code,start,end,timestamp,period,val
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T00:00:00Z,1,11061
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T00:15:00Z,2,11050
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T00:30:00Z,3,11031
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T00:45:00Z,4,10959
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T01:00:00Z,5,10903
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T01:15:00Z,6,10849
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T01:30:00Z,7,10757
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T01:45:00Z,8,10667
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T02:00:00Z,9,10503
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T02:15:00Z,10,10365
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T02:30:00Z,11,10262
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T02:45:00Z,12,10148
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T03:00:00Z,13,10096
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T03:15:00Z,14,9972
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T03:30:00Z,15,9863
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T03:45:00Z,16,9790
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T04:00:00Z,17,9743
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T04:15:00Z,18,9684
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T04:30:00Z,19,9646
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T04:45:00Z,20,9644
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T05:00:00Z,21,9639
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T05:15:00Z,22,9629
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T05:30:00Z,23,9657
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T05:45:00Z,24,9681
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T06:00:00Z,25,9735
NL,2016-12-31T23:00:00Z,2017-12-31T23:00:00Z,2017-01-01T06:15:00Z,26,9789
