country_code,start,end,timestamp,period,val
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T00:00:00Z,1,4801
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T01:00:00Z,2,4566
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T02:00:00Z,3,4392
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T03:00:00Z,4,4097
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T04:00:00Z,5,3863
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T05:00:00Z,6,3725
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T06:00:00Z,7,3666
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T07:00:00Z,8,3674
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T08:00:00Z,9,3629
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T09:00:00Z,10,3615
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T10:00:00Z,11,3908
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T11:00:00Z,12,4277
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T12:00:00Z,13,4641
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T13:00:00Z,14,4870
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T14:00:00Z,15,4640
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T15:00:00Z,16,4403
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T16:00:00Z,17,4317
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T17:00:00Z,18,4387
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T18:00:00Z,19,4866
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T19:00:00Z,20,5326
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T20:00:00Z,21,5481
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T21:00:00Z,22,5505
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T22:00:00Z,23,5285
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-01T23:00:00Z,24,5009
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-02T00:00:00Z,25,4655
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-02T01:00:00Z,26,4284
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-02T02:00:00Z,27,3981
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-02T03:00:00Z,28,3761
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-02T04:00:00Z,29,3651
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-02T05:00:00Z,30,3603
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-02T06:00:00Z,31,3624
PT,2021-12-31T23:00:00Z,2022-11-30T15:00:00Z,2022-01-02T07:00:00Z,32,3734
