geo,ar1,ar2,ar3,ar4,ma1,ma2,sma1,drift,tour_de,nights_de,lastm_de,allincl_de,sigma,ma3,sar1,sar2,sma2,intercept
AT,0.6477121056399018,-0.8981504073136041,0.26720554327601354,-0.024910113871354958,-0.15255140516289759,0.9169619541667061,-0.4586214720074457,-0.005486060715347458,-0.15292145944517932,0.005413541498179297,0.05070480913284796,0.46092764340301573,0.15382457952935147,NA,NA,NA,NA,NA
BE,0.8943550916794687,NA,NA,NA,-0.028500643500907193,-0.10562818068879434,-0.8287186193109887,NA,-0.048336081060866475,0.05502213363945162,0.059778340014756896,0.11207508842706566,0.05148190790073254,-0.20847699177988027,0.07915135318162218,NA,NA,NA
CY,1.236084203896673,-0.35404813979012933,NA,NA,NA,NA,-0.5323850272664119,NA,-0.1163562602229034,-0.03230206824663721,0.10077622474529194,0.04723127050089109,0.026062350906013682,NA,NA,NA,NA,NA
CZ,0.8899234325514529,NA,NA,NA,0.3746068496711234,-0.1246346000800634,0.21351107304411432,NA,-0.0017599370644511975,-0.006286151751283867,0.14013988817967984,0.027475928726494313,0.04045899548969264,-0.3366700116274428,-0.7681812463873897,-0.2849400837354168,-0.34799523812553823,NA
DE,0.9726900161454503,-0.216026600344345,NA,NA,NA,NA,-0.09777629098090967,-0.001536953919649251,-0.12950703949300202,0.07642678960576102,0.16354275333503765,0.07134986201853148,0.06046154865620161,NA,-0.46939151985936883,-0.05014415412584608,-0.5298313279112957,NA
DK,0.4146041907919998,NA,NA,NA,NA,NA,-0.6211040337160472,-0.0018768846806499996,-0.101504877091046,0.019510169296867205,-0.0173114184480156,0.2162549627482134,0.017066650077407066,NA,NA,NA,NA,NA
EL,1.3140168435401525,-0.5026841049677522,NA,NA,0.24696427755231953,NA,-0.3959553492932676,NA,-0.031336084780303,-0.017327951114521033,0.12299891546047188,1.220401697785145e-5,0.0232362190597788,NA,NA,NA,-0.1953399766345708,NA
ES,0.8891004899734877,NA,NA,NA,0.20203278317597476,0.22306305124709497,NA,NA,-0.061167459087230903,0.004755024735245876,0.11609266454980643,0.03700834250865273,0.02742261984718164,NA,-0.65506800028630785,-0.47196760659314885,NA,NA
FI,NA,NA,NA,NA,0.7502572101295458,0.24306416138502684,0.8863905944189233,NA,-0.1273329672802808,-0.10051954254445658,0.46989829069656547,0.17296634002824804,0.10562752355670843,NA,NA,NA,0.5389857899339597,0.3171125478462758
FR,0.969539910560995,-1.187595248757569,0.41008235761103595,NA,-0.4261066063153581,0.6965239999132671,NA,NA,-0.00837939874775151,-0.04835168873374854,0.23803400579739592,0.16654293415887877,0.13119294737387913,-0.08678387339424912,-0.31241214182534177,-0.10645290525443674,NA,NA
