country,TrainRMSE,TrainRsquared,TrainMAE,method
Austria,0.8313810125366091,0.35744834217969124,0.7131986838746392,RAI
Austria,0.7222931514374447,0.5150638049279527,0.5957885108778336,svmRadialSigma
Austria,0.7101955238948955,0.5193942506518978,0.5849831661456829,gbm
Austria,0.7073529966944772,0.5442062554060859,0.5981121229290852,rf
Austria,0.8100304007162278,0.4346206165542129,0.6799340050299025,brnn
Austria,0.7407350483549952,0.4866266774203193,0.608377059867021,xgbTree
Austria,0.8084787203970388,0.4332797777656988,0.6735580621805521,svmPoly
Austria,0.888787434149214,0.3198410407850698,0.7712384711717856,svmLinear3
Belgium,0.5856282883642608,0.5833500992229446,0.4446876480349412,RAI
Belgium,0.5534286787220362,0.6381084685673373,0.41695171523541114,svmRadialSigma
Belgium,0.5573072601275646,0.6247606566934708,0.4418307389475735,gbm
Belgium,0.549276315112012,0.6383791753106666,0.4202787013730656,rf
Belgium,0.6346347770171366,0.5413665580092405,0.49400072583997734,brnn
Belgium,0.5667707264640185,0.609192318237797,0.43746233393820005,xgbTree
Belgium,0.662557909473089,0.5392230104645689,0.5118471008359489,svmPoly
Belgium,0.6892479201110903,0.5004896169686336,0.5448407988183239,svmLinear3
Cyprus,0.638322816035963,0.5882032064203655,0.5113978008312281,RAI
Cyprus,0.5982208100543766,0.6472417952184636,0.48009762242710935,svmRadialSigma
Cyprus,0.612362361435338,0.6331455823826363,0.481144784772406,gbm
Cyprus,0.6279981664914072,0.6146666731112777,0.5065705453182998,rf
Cyprus,0.644822599748964,0.6250930700791332,0.5075809028759501,brnn
Cyprus,0.6215139063171659,0.6100333997745759,0.4829769811734632,xgbTree
Cyprus,0.722218940738852,0.5457032067880533,0.5901467901445919,svmPoly
Cyprus,0.8104206198744748,0.4155084510161427,0.7141555783224478,svmLinear3
Czech Republic,1.0217343709045552,0,0.7398363553567596,RAI
Czech Republic,0.7668870778967711,0.46807247360645765,0.5333792152005404,svmRadialSigma
Czech Republic,0.7588426703019635,0.4531618853898471,0.5628743143072678,gbm
Czech Republic,0.7731710677392168,0.450947782373698,0.5753900297437661,rf
Czech Republic,0.9250985787604331,0.4085842547697375,0.647836925504298,brnn
Czech Republic,0.8420843907890845,0.33347182925719354,0.5934806632248468,xgbTree
Czech Republic,0.9941745286784777,0.23469513917685256,0.6744773197197921,svmPoly
Czech Republic,0.9296285487346884,0.23283098494488488,0.6960302960888366,svmLinear3
Germany,0.5491876681760504,0.7285499756178692,0.44442388670309924,RAI
Germany,0.509560122290293,0.7752332852324981,0.40436365164662413,svmRadialSigma
Germany,0.4974283012110681,0.7747036246555831,0.3777192662758868,gbm
Germany,0.49956886939753226,0.7743120928869031,0.3862888936742261,rf
Germany,0.5094530901189774,0.7706773597669062,0.3986149720109547,brnn
Germany,0.5125123490831807,0.7581052140126493,0.38992344695386855,xgbTree
Germany,0.5032674021024935,0.7844527276405447,0.399139706191762,svmPoly
Germany,0.6143009661017859,0.6864993603440526,0.5053230176132071,svmLinear3
Denmark,0.5451585937830438,0.6679951922260559,0.40728418718671794,RAI
Denmark,0.5568859181528737,0.6567114923663163,0.39557077752160996,svmRadialSigma
Denmark,0.5003973516905822,0.7158281044673732,0.38017740400309,gbm
Denmark,0.48903545990585345,0.7215239955383735,0.371530765838769,rf
Denmark,0.5095552869085941,0.7097249103860249,0.3856737526985807,brnn
Denmark,0.516331632978628,0.706107895069388,0.36880923040773284,xgbTree
Denmark,0.5309690298252614,0.7007935184990557,0.40617408519504483,svmPoly
Denmark,0.5440190107756464,0.6821301480444537,0.4204234676799132,svmLinear3
Greece,0.5327041034212548,0.7825513701099069,0.40050694289190064,RAI
Greece,0.5529133450136519,0.7699990087271988,0.4046772317389007,svmRadialSigma
Greece,0.516901085470024,0.7952043126227727,0.3819714670487938,gbm
Greece,0.5299953930396565,0.7816734100444331,0.39485819564708236,rf
Greece,0.47019890522187663,0.842425047102436,0.3597256401367247,brnn
Greece,0.5317473422362855,0.7813414196849466,0.3738487502282504,xgbTree
Greece,0.5449701135414715,0.7663903283502284,0.3974841901024414,svmPoly
Greece,0.89771556048989265,0.4295437425326048,0.7230143914828535,svmLinear3
