country,TrainRMSE,TrainRsquared,TrainMAE,method
Austria,0.37385642302776173,0.8722259140182803,0.29600899734065833,RAI
Austria,0.5521485167960192,0.7729796580097522,0.4307781529029755,svmRadialSigma
Austria,0.49668312436298906,0.774774332708151,0.3927823793276584,gbm
Austria,0.6020215665229628,0.7631922151810535,0.48806792701617235,rf
Austria,0.5634091105438239,0.7561287677109502,0.42240339573684177,brnn
Austria,0.5650137821165716,0.7344855404683062,0.439005814375088,xgbTree
Austria,0.41201508522734204,0.8534676463026775,0.31835598944670146,svmPoly
Austria,0.6328800202750521,0.7178547607833711,0.4709335651834021,svmLinear3
Belgium,0.45511732307496106,0.750593365228489,0.35972787437002085,RAI
Belgium,0.49989821538884566,0.7374510799281537,0.3672479102162362,svmRadialSigma
Belgium,0.4068750992045621,0.8060386117329698,0.317619809772289,gbm
Belgium,0.480612383835477,0.7599916794978969,0.37030790823021087,rf
Belgium,0.4830237301187858,0.7522161216397458,0.36706922170470185,brnn
Belgium,0.44098814716156254,0.7650371473564019,0.32691572879052755,xgbTree
Belgium,0.3930522460581924,0.81985070661915,0.30700731844555607,svmPoly
Belgium,0.6782203307216327,0.5682159128375045,0.5228934570325372,svmLinear3
Cyprus,0.308125757726335,0.9057137790150948,0.226484493875909,RAI
Cyprus,0.37643852323145294,0.8730659874370499,0.28442319348822315,svmRadialSigma
Cyprus,0.29171251906560963,0.9226141398338235,0.22818798384707575,gbm
Cyprus,0.35441453618803315,0.9103496767618483,0.2892501057555561,rf
Cyprus,0.34750520669523416,0.8986011648134055,0.254820051941914,brnn
Cyprus,0.30703631671781906,0.9152270036525246,0.23980309646486606,xgbTree
Cyprus,0.22988831659096717,0.9534853576267353,0.18337070386451837,svmPoly
Cyprus,0.5562677868196632,0.7752667186705999,0.4285825966640349,svmLinear3
Czech Republic,0.6565580246609017,0.5942560014461152,0.47959126815761655,RAI
Czech Republic,0.7533216027943793,0.5232471201178758,0.5008851220305951,svmRadialSigma
Czech Republic,0.6090391450067032,0.6383045143175047,0.44668676368292476,gbm
Czech Republic,0.6768568809616258,0.6240610246143619,0.49207717469686263,rf
Czech Republic,0.7301712785522388,0.5832154770143803,0.5395889257606302,brnn
Czech Republic,0.7219154564135402,0.49904181592654023,0.5040144404102255,xgbTree
Czech Republic,0.7078027675213933,0.5652894436661697,0.5027370213794485,svmPoly
Czech Republic,0.6674738283408153,0.6190107342451242,0.5146524409398475,svmLinear3
Germany,0.2802377095094961,0.9307795821335437,0.2244496615038205,RAI
Germany,0.4144999834168322,0.8658609676253892,0.2977034137931278,svmRadialSigma
Germany,0.3189798045115087,0.9105731103377156,0.2421491905187484,gbm
Germany,0.3757867339208589,0.8970957563547579,0.28227235392045436,rf
Germany,0.355030458456,0.8999172079710654,0.27786158029409513,brnn
Germany,0.33947566369223325,0.9026302874546699,0.24099555441347656,xgbTree
Germany,0.2856511979022596,0.929400417412586,0.21138793330594124,svmPoly
Germany,0.45708630261372,0.8540966336990201,0.35058653305441384,svmLinear3
Denmark,0.311909081481145,0.8908075960422369,0.23407861027524088,RAI
Denmark,0.42253900249755627,0.8550198948938392,0.27589963132021944,svmRadialSigma
Denmark,0.3568205283358641,0.8512967955075795,0.25596571835282883,gbm
Denmark,0.38634511333114313,0.8377743606386069,0.27109322766362026,rf
Denmark,0.43388088800698754,0.8155915664211563,0.31432646826036575,brnn
Denmark,0.3930325984145774,0.8311558447728289,0.2675376417208106,xgbTree
Denmark,0.33040460049615183,0.899522591432867,0.23517601343121827,svmPoly
Denmark,0.4836153619601605,0.7413319864117555,0.3458614865408695,svmLinear3
Greece,0.2644298529976206,0.9482419982313952,0.20990811573438428,RAI
Greece,0.27374007929270683,0.9523353807431675,0.20700126306736172,svmRadialSigma
Greece,0.2672224837054068,0.9498481389195976,0.19516906043344467,gbm
Greece,0.30163283750511155,0.9439487064665828,0.2197377105201855,rf
Greece,0.37328916689573943,0.9075251388354427,0.2677012988699417,brnn
Greece,0.27531672291547743,0.9487682161890906,0.18673731094365653,xgbTree
Greece,0.25133734086374815,0.9520418039474541,0.1912425184964208,svmPoly
Greece,0.6351716864525789,0.7908442238450669,0.4712521732888993,svmLinear3
Spain,0.2213414010371401,0.9540693159472484,0.18192952887299296,RAI
Spain,0.3312326598270791,0.9141750835798579,0.22665575546137554,svmRadialSigma
Spain,0.30030477591036653,0.919159082146523,0.22376927173714634,gbm
Spain,0.366681947893526,0.8914938448892523,0.26636370060838,rf
Spain,0.33188034033057606,0.9058692599239428,0.24390152758652675,brnn
Spain,0.35203287404651173,0.8884570605590226,0.24976797576071383,xgbTree
Spain,0.2462564028339702,0.9426721010657247,0.1766425944105536,svmPoly
Spain,0.38944009712870054,0.8699281806034258,0.29419964384007663,svmLinear3
Finland,0.48995122420190745,0.7405329678969238,0.3893819480023446,RAI
Finland,0.657605426141338,0.6238554823132219,0.4616317562593258,svmRadialSigma
Finland,0.59096005987261635,0.6234992041554448,0.4365559753391992,gbm
Finland,0.6817445286312037,0.5658315739866443,0.4988238725678749,rf
Finland,0.6921968071580709,0.6312408866893103,0.5244577814633198,brnn
Finland,0.6435913984584094,0.5741938072849453,0.4648794086960932,xgbTree
Finland,0.5103572911515549,0.7245285255227161,0.39822525252052415,svmPoly
Finland,0.7794849435390248,0.5251569631005445,0.5704978214887347,svmLinear3
France,0.27304703137953584,0.9279221736711764,0.19868149462346152,RAI
France,0.3355059603347858,0.9270022559683385,0.2384009015581227,svmRadialSigma
France,0.2909665749942945,0.9185191729881955,0.2085066571846522,gbm
France,0.3077428985855297,0.9034387565271499,0.20743519462668825,rf
France,0.29041858143823057,0.9242410825379356,0.21362673017036599,brnn
France,0.31850195016226085,0.9103642317669467,0.20710606263951217,xgbTree
France,0.2644156064539596,0.9378032771884938,0.19945051053687202,svmPoly
France,0.3428812891212138,0.8944480327687875,0.2714546725096535,svmLinear3
Croatia,0.2419745682640076,0.9452790433387819,0.1719273709450631,RAI
Croatia,0.22805570223724483,0.9570025760943797,0.1616306522920447,svmRadialSigma
Croatia,0.25754330370789685,0.9408196139292414,0.1685111857471678,gbm
Croatia,0.29704859641494513,0.9228633551125711,0.18879481799271453,rf
Croatia,0.3445792045859,0.8952605563423697,0.24358898205925705,brnn
Croatia,0.2509967447876969,0.9482700095852337,0.14132921078940508,xgbTree
Croatia,0.20491023057354038,0.9640118724320094,0.15044812899619645,svmPoly
Croatia,0.5455711352758136,0.7757355001386569,0.40192754744751963,svmLinear3
Hungary,0.33997801716509995,0.8894603860615004,0.26593481661586665,RAI
Hungary,0.48305559123074826,0.7911413612972206,0.36196862945994207,svmRadialSigma
