country,method,TrainRMSE,TrainRsquared,transform,max_R2
Austria,svmPoly,0.4120150852273421,0.8534676463026775,norm_lag,0.8534676463026775
Belgium,svmPoly,0.39348939088571816,0.8203864719919818,100_lag,0.8203864719919818
Croatia,svmPoly,0.20634310939407377,0.964622373753692,100_lag,0.964622373753692
Cyprus,svmPoly,0.22988831659096717,0.9534853576267353,norm_lag,0.9534853576267353
Czech Republic,gbm,0.6028500634975144,0.6475833244929731,100_lag,0.6475833244929731
Denmark,svmPoly,0.330162529305491,0.9000622485570183,100_lag,0.9000622485570183
Finland,svmPoly,0.5081706117603477,0.7281422015417062,100_lag,0.7281422015417062
France,svmPoly,0.2628409816177354,0.9390456623776424,100_lag,0.9390456623776424
Germany,svmPoly,0.2821429809719804,0.9358023290506096,100_lag,0.9358023290506096
Greece,svmPoly,0.2510995941513361,0.9536488097578144,100_lag,0.9536488097578144
Hungary,brnn,0.40334594024524695,0.8584018512839294,norm_lag,0.8584018512839294
Italy,svmPoly,0.2552509255010308,0.9396866458084784,norm_lag,0.9396866458084784
Latvia,svmRadialSigma,0.5704264446017312,0.7063097994643824,norm_lag,0.7063097994643824
Lithuania,svmRadialSigma,0.380998134704273,0.8908083386802282,100_lag,0.8908083386802282
Luxembourg,svmPoly,0.3138316382752452,0.8558135618222295,norm_lag,0.8558135618222295
Malta,svmPoly,0.26009043876395116,0.9294539994361974,100_lag,0.9294539994361974
Netherlands,svmPoly,0.36170954759203594,0.8790830170110551,100_lag,0.8790830170110551
Poland,brnn,0.3524008937742589,0.8787256284468197,100_lag,0.8787256284468197
Portugal,svmPoly,0.21576542200358428,0.9635496315659332,norm_lag,0.9635496315659332
Romania,svmPoly,0.4452457314185546,0.8281308698299715,norm_lag,0.8281308698299715
Slovakia,svmLinear3,0.5522871834403938,0.717150384023969,100_lag,0.717150384023969
Slovenia,svmPoly,0.31494615537447906,0.8991651998677743,100_lag,0.8991651998677743
Spain,svmPoly,0.2462564028339702,0.9426721010657249,norm_lag,0.9426721010657249
Sweden,brnn,0.4219156723418537,0.8260895789019594,100_lag,0.8260895789019594
