Kategorie: Reisen

Woche,Tourismus: (Bulgarien),Übernachtungen: (Bulgarien),last minute: (Bulgarien),All inclusive: (Bulgarien),Google Flüge: (Bulgarien)
2021-09-26,19,0,3,20,8
2021-10-03,20,0,0,25,7
2021-10-10,23,0,3,24,0
2021-10-17,11,0,0,24,3
2021-10-24,19,0,0,23,6
2021-10-31,22,0,8,20,0
2021-11-07,14,0,0,18,3
2021-11-14,30,0,0,22,0
2021-11-21,26,0,0,27,3
2021-11-28,31,0,0,25,6
2021-12-05,24,0,0,24,10
2021-12-12,22,0,0,18,4
2021-12-19,15,0,0,8,0
2021-12-26,28,0,0,17,3
2022-01-02,37,0,0,30,0
2022-01-09,37,0,3,25,7
2022-01-16,31,0,0,19,6
2022-01-23,27,0,0,27,6
2022-01-30,21,0,0,20,5
2022-02-06,31,0,0,32,0
2022-02-13,36,0,4,19,6
2022-02-20,42,0,0,19,5
2022-02-27,34,0,5,17,10
2022-03-06,33,0,0,17,8
2022-03-13,34,0,0,21,10
2022-03-20,39,0,0,14,4
2022-03-27,38,0,0,29,6
2022-04-03,33,0,0,33,11
2022-04-10,40,0,2,19,13
2022-04-17,38,0,3,27,13
2022-04-24,42,0,7,29,13
2022-05-01,48,0,2,31,11
2022-05-08,44,0,0,36,7
2022-05-15,39,0,0,43,12
2022-05-22,34,0,3,54,9
2022-05-29,45,0,6,58,7
2022-06-05,45,0,5,75,14
2022-06-12,43,0,0,91,7
2022-06-19,43,0,3,94,9
2022-06-26,33,0,0,87,9
2022-07-03,32,0,3,85,14
2022-07-10,30,0,3,100,6
2022-07-17,40,0,9,90,7
2022-07-24,35,0,3,90,10
2022-07-31,44,0,9,78,18
2022-08-07,30,0,5,58,7
2022-08-14,32,0,5,48,14
2022-08-21,38,0,0,57,12
2022-08-28,26,0,6,43,9
2022-09-04,39,0,3,32,9
2022-09-11,32,0,4,22,9
2022-09-18,34,0,0,7,12
