Kategorie: Reisen

Woche,deutschland: (Weltweit)
2017-10-01,48
2017-10-08,37
2017-10-15,36
2017-10-22,37
2017-10-29,37
2017-11-05,30
2017-11-12,30
2017-11-19,30
2017-11-26,27
2017-12-03,29
2017-12-10,31
2017-12-17,29
2017-12-24,38
2017-12-31,49
2018-01-07,39
2018-01-14,53
2018-01-21,39
2018-01-28,38
2018-02-04,35
2018-02-11,34
2018-02-18,34
2018-02-25,36
2018-03-04,33
2018-03-11,35
2018-03-18,39
2018-03-25,41
2018-04-01,35
2018-04-08,33
2018-04-15,32
2018-04-22,36
2018-04-29,37
2018-05-06,39
2018-05-13,39
2018-05-20,41
2018-05-27,51
2018-06-03,41
2018-06-10,44
2018-06-17,59
2018-06-24,43
2018-07-01,44
2018-07-08,48
2018-07-15,51
2018-07-22,51
2018-07-29,54
2018-08-05,57
2018-08-12,45
2018-08-19,46
2018-08-26,40
2018-09-02,39
2018-09-09,39
2018-09-16,38
2018-09-23,37
2018-09-30,39
2018-10-07,35
2018-10-14,37
2018-10-21,33
2018-10-28,32
2018-11-04,28
2018-11-11,29
2018-11-18,31
2018-11-25,27
2018-12-02,28
2018-12-09,29
2018-12-16,30
2018-12-23,34
2018-12-30,42
2019-01-06,51
2019-01-13,39
2019-01-20,39
2019-01-27,37
2019-02-03,35
2019-02-10,33
2019-02-17,33
2019-02-24,31
2019-03-03,35
2019-03-10,39
2019-03-17,33
2019-03-24,37
2019-03-31,34
2019-04-07,37
2019-04-14,41
2019-04-21,45
2019-04-28,36
2019-05-05,35
2019-05-12,35
2019-05-19,41
2019-05-26,38
2019-06-02,47
2019-06-09,51
2019-06-16,49
2019-06-23,46
2019-06-30,46
2019-07-07,51
2019-07-14,47
2019-07-21,54
2019-07-28,49
2019-08-04,50
2019-08-11,46
2019-08-18,43
2019-08-25,42
2019-09-01,41
2019-09-08,46
2019-09-15,37
2019-09-22,44
2019-09-29,42
2019-10-06,38
2019-10-13,35
2019-10-20,32
2019-10-27,33
2019-11-03,30
2019-11-10,31
2019-11-17,33
2019-11-24,27
2019-12-01,28
2019-12-08,29
2019-12-15,30
2019-12-22,34
2019-12-29,40
2020-01-05,38
2020-01-12,40
2020-01-19,35
2020-01-26,35
2020-02-02,47
2020-02-09,61
2020-02-16,35
2020-02-23,37
2020-03-01,38
2020-03-08,69
2020-03-15,84
2020-03-22,38
2020-03-29,32
2020-04-05,30
2020-04-12,35
2020-04-19,34
2020-04-26,38
2020-05-03,41
2020-05-10,40
2020-05-17,42
2020-05-24,43
2020-05-31,47
2020-06-07,53
2020-06-14,56
2020-06-21,51
2020-06-28,57
2020-07-05,57
2020-07-12,54
2020-07-19,53
2020-07-26,55
2020-08-02,55
2020-08-09,54
2020-08-16,52
2020-08-23,50
2020-08-30,48
2020-09-06,45
2020-09-13,45
2020-09-20,46
2020-09-27,45
2020-10-04,53
2020-10-11,48
2020-10-18,45
2020-10-25,37
2020-11-01,25
2020-11-08,28
2020-11-15,28
2020-11-22,27
2020-11-29,27
2020-12-06,30
2020-12-13,30
2020-12-20,32
2020-12-27,35
2021-01-03,34
2021-01-10,36
2021-01-17,34
2021-01-24,34
2021-01-31,43
2021-02-07,47
2021-02-14,35
2021-02-21,32
2021-02-28,33
2021-03-07,36
2021-03-14,33
2021-03-21,37
2021-03-28,32
2021-04-04,37
2021-04-11,36
2021-04-18,31
2021-04-25,36
2021-05-02,42
2021-05-09,49
2021-05-16,51
2021-05-23,52
2021-05-30,58
2021-06-06,56
2021-06-13,67
2021-06-20,69
2021-06-27,73
2021-07-04,67
2021-07-11,100
2021-07-18,79
2021-07-25,79
2021-08-01,72
2021-08-08,61
2021-08-15,59
2021-08-22,53
2021-08-29,51
2021-09-05,48
2021-09-12,46
2021-09-19,43
2021-09-26,42
2021-10-03,46
2021-10-10,43
2021-10-17,43
2021-10-24,40
2021-10-31,37
2021-11-07,41
2021-11-14,37
2021-11-21,37
2021-11-28,34
2021-12-05,32
2021-12-12,35
2021-12-19,35
2021-12-26,40
2022-01-02,43
2022-01-09,40
2022-01-16,37
2022-01-23,40
2022-01-30,39
2022-02-06,38
2022-02-13,53
2022-02-20,39
2022-02-27,31
2022-03-06,36
2022-03-13,34
2022-03-20,32
2022-03-27,36
2022-04-03,41
2022-04-10,39
2022-04-17,36
2022-04-24,34
2022-05-01,34
2022-05-08,33
2022-05-15,45
2022-05-22,41
2022-05-29,45
2022-06-05,47
2022-06-12,44
2022-06-19,44
2022-06-26,41
2022-07-03,38
2022-07-10,42
2022-07-17,48
2022-07-24,41
2022-07-31,42
2022-08-07,40
2022-08-14,45
2022-08-21,37
2022-08-28,34
2022-09-04,34
2022-09-11,38
2022-09-18,32
