Kategorie: Reisen

Woche,europa: (Weltweit)
2017-10-01,50
2017-10-08,55
2017-10-15,57
2017-10-22,50
2017-10-29,56
2017-11-05,47
2017-11-12,41
2017-11-19,46
2017-11-26,50
2017-12-03,43
2017-12-10,41
2017-12-17,37
2017-12-24,46
2017-12-31,52
2018-01-07,60
2018-01-14,57
2018-01-21,53
2018-01-28,49
2018-02-04,47
2018-02-11,51
2018-02-18,55
2018-02-25,49
2018-03-04,51
2018-03-11,52
2018-03-18,50
2018-03-25,54
2018-04-01,59
2018-04-08,56
2018-04-15,50
2018-04-22,55
2018-04-29,58
2018-05-06,55
2018-05-13,57
2018-05-20,91
2018-05-27,100
2018-06-03,58
2018-06-10,58
2018-06-17,57
2018-06-24,64
2018-07-01,58
2018-07-08,61
2018-07-15,69
2018-07-22,67
2018-07-29,65
2018-08-05,65
2018-08-12,66
2018-08-19,57
2018-08-26,56
2018-09-02,55
2018-09-09,52
2018-09-16,56
2018-09-23,50
2018-09-30,47
2018-10-07,48
2018-10-14,49
2018-10-21,48
2018-10-28,47
2018-11-04,46
2018-11-11,42
2018-11-18,44
2018-11-25,41
2018-12-02,39
2018-12-09,39
2018-12-16,39
2018-12-23,45
2018-12-30,50
2019-01-06,53
2019-01-13,49
2019-01-20,46
2019-01-27,47
2019-02-03,41
2019-02-10,49
2019-02-17,53
2019-02-24,45
2019-03-03,48
2019-03-10,51
2019-03-17,53
2019-03-24,48
2019-03-31,51
2019-04-07,60
2019-04-14,59
2019-04-21,54
2019-04-28,56
2019-05-05,57
2019-05-12,54
2019-05-19,58
2019-05-26,67
2019-06-02,63
2019-06-09,63
2019-06-16,61
2019-06-23,63
2019-06-30,64
2019-07-07,71
2019-07-14,64
2019-07-21,75
2019-07-28,70
2019-08-04,67
2019-08-11,69
2019-08-18,63
2019-08-25,63
2019-09-01,60
2019-09-08,54
2019-09-15,62
2019-09-22,56
2019-09-29,58
2019-10-06,52
2019-10-13,54
2019-10-20,59
2019-10-27,55
2019-11-03,65
2019-11-10,46
2019-11-17,44
2019-11-24,52
2019-12-01,43
2019-12-08,48
2019-12-15,44
2019-12-22,49
2019-12-29,57
2020-01-05,58
2020-01-12,61
2020-01-19,58
2020-01-26,48
2020-02-02,51
2020-02-09,53
2020-02-16,55
2020-02-23,55
2020-03-01,45
2020-03-08,69
2020-03-15,39
2020-03-22,24
2020-03-29,20
2020-04-05,19
2020-04-12,20
2020-04-19,21
2020-04-26,21
2020-05-03,25
2020-05-10,24
2020-05-17,26
2020-05-24,26
2020-05-31,29
2020-06-07,31
2020-06-14,35
2020-06-21,31
2020-06-28,39
2020-07-05,39
2020-07-12,42
2020-07-19,39
2020-07-26,39
2020-08-02,42
2020-08-09,43
2020-08-16,50
2020-08-23,32
2020-08-30,33
2020-09-06,32
2020-09-13,33
2020-09-20,30
2020-09-27,30
2020-10-04,29
2020-10-11,27
2020-10-18,29
2020-10-25,26
2020-11-01,21
2020-11-08,21
2020-11-15,22
2020-11-22,22
2020-11-29,25
2020-12-06,23
2020-12-13,22
2020-12-20,20
2020-12-27,22
2021-01-03,26
2021-01-10,27
2021-01-17,24
2021-01-24,21
2021-01-31,21
2021-02-07,22
2021-02-14,27
2021-02-21,26
2021-02-28,23
2021-03-07,27
2021-03-14,26
2021-03-21,21
2021-03-28,21
2021-04-04,25
2021-04-11,25
2021-04-18,22
2021-04-25,26
2021-05-02,28
2021-05-09,30
2021-05-16,34
2021-05-23,40
2021-05-30,37
2021-06-06,38
2021-06-13,42
2021-06-20,43
2021-06-27,46
2021-07-04,48
2021-07-11,48
2021-07-18,51
2021-07-25,50
2021-08-01,46
2021-08-08,49
2021-08-15,48
2021-08-22,42
2021-08-29,42
2021-09-05,38
2021-09-12,43
2021-09-19,40
2021-09-26,41
2021-10-03,41
2021-10-10,42
2021-10-17,40
2021-10-24,41
2021-10-31,42
2021-11-07,34
2021-11-14,34
2021-11-21,36
2021-11-28,29
2021-12-05,32
2021-12-12,32
2021-12-19,27
2021-12-26,32
2022-01-02,37
2022-01-09,36
2022-01-16,34
2022-01-23,39
2022-01-30,39
2022-02-06,40
2022-02-13,53
2022-02-20,54
2022-02-27,43
2022-03-06,48
2022-03-13,54
2022-03-20,49
2022-03-27,50
2022-04-03,59
2022-04-10,63
2022-04-17,59
2022-04-24,57
2022-05-01,65
2022-05-08,57
2022-05-15,60
2022-05-22,59
2022-05-29,51
2022-06-05,57
2022-06-12,55
2022-06-19,59
2022-06-26,58
2022-07-03,60
2022-07-10,59
2022-07-17,61
2022-07-24,57
2022-07-31,60
2022-08-07,62
2022-08-14,57
2022-08-21,58
2022-08-28,52
2022-09-04,58
2022-09-11,53
2022-09-18,46
