date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,AT,87,77,62,36,67,11,58
2004-02-01,AT,88,75,77,38,0,29,39
2004-03-01,AT,94,66,71,42,70,22,73
2004-04-01,AT,87,58,92,43,75,16,0
2004-05-01,AT,80,58,71,28,0,31,66
2004-06-01,AT,92,63,100,100,36,37,71
2004-07-01,AT,85,67,94,47,39,61,95
2004-08-01,AT,100,59,85,26,0,27,67
2004-09-01,AT,82,61,70,54,56,18,32
2004-10-01,AT,83,57,65,0,74,14,36
2004-11-01,AT,80,67,62,34,63,15,55
2004-12-01,AT,78,64,83,36,45,33,48
2005-01-01,AT,71,70,70,34,68,18,46
2005-02-01,AT,73,67,67,19,66,19,100
2005-03-01,AT,72,55,66,21,0,23,53
2005-04-01,AT,70,50,59,13,23,14,63
2005-05-01,AT,85,55,61,10,93,26,48
2005-06-01,AT,72,53,67,46,60,36,44
2005-07-01,AT,81,57,71,0,48,100,62
2005-08-01,AT,81,63,87,42,30,27,53
2005-09-01,AT,83,53,49,12,22,25,46
2005-10-01,AT,73,55,57,25,71,18,34
2005-11-01,AT,80,55,52,13,66,5,29
2005-12-01,AT,68,57,61,29,19,11,25
2006-01-01,AT,69,68,59,27,100,6,48
2006-02-01,AT,72,63,56,20,45,12,50
2006-03-01,AT,72,54,49,29,44,23,42
2006-04-01,AT,65,46,60,19,51,9,46
2006-05-01,AT,71,49,62,19,0,29,33
2006-06-01,AT,77,47,60,44,65,24,37
2006-07-01,AT,82,53,75,27,34,39,76
2006-08-01,AT,80,52,69,21,64,24,55
2006-09-01,AT,72,49,65,24,67,20,25
2006-10-01,AT,68,50,56,12,64,9,48
2006-11-01,AT,68,53,54,17,34,9,41
2006-12-01,AT,64,56,55,18,42,12,36
2007-01-01,AT,71,61,57,25,20,9,24
2007-02-01,AT,70,62,56,23,31,7,29
2007-03-01,AT,70,47,45,17,39,7,51
2007-04-01,AT,61,40,48,21,34,15,40
2007-05-01,AT,68,43,50,31,35,21,41
2007-06-01,AT,72,44,60,38,82,19,48
2007-07-01,AT,67,48,59,26,9,39,54
2007-08-01,AT,69,45,57,22,25,23,58
2007-09-01,AT,73,43,52,22,37,9,35
2007-10-01,AT,72,47,50,17,58,3,42
2007-11-01,AT,66,50,52,9,48,8,39
2007-12-01,AT,63,46,50,25,40,9,36
2008-01-01,AT,62,55,55,23,52,11,38
2008-02-01,AT,63,47,45,25,18,6,33
2008-03-01,AT,68,44,41,22,34,17,36
2008-04-01,AT,67,40,40,18,45,12,43
2008-05-01,AT,66,45,51,25,45,21,44
2008-06-01,AT,69,46,50,17,30,24,67
2008-07-01,AT,69,40,53,19,32,19,42
