date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,BE,46,84,100,0,100,52,0
2004-02-01,BE,53,80,92,0,21,53,0
2004-03-01,BE,57,80,97,87,0,0,0
2004-04-01,BE,77,97,95,53,27,0,0
2004-05-01,BE,74,88,85,36,0,0,0
2004-06-01,BE,85,89,64,34,16,100,0
2004-07-01,BE,100,100,76,100,32,69,0
2004-08-01,BE,92,91,82,85,0,0,0
2004-09-01,BE,60,69,65,89,30,0,0
2004-10-01,BE,48,65,87,61,0,48,0
2004-11-01,BE,34,55,62,61,0,0,0
2004-12-01,BE,32,52,52,34,22,0,0
2005-01-01,BE,35,55,62,0,67,0,0
2005-02-01,BE,37,56,54,45,30,35,0
2005-03-01,BE,39,64,55,55,0,52,0
2005-04-01,BE,44,59,36,51,27,0,0
2005-05-01,BE,41,63,56,55,0,58,0
2005-06-01,BE,49,64,75,47,19,53,0
2005-07-01,BE,58,73,62,67,0,40,0
2005-08-01,BE,42,66,46,0,30,69,0
2005-09-01,BE,33,51,64,34,0,0,0
2005-10-01,BE,41,49,62,38,13,19,0
2005-11-01,BE,35,50,55,0,13,34,0
2005-12-01,BE,21,38,45,47,0,46,0
2006-01-01,BE,31,55,62,31,18,36,0
2006-02-01,BE,29,49,60,63,25,54,0
2006-03-01,BE,32,48,57,26,0,19,0
2006-04-01,BE,33,51,59,50,11,0,0
2006-05-01,BE,24,53,57,33,19,16,0
2006-06-01,BE,36,55,49,38,26,55,0
2006-07-01,BE,40,56,51,27,6,58,0
2006-08-01,BE,35,54,48,36,14,40,0
2006-09-01,BE,31,46,48,38,14,17,0
2006-10-01,BE,30,43,56,30,0,0,0
2006-11-01,BE,26,39,53,42,16,16,0
2006-12-01,BE,20,32,31,37,0,22,0
2007-01-01,BE,23,38,39,31,8,0,0
2007-02-01,BE,22,38,44,52,15,55,0
2007-03-01,BE,27,44,50,13,13,0,0
2007-04-01,BE,32,44,54,38,16,25,0
2007-05-01,BE,27,46,44,41,11,23,0
2007-06-01,BE,26,46,48,50,16,42,0
2007-07-01,BE,39,51,53,43,15,32,0
2007-08-01,BE,35,46,50,56,12,12,0
2007-09-01,BE,28,38,41,30,20,30,0
2007-10-01,BE,27,38,46,24,14,10,0
2007-11-01,BE,20,34,38,9,12,0,0
2007-12-01,BE,24,30,33,28,18,0,0
2008-01-01,BE,23,35,45,49,15,21,0
2008-02-01,BE,24,36,42,32,11,15,0
2008-03-01,BE,26,38,41,37,12,19,0
2008-04-01,BE,23,40,43,22,20,24,0
2008-05-01,BE,32,42,46,33,14,33,0
2008-06-01,BE,26,38,45,34,15,30,0
2008-07-01,BE,40,41,41,32,10,48,0
2008-08-01,BE,28,39,38,38,12,39,0
2008-09-01,BE,27,34,39,22,13,25,0
2008-10-01,BE,28,32,39,29,9,0,0
2008-11-01,BE,19,26,30,22,9,16,0
2008-12-01,BE,21,25,26,19,17,7,0
2009-01-01,BE,23,29,34,10,16,12,0
2009-02-01,BE,22,30,37,28,10,11,0
2009-03-01,BE,23,31,36,26,10,12,0
2009-04-01,BE,41,40,38,43,14,10,0
2009-05-01,BE,35,37,38,27,13,35,0
2009-06-01,BE,40,41,44,33,13,19,0
2009-07-01,BE,48,47,44,40,10,30,0
2009-08-01,BE,46,43,45,41,9,39,0
2009-09-01,BE,38,36,43,24,9,21,0
2009-10-01,BE,38,35,37,11,7,15,0
2009-11-01,BE,35,32,38,16,4,4,0
2009-12-01,BE,31,27,30,25,11,8,0
2010-01-01,BE,43,34,34,19,5,18,0
2010-02-01,BE,42,36,37,21,11,10,0
2010-03-01,BE,43,36,36,23,14,21,0
2010-04-01,BE,62,49,42,37,10,23,0
2010-05-01,BE,0,42,0,17,11,0,22
2010-06-01,BE,0,40,0,46,10,0,61
2010-07-01,BE,0,41,0,28,5,0,75
2010-08-01,BE,0,32,0,23,12,0,34
2010-09-01,BE,0,28,0,26,11,0,38
2010-10-01,BE,0,27,0,20,9,0,33
2010-11-01,BE,0,23,0,19,12,0,22
2010-12-01,BE,0,22,0,18,8,0,27
2011-01-01,BE,0,25,0,18,9,0,0
2011-02-01,BE,0,25,0,19,8,0,20
2011-03-01,BE,0,28,0,32,8,0,24
2011-04-01,BE,0,29,0,18,9,0,27
