date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,CY,50,76,67,66,57,0,0
2004-02-01,CY,68,69,56,39,60,66,0
2004-03-01,CY,99,72,47,100,54,62,100
2004-04-01,CY,36,77,35,75,39,81,68
2004-05-01,CY,13,80,81,63,100,0,0
2004-06-01,CY,11,86,58,89,52,27,55
2004-07-01,CY,13,100,100,84,58,0,0
2004-08-01,CY,13,91,66,64,77,0,0
2004-09-01,CY,9,74,39,66,84,57,0
2004-10-01,CY,11,62,41,46,93,0,0
2004-11-01,CY,10,49,37,38,0,100,77
2004-12-01,CY,8,38,34,0,24,59,44
2005-01-01,CY,10,77,41,24,95,77,32
2005-02-01,CY,9,78,56,68,43,0,0
2005-03-01,CY,6,70,38,72,94,0,37
2005-04-01,CY,12,75,53,85,81,0,76
2005-05-01,CY,17,74,63,97,0,34,0
2005-06-01,CY,12,76,73,78,66,35,42
2005-07-01,CY,16,85,63,73,53,39,35
2005-08-01,CY,12,79,69,80,58,71,0
2005-09-01,CY,11,68,46,67,32,30,0
2005-10-01,CY,13,54,34,44,12,0,0
2005-11-01,CY,12,43,28,28,31,28,0
2005-12-01,CY,10,34,21,16,0,0,31
2006-01-01,CY,15,70,43,43,91,0,0
2006-02-01,CY,40,60,39,62,26,15,0
2006-03-01,CY,37,62,37,72,31,0,54
2006-04-01,CY,56,65,50,53,0,0,57
2006-05-01,CY,65,65,53,70,70,0,21
2006-06-01,CY,72,70,57,82,49,27,23
2006-07-01,CY,69,84,64,89,45,16,31
2006-08-01,CY,78,72,54,60,54,30,20
2006-09-01,CY,62,66,42,62,28,0,19
2006-10-01,CY,70,53,33,38,35,0,27
2006-11-01,CY,61,39,21,15,18,0,24
2006-12-01,CY,57,33,24,16,9,0,20
2007-01-01,CY,61,69,41,49,40,10,36
2007-02-01,CY,69,62,38,55,42,0,25
2007-03-01,CY,67,64,42,60,46,49,27
2007-04-01,CY,80,59,44,47,53,25,18
2007-05-01,CY,63,63,50,59,49,37,34
2007-06-01,CY,98,72,49,62,58,46,34
2007-07-01,CY,92,85,67,77,62,39,48
2007-08-01,CY,87,76,59,68,43,32,34
2007-09-01,CY,77,65,45,62,39,22,14
2007-10-01,CY,66,49,34,35,13,12,21
2007-11-01,CY,56,37,24,25,29,9,10
2007-12-01,CY,51,34,19,14,19,0,23
2008-01-01,CY,50,68,41,34,53,24,18
2008-02-01,CY,55,56,36,47,54,23,20
2008-03-01,CY,69,59,39,54,36,10,12
2008-04-01,CY,62,59,38,53,32,7,38
2008-05-01,CY,80,66,43,67,46,0,23
2008-06-01,CY,86,71,51,67,45,6,21
2008-07-01,CY,100,74,55,64,56,27,45
2008-08-01,CY,85,66,48,65,45,14,16
2008-09-01,CY,78,60,36,40,52,0,16
2008-10-01,CY,74,45,29,29,46,0,30
2008-11-01,CY,69,34,24,19,37,13,20
2008-12-01,CY,62,34,17,17,27,0,18
2009-01-01,CY,69,52,38,39,39,0,13
2009-02-01,CY,63,51,36,39,35,0,26
2009-03-01,CY,71,53,31,38,38,10,9
2009-04-01,CY,76,53,31,46,23,13,22
2009-05-01,CY,77,57,36,51,38,20,36
2009-06-01,CY,95,59,36,54,40,25,20
2009-07-01,CY,88,65,41,59,47,37,24
2009-08-01,CY,78,57,41,61,48,19,29
2009-09-01,CY,76,51,31,37,47,7,21
2009-10-01,CY,67,42,26,26,33,8,14
2009-11-01,CY,63,34,18,21,12,8,16
2009-12-01,CY,50,27,18,11,35,0,0
2010-01-01,CY,73,49,29,29,38,0,18
2010-02-01,CY,69,46,27,35,42,5,15
2010-03-01,CY,59,50,29,39,42,7,11
2010-04-01,CY,84,52,29,39,36,12,28
2010-05-01,CY,73,47,28,45,44,11,20
2010-06-01,CY,84,50,37,44,31,6,22
2010-07-01,CY,83,52,39,50,39,20,32
2010-08-01,CY,84,51,39,42,32,19,18
2010-09-01,CY,71,40,25,39,35,17,24
2010-10-01,CY,62,34,20,21,25,6,23
2010-11-01,CY,54,28,14,15,19,4,16
2010-12-01,CY,54,26,17,7,24,6,7
2011-01-01,CY,50,38,29,25,31,5,26
2011-02-01,CY,47,37,24,21,27,7,21
2011-03-01,CY,43,34,24,27,26,11,16
2011-04-01,CY,45,35,20,26,42,13,18
2011-05-01,CY,51,37,28,25,35,12,15
2011-06-01,CY,61,41,27,34,35,19,24
2011-07-01,CY,56,39,32,37,31,23,24
2011-08-01,CY,60,42,31,35,25,21,23
2011-09-01,CY,43,34,22,27,27,17,15
2011-10-01,CY,45,26,17,22,19,6,18
2011-11-01,CY,37,20,13,13,23,3,10
2011-12-01,CY,34,19,13,12,9,2,7
2012-01-01,CY,47,36,21,18,28,4,20
2012-02-01,CY,36,24,18,14,23,10,21
2012-03-01,CY,42,29,19,20,23,3,30
2012-04-01,CY,48,32,22,25,28,10,29
