date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,CZ,0,50,0,0,0,0,100
2004-02-01,CZ,0,63,44,0,0,0,0
2004-03-01,CZ,0,62,0,0,100,79,0
2004-04-01,CZ,46,100,48,0,0,0,0
2004-05-01,CZ,0,90,20,0,0,0,36
2004-06-01,CZ,100,87,100,45,0,0,0
2004-07-01,CZ,44,96,26,0,0,0,40
2004-08-01,CZ,0,36,43,0,0,0,46
2004-09-01,CZ,25,63,49,0,0,0,0
2004-10-01,CZ,33,57,0,0,0,100,0
2004-11-01,CZ,0,90,0,100,0,0,30
2004-12-01,CZ,0,19,17,0,29,58,0
2005-01-01,CZ,17,76,29,39,0,59,27
2005-02-01,CZ,0,74,29,0,0,0,0
2005-03-01,CZ,0,72,12,0,0,62,45
2005-04-01,CZ,51,78,17,30,50,85,0
2005-05-01,CZ,0,70,12,0,0,0,31
2005-06-01,CZ,11,67,33,0,0,82,0
2005-07-01,CZ,0,74,57,34,0,0,0
2005-08-01,CZ,19,47,23,0,0,0,0
2005-09-01,CZ,0,48,33,0,32,0,27
2005-10-01,CZ,0,45,17,18,0,0,41
2005-11-01,CZ,0,38,26,0,0,0,0
2005-12-01,CZ,0,35,12,0,0,0,0
2006-01-01,CZ,0,49,18,0,27,0,0
2006-02-01,CZ,0,48,15,0,0,45,0
2006-03-01,CZ,15,55,25,0,0,54,17
2006-04-01,CZ,14,48,27,0,0,0,0
2006-05-01,CZ,12,58,30,14,0,0,0
2006-06-01,CZ,13,60,29,0,0,0,0
2006-07-01,CZ,15,57,17,0,19,0,0
2006-08-01,CZ,16,50,6,0,61,0,0
2006-09-01,CZ,20,45,29,0,14,0,0
2006-10-01,CZ,7,57,23,0,0,0,0
2006-11-01,CZ,10,28,12,35,0,0,0
2006-12-01,CZ,0,37,40,0,0,0,0
2007-01-01,CZ,16,40,11,25,0,0,0
2007-02-01,CZ,17,49,24,0,0,0,0
2007-03-01,CZ,0,48,9,15,12,0,11
2007-04-01,CZ,6,38,10,0,0,22,0
2007-05-01,CZ,3,37,14,0,0,14,0
2007-06-01,CZ,7,49,20,0,0,15,0
2007-07-01,CZ,5,39,10,0,0,26,0
2007-08-01,CZ,15,33,16,0,0,0,0
2007-09-01,CZ,10,41,14,0,0,0,0
2007-10-01,CZ,0,34,21,0,0,22,0
2007-11-01,CZ,0,30,12,10,0,0,6
2007-12-01,CZ,11,39,21,0,0,0,0
2008-01-01,CZ,3,42,9,0,0,0,0
2008-02-01,CZ,3,35,20,20,0,0,0
2008-03-01,CZ,5,41,15,0,0,12,0
2008-04-01,CZ,2,37,7,7,7,14,8
2008-05-01,CZ,0,36,10,0,0,0,8
2008-06-01,CZ,4,38,9,7,10,13,0
2008-07-01,CZ,4,38,19,0,0,0,5
2008-08-01,CZ,7,40,16,6,0,0,0
2008-09-01,CZ,4,29,10,0,0,24,0
2008-10-01,CZ,0,32,19,5,14,0,12
2008-11-01,CZ,0,27,13,9,0,0,0
2008-12-01,CZ,4,27,5,16,0,0,12
2009-01-01,CZ,6,25,10,8,0,0,5
2009-02-01,CZ,0,34,11,0,6,0,0
2009-03-01,CZ,6,34,15,38,5,0,12
2009-04-01,CZ,9,43,15,0,0,0,7
2009-05-01,CZ,7,37,16,0,0,0,4
2009-06-01,CZ,6,45,11,0,10,39,0
2009-07-01,CZ,4,39,15,0,0,0,4
2009-08-01,CZ,12,53,22,9,6,0,4
2009-09-01,CZ,11,34,8,8,9,0,4
2009-10-01,CZ,5,36,20,6,4,0,0
2009-11-01,CZ,7,30,14,4,0,21,0
2009-12-01,CZ,5,25,10,4,0,9,8
2010-01-01,CZ,3,36,11,6,6,0,3
2010-02-01,CZ,6,45,12,0,12,7,0
2010-03-01,CZ,8,39,18,4,0,0,6
2010-04-01,CZ,0,36,10,5,6,0,6
2010-05-01,CZ,6,39,13,5,0,0,3
2010-06-01,CZ,4,33,15,0,0,0,17
2010-07-01,CZ,6,37,13,21,0,18,8
2010-08-01,CZ,0,28,12,0,12,0,0
2010-09-01,CZ,4,28,10,0,5,13,0
2010-10-01,CZ,4,30,8,7,4,0,0
2010-11-01,CZ,5,25,9,6,0,0,3
2010-12-01,CZ,8,31,11,3,3,0,4
2011-01-01,CZ,5,29,10,7,0,9,0
2011-02-01,CZ,4,28,8,6,3,0,4
2011-03-01,CZ,4,30,11,0,0,0,4
2011-04-01,CZ,6,34,11,0,4,8,2
2011-05-01,CZ,2,37,13,3,4,7,0
2011-06-01,CZ,8,33,10,0,5,0,5
2011-07-01,CZ,8,33,11,3,3,7,0
2011-08-01,CZ,9,32,11,0,3,0,0
2011-09-01,CZ,8,32,12,0,3,0,0
2011-10-01,CZ,3,30,8,7,3,0,0
2011-11-01,CZ,5,27,9,0,2,0,3
2011-12-01,CZ,3,25,6,0,0,0,6
2012-01-01,CZ,5,32,12,3,5,0,0
2012-02-01,CZ,3,29,12,3,4,0,0
2012-03-01,CZ,5,32,13,5,3,14,5
2012-04-01,CZ,7,37,14,0,4,4,0
2012-05-01,CZ,7,36,12,0,3,11,0
2012-06-01,CZ,6,39,11,6,3,8,0
2012-07-01,CZ,8,42,14,7,4,11,0
2012-08-01,CZ,5,35,13,0,0,0,9
2012-09-01,CZ,8,35,11,2,0,0,4
2012-10-01,CZ,4,26,8,0,4,0,3
2012-11-01,CZ,2,17,8,0,3,0,7
2012-12-01,CZ,4,25,8,4,2,0,3
2013-01-01,CZ,4,29,6,0,5,5,0
2013-02-01,CZ,4,30,6,0,4,0,0
2013-03-01,CZ,3,34,10,3,0,6,3
2013-04-01,CZ,7,35,12,5,2,4,7
2013-05-01,CZ,6,35,12,2,0,10,3
2013-06-01,CZ,5,34,9,5,2,4,3
2013-07-01,CZ,8,33,11,7,0,4,3
2013-08-01,CZ,8,41,16,2,0,4,0
2013-09-01,CZ,5,30,9,0,2,0,0
2013-10-01,CZ,6,32,13,6,0,0,0
2013-11-01,CZ,4,26,12,5,4,0,3
2013-12-01,CZ,5,26,10,2,2,0,4
2014-01-01,CZ,5,31,11,1,4,4,3
2014-02-01,CZ,4,31,9,0,2,4,1
2014-03-01,CZ,4,36,12,2,2,0,2
2014-04-01,CZ,7,34,10,3,4,5,4
2014-05-01,CZ,7,35,13,2,3,6,5
2014-06-01,CZ,4,35,12,4,4,8,6
2014-07-01,CZ,8,38,14,4,4,6,2
2014-08-01,CZ,7,37,16,4,6,5,6
2014-09-01,CZ,6,31,12,3,2,0,3
2014-10-01,CZ,6,31,11,0,0,4,5
2014-11-01,CZ,5,27,10,0,4,0,0
2014-12-01,CZ,4,26,6,4,2,0,0
2015-01-01,CZ,4,30,11,6,2,0,4
2015-02-01,CZ,6,33,10,5,3,0,0
2015-03-01,CZ,6,29,10,2,0,2,5
2015-04-01,CZ,5,35,12,2,0,0,3
2015-05-01,CZ,4,36,14,3,6,0,1
2015-06-01,CZ,4,35,9,6,5,9,4
2015-07-01,CZ,9,38,12,3,5,5,3
2015-08-01,CZ,8,35,14,3,4,6,2
2015-09-01,CZ,3,35,14,3,0,5,4
2015-10-01,CZ,5,32,11,0,1,0,3
2015-11-01,CZ,3,30,10,3,3,0,2
2015-12-01,CZ,5,30,10,4,3,0,2
2016-01-01,CZ,2,31,9,1,5,3,3
