date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,DE,52,83,51,36,57,0,0
2004-02-01,DE,37,73,66,43,42,39,100
2004-03-01,DE,50,88,48,77,39,96,0
2004-04-01,DE,49,92,71,79,62,17,35
2004-05-01,DE,71,88,60,92,46,46,86
2004-06-01,DE,65,87,60,100,51,95,0
2004-07-01,DE,72,91,59,94,0,86,94
2004-08-01,DE,69,82,58,95,100,42,67
2004-09-01,DE,52,74,48,65,17,30,51
2004-10-01,DE,58,79,54,57,0,22,49
2004-11-01,DE,52,70,47,54,49,69,53
2004-12-01,DE,42,59,34,21,48,0,16
2005-01-01,DE,45,69,41,77,49,32,45
2005-02-01,DE,51,80,61,76,42,52,58
2005-03-01,DE,74,87,53,76,91,41,77
2005-04-01,DE,72,83,50,63,42,37,56
2005-05-01,DE,79,87,52,86,79,18,99
2005-06-01,DE,79,84,55,61,50,74,76
2005-07-01,DE,91,91,53,86,74,63,77
2005-08-01,DE,93,87,46,65,77,52,29
2005-09-01,DE,64,73,47,53,66,54,44
2005-10-01,DE,76,70,41,31,33,19,69
2005-11-01,DE,56,66,36,54,58,23,39
2005-12-01,DE,42,61,37,47,42,10,40
2006-01-01,DE,44,71,48,46,72,27,31
2006-02-01,DE,41,73,45,56,63,30,38
2006-03-01,DE,46,72,48,77,54,45,26
2006-04-01,DE,66,80,48,62,40,64,35
2006-05-01,DE,73,89,60,80,53,83,55
2006-06-01,DE,86,100,58,89,36,100,72
2006-07-01,DE,78,83,50,79,34,41,67
2006-08-01,DE,66,71,44,51,51,36,43
2006-09-01,DE,61,66,43,53,26,17,29
2006-10-01,DE,62,62,40,52,68,26,46
2006-11-01,DE,42,56,36,33,46,10,39
2006-12-01,DE,45,48,24,35,32,15,24
2007-01-01,DE,46,61,37,46,43,33,26
2007-02-01,DE,49,60,42,54,59,34,29
2007-03-01,DE,58,62,36,43,46,29,35
2007-04-01,DE,70,69,42,52,35,20,71
2007-05-01,DE,67,72,39,64,75,41,86
2007-06-01,DE,73,68,42,67,56,43,62
2007-07-01,DE,83,76,46,57,50,45,58
2007-08-01,DE,69,66,40,53,68,16,53
2007-09-01,DE,67,61,37,48,51,21,38
2007-10-01,DE,59,57,36,38,38,19,37
2007-11-01,DE,47,50,32,41,56,20,25
2007-12-01,DE,46,43,28,33,51,11,34
2008-01-01,DE,48,56,33,46,47,19,32
2008-02-01,DE,42,55,29,44,72,15,43
2008-03-01,DE,51,59,31,45,35,20,36
2008-04-01,DE,55,55,33,46,44,18,50
2008-05-01,DE,61,66,34,53,39,29,31
2008-06-01,DE,65,56,33,45,44,30,38
2008-07-01,DE,75,59,31,45,62,34,29
2008-08-01,DE,63,56,29,45,33,28,37
2008-09-01,DE,52,50,28,36,50,21,51
2008-10-01,DE,58,48,27,29,41,19,28
2008-11-01,DE,43,42,22,28,31,19,21
2008-12-01,DE,39,37,19,28,26,14,30
2009-01-01,DE,50,47,26,38,51,12,25
2009-02-01,DE,43,45,27,36,41,24,35
2009-03-01,DE,46,45,26,35,49,12,28
2009-04-01,DE,58,52,26,52,48,26,22
2009-05-01,DE,51,47,28,48,37,26,45
2009-06-01,DE,56,52,31,49,41,24,39
2009-07-01,DE,59,55,29,50,46,40,35
2009-08-01,DE,60,52,30,40,51,31,27
2009-09-01,DE,49,47,29,40,45,21,45
2009-10-01,DE,46,43,25,30,47,12,31
2009-11-01,DE,39,41,24,34,34,14,23
2009-12-01,DE,36,36,18,31,43,12,23
2010-01-01,DE,36,42,22,29,44,14,35
2010-02-01,DE,45,44,25,37,46,19,32
2010-03-01,DE,49,42,26,43,42,15,27
2010-04-01,DE,56,53,26,35,36,18,27
2010-05-01,DE,53,47,25,38,34,24,32
2010-06-01,DE,50,49,25,44,42,23,34
2010-07-01,DE,55,54,25,34,57,27,43
2010-08-01,DE,49,42,24,37,45,22,24
2010-09-01,DE,40,41,22,34,40,15,25
2010-10-01,DE,43,35,20,27,39,10,24
2010-11-01,DE,34,33,18,23,40,9,29
2010-12-01,DE,33,32,16,20,34,9,20
2011-01-01,DE,38,34,20,28,40,21,25
2011-02-01,DE,38,34,18,28,38,13,20
2011-03-01,DE,45,35,20,29,39,20,19
2011-04-01,DE,52,38,21,31,46,14,26
2011-05-01,DE,53,41,23,29,39,23,35
2011-06-01,DE,64,47,24,36,49,23,34
2011-07-01,DE,67,46,23,32,54,29,39
2011-08-01,DE,65,40,23,27,44,20,32
2011-09-01,DE,53,37,21,27,39,11,17
2011-10-01,DE,67,35,20,24,44,13,21
2011-11-01,DE,46,31,20,22,36,11,22
2011-12-01,DE,53,30,18,15,38,12,28
2012-01-01,DE,57,40,22,25,53,18,23
2012-02-01,DE,56,37,22,23,47,17,31
2012-03-01,DE,55,39,21,25,43,19,30
2012-04-01,DE,58,42,22,25,47,16,34
2012-05-01,DE,60,45,22,27,40,23,30
2012-06-01,DE,65,49,23,33,49,30,39
2012-07-01,DE,69,46,22,33,51,27,27
2012-08-01,DE,66,41,21,28,50,20,29
2012-09-01,DE,59,37,23,26,51,17,33
