date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,DK,49,27,24,0,0,52,0
2004-02-01,DK,17,35,52,0,69,0,0
2004-03-01,DK,58,28,69,100,0,47,100
2004-04-01,DK,62,39,73,35,62,0,0
2004-05-01,DK,71,42,59,85,83,90,0
2004-06-01,DK,66,43,79,31,100,24,0
2004-07-01,DK,90,40,100,48,48,0,0
2004-08-01,DK,74,38,50,28,43,0,0
2004-09-01,DK,85,31,52,0,0,0,0
2004-10-01,DK,29,26,68,43,0,100,0
2004-11-01,DK,23,24,46,29,0,0,0
2004-12-01,DK,43,24,30,0,64,0,26
2005-01-01,DK,53,28,30,0,43,0,0
2005-02-01,DK,37,27,43,28,96,45,0
2005-03-01,DK,52,27,26,25,69,15,0
2005-04-01,DK,63,29,31,42,74,36,15
2005-05-01,DK,58,37,46,0,49,0,29
2005-06-01,DK,65,29,40,20,0,45,20
2005-07-01,DK,78,37,68,34,42,56,21
2005-08-01,DK,65,35,47,0,0,25,0
2005-09-01,DK,54,25,49,0,0,13,0
2005-10-01,DK,63,25,44,0,46,0,0
2005-11-01,DK,59,25,24,29,0,0,0
2005-12-01,DK,25,22,32,41,23,15,12
2006-01-01,DK,48,26,42,30,0,0,23
2006-02-01,DK,39,27,37,0,32,13,11
2006-03-01,DK,40,22,28,13,35,26,0
2006-04-01,DK,50,25,36,31,34,35,14
2006-05-01,DK,34,29,40,0,0,0,22
2006-06-01,DK,46,34,58,14,28,25,0
2006-07-01,DK,78,30,56,18,0,57,15
2006-08-01,DK,59,24,27,0,70,44,12
2006-09-01,DK,40,19,40,12,53,0,9
2006-10-01,DK,45,21,24,27,0,19,0
2006-11-01,DK,19,19,24,0,0,0,7
2006-12-01,DK,30,19,14,0,0,10,0
2007-01-01,DK,30,22,37,0,0,14,12
2007-02-01,DK,35,20,28,8,29,51,0
2007-03-01,DK,51,24,40,22,60,24,10
2007-04-01,DK,55,26,45,25,19,8,19
2007-05-01,DK,60,28,44,13,0,35,7
2007-06-01,DK,64,28,53,21,35,0,6
2007-07-01,DK,67,32,48,28,43,34,13
2007-08-01,DK,62,26,40,20,60,34,15
2007-09-01,DK,49,21,30,12,47,6,10
2007-10-01,DK,32,18,29,12,21,13,11
2007-11-01,DK,28,19,28,16,20,0,0
2007-12-01,DK,31,17,24,10,21,0,4
2008-01-01,DK,22,19,27,10,27,0,4
2008-02-01,DK,48,19,34,15,32,30,0
2008-03-01,DK,28,19,26,15,22,18,7
2008-04-01,DK,41,20,30,20,10,0,16
2008-05-01,DK,40,22,38,15,13,18,0
2008-06-01,DK,48,24,39,11,34,34,8
2008-07-01,DK,73,24,30,23,36,19,0
2008-08-01,DK,46,23,28,0,0,19,7
2008-09-01,DK,39,16,30,10,22,8,0
2008-10-01,DK,35,16,23,13,48,8,5
2008-11-01,DK,32,13,18,14,38,0,7
2008-12-01,DK,30,12,15,3,18,14,13
2009-01-01,DK,39,18,26,4,30,12,3
2009-02-01,DK,36,17,26,0,19,11,4
2009-03-01,DK,41,19,28,12,16,9,10
2009-04-01,DK,41,19,29,10,11,11,0
2009-05-01,DK,52,21,32,22,25,12,4
2009-06-01,DK,67,23,37,14,0,17,0
2009-07-01,DK,72,22,35,13,23,17,0
2009-08-01,DK,61,22,30,10,32,19,7
2009-09-01,DK,75,19,23,13,20,7,4
2009-10-01,DK,43,16,21,3,17,11,6
2009-11-01,DK,50,16,18,8,21,10,3
2009-12-01,DK,32,15,18,6,0,4,0
2010-01-01,DK,40,17,21,11,17,6,10
2010-02-01,DK,40,17,24,13,18,7,5
2010-03-01,DK,43,18,24,6,29,11,0
2010-04-01,DK,64,23,24,17,38,10,2
2010-05-01,DK,49,20,28,5,14,14,7
2010-06-01,DK,59,21,30,15,21,19,3
2010-07-01,DK,74,20,30,6,28,11,4
2010-08-01,DK,40,17,25,7,22,15,6
2010-09-01,DK,39,15,24,6,22,6,8
2010-10-01,DK,49,13,23,3,22,6,5
2010-11-01,DK,33,13,18,6,14,8,3
2010-12-01,DK,32,12,15,7,18,6,3
2011-01-01,DK,29,14,20,7,7,7,4
2011-02-01,DK,38,18,24,12,21,8,3
2011-03-01,DK,34,14,20,9,24,9,7
2011-04-01,DK,38,15,23,7,22,11,10
2011-05-01,DK,42,16,26,10,26,8,5
2011-06-01,DK,47,16,25,13,25,12,0
2011-07-01,DK,53,18,29,11,17,26,4
2011-08-01,DK,50,16,27,11,13,12,4
2011-09-01,DK,42,13,21,6,8,15,3
2011-10-01,DK,43,12,22,8,20,0,2
2011-11-01,DK,33,12,20,4,13,3,4
2011-12-01,DK,33,11,17,9,18,4,5
2012-01-01,DK,36,14,23,6,27,10,4
2012-02-01,DK,40,15,25,9,22,9,3
2012-03-01,DK,44,14,22,8,15,16,1
2012-04-01,DK,45,16,26,11,23,11,4
2012-05-01,DK,48,16,27,19,6,13,6
2012-06-01,DK,41,17,28,13,28,13,5
2012-07-01,DK,65,16,29,9,22,13,6
2012-08-01,DK,52,15,23,8,18,13,3
2012-09-01,DK,47,14,22,6,24,8,4
2012-10-01,DK,46,12,20,7,13,9,3
2012-11-01,DK,30,10,17,3,12,6,2
2012-12-01,DK,31,10,13,6,16,8,2
2013-01-01,DK,35,13,20,10,19,11,6
2013-02-01,DK,32,13,19,5,19,7,4
2013-03-01,DK,34,13,20,6,20,6,4
2013-04-01,DK,43,14,23,11,14,11,5
2013-05-01,DK,45,14,21,6,24,11,1
2013-06-01,DK,50,17,26,8,26,16,3
2013-07-01,DK,62,17,27,9,30,16,3
2013-08-01,DK,50,15,23,9,24,11,6
2013-09-01,DK,46,13,20,4,24,8,4
2013-10-01,DK,38,13,22,5,25,6,2
2013-11-01,DK,31,11,17,5,17,8,3
2013-12-01,DK,31,10,15,5,17,9,6
2014-01-01,DK,29,14,25,5,29,14,8
2014-02-01,DK,32,16,19,5,23,9,6
2014-03-01,DK,41,18,22,9,25,6,5
2014-04-01,DK,43,15,20,8,25,16,5
2014-05-01,DK,50,16,23,10,20,14,6
2014-06-01,DK,53,17,27,12,30,18,5
2014-07-01,DK,74,18,26,10,19,27,6
2014-08-01,DK,69,17,26,9,27,14,4
2014-09-01,DK,51,14,21,2,32,6,3
2014-10-01,DK,42,13,20,11,25,9,4
2014-11-01,DK,34,12,19,6,21,7,1
2014-12-01,DK,33,12,17,5,15,5,5
2015-01-01,DK,33,14,19,7,24,11,8
2015-02-01,DK,33,15,21,4,16,5,7
2015-03-01,DK,44,15,21,8,22,8,8
2015-04-01,DK,49,15,21,7,20,11,7
2015-05-01,DK,45,16,23,8,25,12,6
2015-06-01,DK,54,18,26,12,28,9,7
2015-07-01,DK,67,19,26,12,31,17,5
2015-08-01,DK,63,18,25,11,39,15,6
2015-09-01,DK,49,14,21,7,21,4,5
2015-10-01,DK,38,14,20,4,23,9,6
2015-11-01,DK,34,13,17,8,16,10,6
2015-12-01,DK,29,12,16,7,22,7,6
2016-01-01,DK,42,16,22,9,29,11,7
2016-02-01,DK,44,15,19,7,30,11,7
2016-03-01,DK,39,16,23,6,26,16,7
2016-04-01,DK,49,16,21,10,25,17,8
2016-05-01,DK,59,17,24,6,18,10,7
2016-06-01,DK,57,18,23,11,21,14,6
2016-07-01,DK,74,19,26,7,23,20,5
2016-08-01,DK,61,18,24,7,26,20,6
2016-09-01,DK,53,14,19,9,26,9,4
2016-10-01,DK,40,14,19,11,20,11,4
2016-11-01,DK,41,14,18,1,28,7,3
2016-12-01,DK,36,12,14,6,26,7,4
2017-01-01,DK,38,16,21,5,22,13,7
2017-02-01,DK,39,16,20,7,23,7,6
2017-03-01,DK,50,17,22,9,15,9,5
2017-04-01,DK,52,16,21,9,30,16,4
2017-05-01,DK,52,18,23,13,19,12,5
2017-06-01,DK,54,18,24,12,21,17,7
2017-07-01,DK,66,20,26,9,29,23,6
2017-08-01,DK,63,19,25,11,21,13,5
2017-09-01,DK,51,16,20,7,26,13,5
2017-10-01,DK,45,16,21,7,22,8,5
2017-11-01,DK,37,16,22,11,20,9,5
2017-12-01,DK,32,14,17,7,18,12,4
2018-01-01,DK,40,16,21,9,18,13,4
2018-02-01,DK,47,17,22,6,22,7,6
2018-03-01,DK,44,17,21,8,19,12,7
2018-04-01,DK,45,17,21,9,18,14,4
2018-05-01,DK,50,18,24,9,20,18,4
2018-06-01,DK,68,22,29,13,33,21,7
2018-07-01,DK,90,22,29,10,35,27,6
2018-08-01,DK,77,19,26,10,25,22,5
2018-09-01,DK,52,16,20,4,14,8,4
2018-10-01,DK,46,15,14,5,20,9,4
2018-11-01,DK,32,13,19,8,14,9,7
2018-12-01,DK,37,13,17,7,15,13,7
2019-01-01,DK,38,16,19,8,18,13,6
2019-02-01,DK,37,16,18,7,25,11,5
2019-03-01,DK,38,15,18,7,23,13,6
2019-04-01,DK,53,16,19,10,21,9,4
2019-05-01,DK,48,18,25,10,23,17,6
2019-06-01,DK,62,19,24,13,26,18,5
2019-07-01,DK,76,18,25,10,25,24,4
2019-08-01,DK,65,18,23,5,22,17,6
2019-09-01,DK,46,15,19,10,21,10,6
2019-10-01,DK,45,14,16,8,13,11,6
2019-11-01,DK,38,15,17,9,24,9,4
2019-12-01,DK,34,13,16,10,15,8,2
2020-01-01,DK,35,16,18,11,17,8,4
2020-02-01,DK,42,16,21,6,18,9,5
2020-03-01,DK,55,15,24,7,17,11,8
2020-04-01,DK,32,9,15,7,22,6,4
2020-05-01,DK,38,11,19,7,23,11,4
2020-06-01,DK,55,13,23,9,25,14,6
2020-07-01,DK,70,16,26,11,27,19,6
2020-08-01,DK,58,14,24,10,26,14,6
2020-09-01,DK,45,17,22,9,21,12,9
2020-10-01,DK,42,16,21,10,20,8,7
2020-11-01,DK,36,10,14,8,17,5,3
2020-12-01,DK,30,9,13,8,23,9,4
2021-01-01,DK,31,10,13,6,19,10,3
2021-02-01,DK,32,8,11,5,16,8,3
2021-03-01,DK,37,10,11,8,17,9,4
2021-04-01,DK,35,10,14,4,13,10,6
2021-05-01,DK,46,12,14,13,17,10,8
2021-06-01,DK,59,20,21,15,24,17,11
2021-07-01,DK,100,89,26,13,26,21,11
2021-08-01,DK,69,18,20,10,30,16,11
2021-09-01,DK,54,16,22,11,24,11,5
2021-10-01,DK,67,17,21,8,16,7,6
2021-11-01,DK,53,15,26,6,12,8,8
2021-12-01,DK,50,14,13,7,17,13,9
2022-01-01,DK,49,15,19,7,15,14,7
2022-02-01,DK,54,16,17,8,21,12,7
2022-03-01,DK,54,15,17,9,25,11,7
2022-04-01,DK,65,17,17,10,26,12,7
2022-05-01,DK,56,16,18,8,23,15,6
2022-06-01,DK,92,25,19,11,23,13,4
2022-07-01,DK,84,19,24,11,23,19,5
2022-08-01,DK,70,16,19,9,24,15,3
2022-09-01,DK,55,14,18,5,22,8,3
2022-10-01,DK,57,13,16,7,18,7,4
2022-11-01,DK,64,100,15,8,17,7,5
2022-12-01,DK,42,13,14,5,18,8,4
