date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,ES,54,89,77,64,81,55,75
2004-02-01,ES,71,87,75,62,100,52,75
2004-03-01,ES,56,100,100,65,59,47,94
2004-04-01,ES,66,87,82,72,84,49,73
2004-05-01,ES,60,91,80,100,97,47,97
2004-06-01,ES,57,90,72,82,69,41,65
2004-07-01,ES,70,94,70,81,80,100,89
2004-08-01,ES,81,88,65,77,63,60,0
2004-09-01,ES,68,77,69,57,51,0,52
2004-10-01,ES,58,62,60,39,54,31,62
2004-11-01,ES,52,56,51,27,46,11,16
2004-12-01,ES,41,47,43,36,30,23,52
2005-01-01,ES,51,82,71,58,70,28,66
2005-02-01,ES,50,78,70,60,71,48,100
2005-03-01,ES,55,79,71,64,60,36,87
2005-04-01,ES,48,84,71,73,59,67,69
2005-05-01,ES,52,82,72,76,82,53,74
2005-06-01,ES,58,82,76,84,67,49,55
2005-07-01,ES,66,84,72,84,83,72,65
2005-08-01,ES,70,79,60,80,65,59,60
2005-09-01,ES,55,68,58,56,62,39,52
2005-10-01,ES,51,55,49,35,54,22,51
2005-11-01,ES,41,48,38,32,49,34,38
2005-12-01,ES,35,44,35,30,32,14,13
2006-01-01,ES,37,73,58,52,66,50,39
2006-02-01,ES,43,69,57,47,53,47,41
2006-03-01,ES,47,65,58,54,75,22,53
2006-04-01,ES,49,66,54,60,67,43,53
2006-05-01,ES,53,70,58,62,50,53,74
2006-06-01,ES,50,66,54,60,58,59,47
2006-07-01,ES,60,70,57,71,69,48,60
2006-08-01,ES,55,64,52,48,54,48,67
2006-09-01,ES,52,57,58,46,51,26,46
2006-10-01,ES,46,51,46,34,39,15,64
2006-11-01,ES,45,43,39,27,34,17,40
2006-12-01,ES,42,40,36,31,24,13,45
2007-01-01,ES,47,61,51,47,54,42,51
2007-02-01,ES,44,59,55,46,62,26,49
2007-03-01,ES,56,61,60,49,50,39,51
2007-04-01,ES,51,60,53,53,51,29,52
2007-05-01,ES,48,67,58,54,45,56,52
2007-06-01,ES,52,63,54,56,49,38,59
2007-07-01,ES,61,70,54,66,65,55,66
2007-08-01,ES,58,61,47,51,64,40,52
2007-09-01,ES,49,53,44,39,42,13,49
2007-10-01,ES,46,44,41,25,41,20,49
2007-11-01,ES,39,35,32,23,32,17,44
2007-12-01,ES,31,32,27,26,28,13,30
2008-01-01,ES,35,56,44,37,53,29,52
2008-02-01,ES,39,51,39,40,47,22,52
2008-03-01,ES,43,57,46,45,47,26,45
2008-04-01,ES,38,61,47,50,57,37,50
2008-05-01,ES,41,58,47,49,53,28,41
2008-06-01,ES,43,59,44,51,55,30,42
2008-07-01,ES,48,61,43,62,54,43,42
2008-08-01,ES,49,51,42,45,57,35,42
2008-09-01,ES,39,42,36,32,39,23,42
2008-10-01,ES,34,35,29,23,28,18,33
2008-11-01,ES,33,28,25,17,24,17,34
2008-12-01,ES,27,26,20,17,19,10,29
2009-01-01,ES,33,44,34,28,43,15,40
2009-02-01,ES,38,41,35,33,33,20,35
2009-03-01,ES,36,47,39,40,37,25,35
2009-04-01,ES,41,51,41,48,44,26,48
2009-05-01,ES,36,54,42,53,42,27,43
2009-06-01,ES,37,60,44,82,43,32,46
2009-07-01,ES,47,61,44,89,45,30,43
2009-08-01,ES,42,54,39,56,41,28,43
2009-09-01,ES,37,44,35,39,29,20,37
2009-10-01,ES,33,39,33,27,25,15,32
2009-11-01,ES,31,30,27,21,21,13,25
2009-12-01,ES,26,25,21,20,19,12,28
2010-01-01,ES,30,44,30,33,35,18,42
2010-02-01,ES,33,44,36,36,33,23,41
2010-03-01,ES,31,47,35,39,35,24,41
2010-04-01,ES,36,51,36,41,34,17,39
2010-05-01,ES,30,49,35,45,32,24,37
2010-06-01,ES,34,46,33,42,37,20,36
2010-07-01,ES,39,47,34,39,44,32,44
2010-08-01,ES,37,41,31,33,32,26,38
2010-09-01,ES,29,35,29,24,29,14,40
2010-10-01,ES,27,30,24,19,23,12,31
2010-11-01,ES,23,25,20,13,20,11,26
2010-12-01,ES,23,22,19,12,15,7,24
2011-01-01,ES,30,37,27,24,31,26,33
2011-02-01,ES,32,35,29,25,32,17,36
2011-03-01,ES,33,39,33,26,31,21,35
2011-04-01,ES,39,39,33,29,28,17,37
2011-05-01,ES,34,42,36,34,33,21,36
2011-06-01,ES,40,43,36,33,35,22,41
2011-07-01,ES,48,43,35,32,30,24,39
2011-08-01,ES,46,40,32,27,30,22,37
2011-09-01,ES,39,32,30,19,26,12,33
2011-10-01,ES,37,30,25,16,25,14,30
2011-11-01,ES,31,23,21,14,20,11,26
2011-12-01,ES,26,22,20,11,17,10,27
2012-01-01,ES,31,35,28,21,28,20,32
2012-02-01,ES,34,33,29,19,28,16,30
2012-03-01,ES,37,35,30,22,29,18,36
2012-04-01,ES,42,39,35,25,31,21,35
2012-05-01,ES,45,40,34,25,31,22,40
2012-06-01,ES,48,45,35,30,37,28,41
2012-07-01,ES,56,46,38,31,39,34,38
2012-08-01,ES,57,39,32,26,38,23,38
2012-09-01,ES,49,36,32,20,33,19,33
2012-10-01,ES,45,27,26,14,25,13,30
2012-11-01,ES,32,22,19,10,23,10,24
2012-12-01,ES,29,19,17,9,21,10,26
2013-01-01,ES,33,32,27,16,36,22,34
2013-02-01,ES,35,31,27,18,33,19,32
2013-03-01,ES,41,34,32,20,30,17,38
2013-04-01,ES,42,36,29,24,33,18,37
2013-05-01,ES,46,38,32,24,34,17,30
2013-06-01,ES,54,47,32,29,33,22,36
2013-07-01,ES,60,41,30,29,37,23,45
2013-08-01,ES,61,35,29,23,34,20,38
2013-09-01,ES,52,30,27,18,27,14,33
