date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,FI,70,100,41,0,0,0,0
2004-02-01,FI,91,79,52,0,0,100,0
2004-03-01,FI,87,89,100,0,0,47,0
2004-04-01,FI,88,91,56,64,0,25,0
2004-05-01,FI,64,81,56,80,43,35,0
2004-06-01,FI,86,86,52,31,70,34,43
2004-07-01,FI,85,86,65,0,0,50,40
2004-08-01,FI,62,70,54,0,53,0,44
2004-09-01,FI,76,75,27,0,45,0,0
2004-10-01,FI,63,64,68,61,100,0,0
2004-11-01,FI,61,64,36,0,42,0,0
2004-12-01,FI,55,62,26,76,0,41,0
2005-01-01,FI,64,83,46,0,84,39,19
2005-02-01,FI,66,74,18,0,0,24,0
2005-03-01,FI,73,68,42,0,0,29,100
2005-04-01,FI,69,72,13,0,0,16,0
2005-05-01,FI,48,59,36,0,58,18,0
2005-06-01,FI,65,76,49,0,0,0,22
2005-07-01,FI,69,65,57,64,0,15,0
2005-08-01,FI,77,72,44,0,24,0,0
2005-09-01,FI,51,51,36,32,31,0,0
2005-10-01,FI,33,47,47,28,0,18,0
2005-11-01,FI,47,58,34,0,18,0,40
2005-12-01,FI,41,53,47,0,63,12,20
2006-01-01,FI,59,60,40,52,39,26,28
2006-02-01,FI,49,59,27,27,40,43,72
2006-03-01,FI,55,60,33,41,0,16,0
2006-04-01,FI,45,52,28,41,23,0,20
2006-05-01,FI,53,63,30,31,0,17,0
2006-06-01,FI,49,59,46,28,0,17,38
2006-07-01,FI,62,62,40,100,0,29,0
2006-08-01,FI,45,47,30,33,16,19,21
2006-09-01,FI,37,49,30,13,0,9,0
2006-10-01,FI,43,48,35,16,15,12,17
2006-11-01,FI,37,49,28,0,0,25,21
2006-12-01,FI,34,47,26,13,14,8,0
2007-01-01,FI,41,51,29,33,0,8,14
2007-02-01,FI,33,52,39,12,10,19,15
2007-03-01,FI,41,49,45,27,14,12,0
2007-04-01,FI,42,47,31,45,0,16,38
2007-05-01,FI,37,47,25,12,17,10,7
2007-06-01,FI,48,54,34,45,0,29,20
2007-07-01,FI,39,50,39,20,0,25,18
2007-08-01,FI,47,44,23,15,16,21,14
2007-09-01,FI,34,42,25,12,0,10,14
2007-10-01,FI,38,42,20,29,13,6,0
2007-11-01,FI,32,40,23,11,26,13,6
2007-12-01,FI,35,41,27,0,50,19,8
2008-01-01,FI,46,50,25,0,0,7,9
2008-02-01,FI,51,44,29,6,12,7,7
2008-03-01,FI,53,44,45,14,13,16,9
2008-04-01,FI,42,41,23,20,9,5,10
2008-05-01,FI,32,40,27,12,17,20,14
2008-06-01,FI,43,40,22,19,26,12,12
2008-07-01,FI,42,45,25,17,14,22,14
2008-08-01,FI,38,40,26,45,0,24,5
2008-09-01,FI,36,37,26,0,16,11,10
2008-10-01,FI,27,35,23,12,22,8,12
2008-11-01,FI,34,33,24,0,11,0,6
2008-12-01,FI,32,31,21,6,0,15,12
2009-01-01,FI,34,36,21,8,16,0,9
2009-02-01,FI,42,35,22,0,13,25,18
2009-03-01,FI,31,31,26,20,21,6,11
2009-04-01,FI,33,28,21,15,15,12,4
2009-05-01,FI,39,35,21,12,12,4,9
2009-06-01,FI,49,38,23,23,11,16,0
2009-07-01,FI,41,37,21,18,12,8,6
2009-08-01,FI,32,31,25,13,21,18,0
2009-09-01,FI,38,32,20,0,25,4,3
2009-10-01,FI,35,34,20,6,9,3,5
2009-11-01,FI,38,34,24,7,14,9,13
2009-12-01,FI,33,29,12,7,23,12,4
2010-01-01,FI,46,34,17,4,12,9,14
