date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,FR,62,85,78,60,97,52,86
2004-02-01,FR,63,80,80,71,78,46,70
2004-03-01,FR,56,71,77,69,76,47,58
2004-04-01,FR,65,81,83,95,67,55,85
2004-05-01,FR,69,91,90,95,68,63,86
2004-06-01,FR,67,93,94,97,77,76,86
2004-07-01,FR,81,100,100,91,100,100,91
2004-08-01,FR,78,80,84,100,78,63,44
2004-09-01,FR,62,70,64,64,59,30,39
2004-10-01,FR,53,62,57,44,50,22,69
2004-11-01,FR,52,61,54,46,43,21,29
2004-12-01,FR,52,56,47,32,53,26,45
2005-01-01,FR,57,84,69,66,73,55,48
2005-02-01,FR,62,81,74,61,77,45,58
2005-03-01,FR,63,87,74,60,76,47,100
2005-04-01,FR,65,82,79,81,70,52,66
2005-05-01,FR,60,87,77,70,67,62,79
2005-06-01,FR,72,93,78,83,79,77,74
2005-07-01,FR,90,100,95,88,82,93,77
2005-08-01,FR,81,93,81,73,76,65,75
2005-09-01,FR,55,69,56,56,62,25,33
2005-10-01,FR,53,65,54,38,64,20,45
2005-11-01,FR,48,58,43,36,50,23,59
2005-12-01,FR,47,54,40,35,40,21,46
2006-01-01,FR,52,73,59,45,65,53,61
2006-02-01,FR,55,75,63,52,63,44,58
2006-03-01,FR,53,73,65,57,59,39,67
2006-04-01,FR,57,78,66,58,62,44,67
2006-05-01,FR,55,79,72,64,62,54,69
2006-06-01,FR,58,82,71,76,70,64,57
2006-07-01,FR,73,99,93,72,83,92,62
2006-08-01,FR,71,82,68,59,81,59,50
2006-09-01,FR,51,68,54,45,60,25,30
2006-10-01,FR,49,64,51,39,54,19,49
2006-11-01,FR,44,57,44,39,48,18,38
2006-12-01,FR,42,57,38,36,46,19,35
2007-01-01,FR,52,78,54,55,72,46,48
2007-02-01,FR,53,73,57,58,62,39,52
2007-03-01,FR,57,77,63,56,57,41,53
2007-04-01,FR,56,76,63,64,66,49,50
2007-05-01,FR,57,78,60,66,65,47,55
2007-06-01,FR,61,82,65,70,70,54,64
2007-07-01,FR,76,91,69,69,79,79,59
2007-08-01,FR,68,75,61,56,68,54,58
2007-09-01,FR,52,65,52,41,59,24,42
2007-10-01,FR,53,61,46,34,50,16,46
2007-11-01,FR,47,56,38,30,47,16,30
2007-12-01,FR,42,51,34,30,41,18,41
2008-01-01,FR,52,69,46,44,63,41,52
2008-02-01,FR,54,63,48,43,58,37,46
2008-03-01,FR,57,72,49,49,58,38,44
2008-04-01,FR,59,68,49,57,61,38,55
2008-05-01,FR,56,66,50,58,55,43,45
2008-06-01,FR,57,69,55,58,58,47,42
2008-07-01,FR,77,75,57,60,66,66,58
2008-08-01,FR,64,68,47,45,60,47,48
2008-09-01,FR,53,59,40,33,51,21,31
2008-10-01,FR,54,52,34,28,49,16,34
2008-11-01,FR,45,47,30,21,41,15,28
2008-12-01,FR,43,44,27,25,37,14,26
2009-01-01,FR,52,56,35,38,51,32,35
2009-02-01,FR,55,62,37,38,53,32,45
2009-03-01,FR,56,60,39,43,55,32,38
2009-04-01,FR,58,66,41,48,58,41,44
2009-05-01,FR,56,63,43,57,55,45,47
2009-06-01,FR,62,96,44,64,62,55,54
2009-07-01,FR,72,79,47,71,73,70,58
2009-08-01,FR,66,66,42,53,60,49,45
2009-09-01,FR,48,54,36,38,47,20,35
2009-10-01,FR,50,51,32,32,48,15,30
2009-11-01,FR,47,48,29,34,40,16,33
2009-12-01,FR,47,48,27,34,39,15,30
2010-01-01,FR,53,58,33,37,60,36,38
2010-02-01,FR,57,55,36,43,56,36,42
2010-03-01,FR,60,61,36,43,57,36,42
2010-04-01,FR,69,69,37,57,52,39,41
2010-05-01,FR,60,62,37,48,57,44,44
2010-06-01,FR,59,62,38,48,52,47,43
2010-07-01,FR,68,65,38,46,62,60,53
2010-08-01,FR,64,53,32,38,54,44,44
2010-09-01,FR,48,47,27,30,43,18,31
2010-10-01,FR,47,44,24,26,39,13,30
2010-11-01,FR,44,40,22,21,37,12,27
2010-12-01,FR,48,45,21,23,37,13,28
2011-01-01,FR,47,48,27,27,46,28,33
2011-02-01,FR,47,46,26,24,41,26,34
2011-03-01,FR,49,47,25,28,44,27,41
2011-04-01,FR,52,47,28,32,48,28,40
2011-05-01,FR,49,49,29,34,45,34,42
2011-06-01,FR,54,52,31,36,50,40,37
2011-07-01,FR,64,59,32,37,57,57,51
2011-08-01,FR,59,49,26,28,48,37,47
2011-09-01,FR,48,42,24,23,41,17,35
2011-10-01,FR,47,40,21,20,34,12,30
2011-11-01,FR,40,35,20,16,32,11,26
2011-12-01,FR,41,34,17,17,29,11,25
2012-01-01,FR,45,47,23,22,40,25,34
2012-02-01,FR,50,43,23,24,42,22,33
2012-03-01,FR,50,42,23,25,39,22,38
2012-04-01,FR,51,44,25,26,41,26,40
2012-05-01,FR,49,44,25,28,42,26,39
2012-06-01,FR,53,47,28,29,42,32,42
2012-07-01,FR,65,53,30,32,51,39,45
2012-08-01,FR,64,45,24,26,45,33,40
2012-09-01,FR,49,39,22,22,37,16,32
2012-10-01,FR,46,36,20,16,32,11,29
2012-11-01,FR,38,30,15,15,28,9,23
2012-12-01,FR,40,31,16,14,24,10,23
2013-01-01,FR,51,42,20,21,37,22,31
2013-02-01,FR,49,40,22,22,38,22,33
2013-03-01,FR,54,41,22,24,39,20,35
2013-04-01,FR,54,41,23,26,36,23,33
2013-05-01,FR,53,42,25,29,41,27,42
2013-06-01,FR,58,48,26,31,41,32,41
2013-07-01,FR,67,48,27,31,44,36,41
2013-08-01,FR,63,44,24,24,44,29,38
2013-09-01,FR,50,39,22,18,33,14,30
2013-10-01,FR,47,33,17,17,30,11,26
2013-11-01,FR,40,29,15,15,26,9,26
2013-12-01,FR,38,31,14,13,25,10,22
2014-01-01,FR,47,38,19,19,35,22,29
2014-02-01,FR,51,37,19,20,33,19,33
2014-03-01,FR,49,39,20,20,34,19,34
2014-04-01,FR,52,39,21,25,37,22,35
2014-05-01,FR,52,41,22,26,38,25,35
2014-06-01,FR,69,50,24,30,38,29,40
2014-07-01,FR,70,51,28,31,49,35,47
2014-08-01,FR,67,43,22,23,39,28,41
2014-09-01,FR,53,38,18,19,32,14,28
2014-10-01,FR,46,31,15,15,28,10,27
2014-11-01,FR,41,29,14,14,27,9,26
2014-12-01,FR,40,29,13,12,25,9,25
2015-01-01,FR,46,35,20,17,31,19,30
2015-02-01,FR,50,35,17,17,33,19,33
