date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,GR,49,0,0,19,48,32,32
2004-02-01,GR,60,0,0,45,75,0,30
2004-03-01,GR,61,0,0,65,32,74,0
2004-04-01,GR,45,0,0,39,73,25,100
2004-05-01,GR,70,0,0,100,66,14,58
2004-06-01,GR,80,0,0,42,82,100,18
2004-07-01,GR,100,0,0,81,55,65,28
2004-08-01,GR,93,0,0,41,38,21,44
2004-09-01,GR,59,0,0,43,82,0,30
2004-10-01,GR,44,0,0,30,100,0,0
2004-11-01,GR,30,0,0,32,27,0,78
2004-12-01,GR,20,0,0,15,46,0,32
2005-01-01,GR,28,0,0,30,39,0,51
2005-02-01,GR,30,0,0,41,0,0,53
2005-03-01,GR,28,0,0,45,40,20,38
2005-04-01,GR,29,0,0,52,50,0,48
2005-05-01,GR,41,0,0,45,87,11,55
2005-06-01,GR,46,0,0,67,72,34,31
2005-07-01,GR,49,0,0,77,34,28,70
2005-08-01,GR,40,0,0,56,35,0,45
2005-09-01,GR,29,0,0,42,42,14,11
2005-10-01,GR,23,0,0,12,24,8,35
2005-11-01,GR,21,0,0,24,25,7,28
2005-12-01,GR,16,0,0,19,26,7,32
2006-01-01,GR,20,0,0,30,31,41,30
2006-02-01,GR,32,0,0,16,27,24,38
2006-03-01,GR,31,0,0,40,40,20,0
2006-04-01,GR,39,0,0,44,28,23,28
2006-05-01,GR,36,0,0,54,67,29,23
2006-06-01,GR,55,0,0,56,63,31,19
2006-07-01,GR,49,0,0,46,48,17,26
2006-08-01,GR,39,0,0,47,22,16,0
2006-09-01,GR,30,0,0,35,17,14,42
2006-10-01,GR,30,0,0,19,43,10,15
2006-11-01,GR,23,0,0,14,6,7,11
2006-12-01,GR,21,0,0,18,28,6,18
2007-01-01,GR,23,0,0,25,40,0,21
2007-02-01,GR,19,0,0,27,54,11,14
2007-03-01,GR,24,0,0,39,16,9,31
2007-04-01,GR,30,0,0,38,57,18,20
2007-05-01,GR,31,0,0,54,49,28,45
2007-06-01,GR,38,0,0,46,47,16,16
2007-07-01,GR,42,0,0,51,45,29,27
2007-08-01,GR,36,0,0,45,41,22,39
2007-09-01,GR,25,0,0,28,20,12,31
2007-10-01,GR,19,0,0,15,23,7,17
2007-11-01,GR,20,0,0,19,24,12,20
2007-12-01,GR,16,0,0,15,16,0,15
2008-01-01,GR,14,0,0,23,40,12,25
2008-02-01,GR,18,0,0,29,0,11,18
2008-03-01,GR,19,0,0,27,35,12,21
2008-04-01,GR,20,0,0,35,24,12,29
2008-05-01,GR,23,0,0,38,39,15,34
2008-06-01,GR,27,0,0,41,39,15,33
2008-07-01,GR,30,0,0,43,49,16,37
2008-08-01,GR,25,0,0,34,23,17,25
2008-09-01,GR,20,0,0,33,41,5,21
2008-10-01,GR,17,0,0,20,33,4,18
2008-11-01,GR,13,0,0,15,12,4,9
2008-12-01,GR,15,0,0,12,20,2,13
2009-01-01,GR,15,0,0,15,25,10,16
2009-02-01,GR,14,0,0,19,35,11,18
2009-03-01,GR,16,0,0,19,33,8,29
2009-04-01,GR,20,0,0,31,17,12,32
2009-05-01,GR,24,0,0,37,29,11,26
2009-06-01,GR,28,0,0,38,31,12,29
2009-07-01,GR,29,0,0,45,21,19,34
2009-08-01,GR,27,0,0,36,21,11,32
2009-09-01,GR,17,0,0,22,15,12,20
2009-10-01,GR,16,0,0,20,16,7,17
2009-11-01,GR,14,0,0,17,17,7,12
2009-12-01,GR,14,0,0,14,18,12,12
2010-01-01,GR,13,0,0,16,19,8,17
2010-02-01,GR,16,0,0,21,35,6,18
2010-03-01,GR,14,0,0,26,27,9,24
2010-04-01,GR,17,0,0,32,27,10,27
2010-05-01,GR,17,69,89,36,27,8,42
2010-06-01,GR,22,67,88,37,31,8,32
2010-07-01,GR,24,68,86,35,22,10,31
2010-08-01,GR,18,55,73,24,25,7,13
2010-09-01,GR,14,36,63,16,21,4,19
2010-10-01,GR,14,30,50,14,16,5,19
2010-11-01,GR,11,24,46,8,14,4,9
2010-12-01,GR,11,26,44,12,9,3,8
2011-01-01,GR,9,40,58,16,21,8,17
2011-02-01,GR,10,36,57,14,16,10,21
2011-03-01,GR,10,41,61,13,16,7,17
2011-04-01,GR,12,45,66,22,21,5,17
2011-05-01,GR,14,56,81,27,23,6,28
2011-06-01,GR,16,67,96,30,35,14,36
2011-07-01,GR,20,58,79,32,40,9,22
2011-08-01,GR,18,50,73,28,23,11,21
2011-09-01,GR,15,38,57,18,12,6,19
2011-10-01,GR,11,29,45,17,15,2,10
2011-11-01,GR,9,26,43,7,15,5,11
2011-12-01,GR,8,22,37,8,19,5,12
2012-01-01,GR,9,37,49,13,20,8,16
2012-02-01,GR,9,36,57,12,16,6,25
2012-03-01,GR,9,36,52,15,16,5,21
2012-04-01,GR,11,43,62,17,18,4,17
2012-05-01,GR,12,54,72,19,23,9,33
2012-06-01,GR,15,64,77,28,27,14,29
2012-07-01,GR,21,61,78,26,25,12,21
2012-08-01,GR,18,48,66,24,25,4,20
2012-09-01,GR,13,39,59,16,17,5,19
2012-10-01,GR,11,26,42,10,13,5,10
2012-11-01,GR,7,21,37,7,14,3,9
2012-12-01,GR,8,19,35,7,10,0,10
2013-01-01,GR,8,37,53,10,18,4,15
2013-02-01,GR,8,36,52,11,17,3,16
2013-03-01,GR,9,38,57,13,21,5,17
2013-04-01,GR,10,44,62,18,21,7,20
2013-05-01,GR,14,50,69,21,26,5,19
2013-06-01,GR,16,57,73,25,27,6,22
2013-07-01,GR,19,63,79,27,36,10,29
2013-08-01,GR,18,59,73,22,27,8,26
2013-09-01,GR,14,41,57,15,15,3,20
2013-10-01,GR,10,33,55,10,19,2,10
2013-11-01,GR,8,25,37,8,13,2,9
2013-12-01,GR,7,22,38,8,15,4,14
2014-01-01,GR,8,43,55,12,20,5,14
2014-02-01,GR,9,42,60,13,26,4,14
2014-03-01,GR,10,43,60,16,26,5,17
2014-04-01,GR,10,46,67,19,18,6,17
2014-05-01,GR,13,58,78,21,23,5,24
2014-06-01,GR,18,69,82,27,30,11,32
2014-07-01,GR,20,64,81,27,35,9,27
2014-08-01,GR,18,56,74,22,32,8,23
2014-09-01,GR,15,42,58,13,20,8,21
2014-10-01,GR,10,29,47,11,20,2,9
2014-11-01,GR,7,25,36,8,12,3,11
2014-12-01,GR,7,26,36,10,12,3,13
2015-01-01,GR,6,44,60,13,19,5,21
2015-02-01,GR,7,43,57,14,20,4,22
2015-03-01,GR,8,45,60,14,23,5,20
2015-04-01,GR,10,53,70,20,24,8,23
2015-05-01,GR,12,59,81,21,19,8,22
2015-06-01,GR,17,81,94,31,33,10,61
2015-07-01,GR,21,100,100,32,44,13,72
2015-08-01,GR,20,58,71,23,30,10,32
2015-09-01,GR,16,41,56,18,21,4,22
2015-10-01,GR,11,29,44,10,18,4,14
2015-11-01,GR,8,24,36,9,9,2,8
2015-12-01,GR,7,22,32,8,11,3,10
2016-01-01,GR,8,40,54,11,17,4,18
2016-02-01,GR,8,41,59,15,22,5,17
2016-03-01,GR,9,41,59,14,18,1,21
2016-04-01,GR,11,46,66,19,23,4,21
2016-05-01,GR,15,55,77,23,21,6,29
2016-06-01,GR,17,65,85,29,30,7,34
2016-07-01,GR,22,71,91,28,30,10,34
2016-08-01,GR,21,59,80,24,21,8,27
2016-09-01,GR,17,45,0,17,22,5,16
2016-10-01,GR,11,33,0,17,14,4,11
2016-11-01,GR,8,29,0,9,15,5,11
2016-12-01,GR,8,30,0,13,12,3,14
2017-01-01,GR,8,49,0,16,20,4,22
2017-02-01,GR,9,44,0,17,22,4,15
2017-03-01,GR,10,52,0,20,19,8,22
2017-04-01,GR,12,54,0,23,19,6,26
2017-05-01,GR,17,68,0,27,24,9,25
2017-06-01,GR,20,70,0,31,28,11,31
2017-07-01,GR,26,84,0,33,30,9,31
2017-08-01,GR,22,67,0,27,27,12,23
2017-09-01,GR,21,54,0,20,20,7,19
2017-10-01,GR,15,44,0,16,15,5,12
2017-11-01,GR,10,38,0,11,16,4,13
2017-12-01,GR,9,34,0,11,14,3,16
2018-01-01,GR,9,55,0,18,22,5,20
2018-02-01,GR,9,50,0,18,25,5,18
2018-03-01,GR,10,56,0,23,22,7,20
2018-04-01,GR,14,59,0,23,20,6,25
2018-05-01,GR,18,68,0,27,27,9,24
2018-06-01,GR,22,78,0,30,27,10,28
2018-07-01,GR,25,88,0,35,28,12,41
2018-08-01,GR,25,67,0,27,31,10,28
2018-09-01,GR,21,55,0,21,20,5,23
2018-10-01,GR,14,40,0,17,23,5,13
2018-11-01,GR,9,32,0,10,11,4,13
2018-12-01,GR,9,31,0,12,11,2,7
2019-01-01,GR,9,55,0,19,24,4,23
2019-02-01,GR,8,47,0,17,20,6,13
2019-03-01,GR,9,50,0,19,22,8,20
2019-04-01,GR,12,56,0,20,20,8,21
2019-05-01,GR,17,75,0,27,28,10,36
2019-06-01,GR,19,79,0,32,31,9,34
2019-07-01,GR,24,80,0,32,33,12,30
2019-08-01,GR,23,70,0,26,26,10,28
2019-09-01,GR,21,59,0,25,22,8,20
2019-10-01,GR,14,45,0,15,17,5,13
2019-11-01,GR,10,34,0,13,18,4,13
2019-12-01,GR,9,34,0,16,18,3,13
2020-01-01,GR,9,53,0,19,20,5,21
2020-02-01,GR,9,49,0,19,20,5,24
2020-03-01,GR,13,41,0,11,14,5,25
2020-04-01,GR,9,30,0,7,19,5,13
2020-05-01,GR,10,35,0,9,24,7,20
2020-06-01,GR,12,43,0,13,24,7,24
2020-07-01,GR,15,60,0,21,31,9,36
2020-08-01,GR,20,73,0,22,31,9,42
2020-09-01,GR,16,46,0,14,21,6,24
2020-10-01,GR,13,33,0,12,19,2,17
2020-11-01,GR,9,20,0,7,15,3,8
2020-12-01,GR,8,20,0,6,12,3,7
2021-01-01,GR,8,26,0,8,16,4,13
2021-02-01,GR,7,25,0,8,20,4,13
2021-03-01,GR,9,39,0,8,16,3,18
2021-04-01,GR,9,34,0,12,20,4,20
2021-05-01,GR,12,45,0,16,18,6,22
2021-06-01,GR,17,57,0,25,20,8,34
2021-07-01,GR,26,73,0,28,25,11,50
2021-08-01,GR,24,71,0,28,21,11,48
2021-09-01,GR,19,55,0,20,13,5,29
2021-10-01,GR,15,39,0,15,19,5,20
2021-11-01,GR,10,30,0,11,12,3,12
2021-12-01,GR,9,26,0,10,14,3,11
2022-01-01,GR,9,43,0,13,22,6,25
2022-02-01,GR,9,46,0,18,22,5,29
2022-03-01,GR,10,49,0,19,23,6,27
2022-04-01,GR,14,60,0,24,23,5,30
2022-05-01,GR,17,74,0,27,23,10,31
2022-06-01,GR,18,74,0,32,27,9,32
2022-07-01,GR,21,75,0,29,26,11,30
2022-08-01,GR,20,68,0,24,26,12,28
2022-09-01,GR,20,54,0,21,24,6,19
2022-10-01,GR,17,39,0,15,15,6,16
2022-11-01,GR,10,31,0,12,14,4,12
