date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,HR,42,45,14,33,34,0,25
2004-02-01,HR,37,49,62,74,72,0,0
2004-03-01,HR,44,46,78,58,50,42,69
2004-04-01,HR,48,63,47,94,61,23,38
2004-05-01,HR,60,69,58,67,71,46,42
2004-06-01,HR,82,92,100,40,100,74,64
2004-07-01,HR,100,100,86,100,100,28,20
2004-08-01,HR,75,75,65,0,68,57,64
2004-09-01,HR,42,44,20,21,40,0,42
2004-10-01,HR,49,31,38,0,23,22,40
2004-11-01,HR,53,32,17,0,19,0,74
2004-12-01,HR,36,26,8,0,24,0,15
2005-01-01,HR,41,46,24,23,42,0,61
2005-02-01,HR,50,53,30,32,50,38,43
2005-03-01,HR,54,52,50,66,53,46,39
2005-04-01,HR,53,63,49,72,55,29,100
2005-05-01,HR,48,71,66,54,68,22,54
2005-06-01,HR,85,83,81,35,97,24,75
2005-07-01,HR,62,89,76,66,76,100,53
2005-08-01,HR,60,71,68,41,80,39,73
2005-09-01,HR,57,40,21,48,21,0,40
2005-10-01,HR,34,30,33,28,19,0,43
2005-11-01,HR,32,24,17,14,18,12,19
2005-12-01,HR,29,26,15,37,19,20,52
2006-01-01,HR,44,46,48,39,43,19,53
2006-02-01,HR,29,45,47,67,53,0,38
2006-03-01,HR,42,46,43,43,53,20,7
2006-04-01,HR,50,59,56,55,76,19,30
2006-05-01,HR,53,68,71,72,64,31,17
2006-06-01,HR,65,78,61,48,73,42,52
2006-07-01,HR,60,82,69,74,65,51,46
2006-08-01,HR,69,58,41,44,43,36,54
2006-09-01,HR,42,35,39,0,26,12,22
2006-10-01,HR,33,28,14,11,22,18,26
2006-11-01,HR,36,26,23,37,15,27,23
2006-12-01,HR,24,21,14,18,17,11,12
2007-01-01,HR,31,37,31,39,39,22,25
2007-02-01,HR,38,41,47,36,36,16,28
2007-03-01,HR,35,43,38,28,38,12,29
2007-04-01,HR,33,51,51,43,43,27,38
2007-05-01,HR,36,57,41,52,51,32,39
2007-06-01,HR,38,64,56,49,58,30,46
2007-07-01,HR,48,77,78,66,55,62,40
2007-08-01,HR,46,54,42,60,39,46,38
2007-09-01,HR,46,37,29,33,29,6,41
2007-10-01,HR,36,25,21,17,13,8,18
2007-11-01,HR,27,22,13,26,15,0,23
2007-12-01,HR,20,22,17,10,19,7,24
2008-01-01,HR,29,40,26,18,41,13,20
2008-02-01,HR,27,38,30,21,28,16,22
2008-03-01,HR,32,42,35,35,33,18,27
2008-04-01,HR,33,50,35,43,45,21,31
2008-05-01,HR,32,54,38,46,44,15,43
2008-06-01,HR,36,63,64,48,51,25,41
2008-07-01,HR,36,63,61,49,51,33,40
2008-08-01,HR,35,45,37,41,35,24,33
2008-09-01,HR,28,31,24,22,21,15,31
2008-10-01,HR,24,23,15,11,12,7,19
2008-11-01,HR,24,19,17,15,9,6,13
2008-12-01,HR,19,18,5,14,12,5,17
2009-01-01,HR,24,32,26,15,33,12,23
2009-02-01,HR,22,32,22,24,31,14,30
2009-03-01,HR,22,37,34,22,32,5,32
2009-04-01,HR,23,42,35,26,36,14,29
2009-05-01,HR,28,49,36,20,42,16,39
2009-06-01,HR,27,55,51,59,45,26,37
2009-07-01,HR,29,57,51,56,54,43,42
2009-08-01,HR,30,45,40,48,33,25,51
2009-09-01,HR,25,30,30,20,17,12,32
2009-10-01,HR,22,21,10,10,13,2,33
2009-11-01,HR,17,18,16,18,11,0,25
2009-12-01,HR,18,18,15,13,10,0,28
2010-01-01,HR,17,29,28,21,27,8,27
2010-02-01,HR,18,30,25,15,27,8,26
2010-03-01,HR,18,32,22,27,30,4,28
2010-04-01,HR,19,39,25,21,32,15,33
2010-05-01,HR,19,41,32,33,38,19,40
2010-06-01,HR,22,42,46,35,38,21,25
2010-07-01,HR,27,50,40,46,47,28,39
2010-08-01,HR,24,37,33,35,30,27,31
2010-09-01,HR,21,25,15,11,12,5,21
2010-10-01,HR,18,18,15,9,7,6,21
2010-11-01,HR,15,16,13,3,7,3,16
2010-12-01,HR,18,17,10,7,9,3,19
2011-01-01,HR,14,24,17,10,22,8,19
2011-02-01,HR,14,25,18,14,20,8,16
2011-03-01,HR,16,28,22,19,23,8,21
2011-04-01,HR,20,32,23,22,23,9,30
2011-05-01,HR,19,37,27,19,30,18,25
2011-06-01,HR,23,40,38,28,34,18,29
2011-07-01,HR,23,44,40,35,31,34,30
2011-08-01,HR,22,33,34,18,24,14,28
2011-09-01,HR,25,25,21,15,13,10,23
2011-10-01,HR,19,19,15,2,8,3,18
2011-11-01,HR,15,15,13,12,9,5,20
2011-12-01,HR,14,15,8,0,8,4,19
2012-01-01,HR,15,28,23,11,22,12,23
2012-02-01,HR,14,26,21,9,20,9,23
2012-03-01,HR,17,28,22,19,23,10,21
2012-04-01,HR,19,33,29,22,26,11,31
2012-05-01,HR,19,34,32,23,28,15,22
2012-06-01,HR,22,43,42,29,33,23,40
2012-07-01,HR,29,47,48,34,38,33,38
2012-08-01,HR,26,37,39,24,28,22,27
2012-09-01,HR,26,27,22,8,15,9,30
2012-10-01,HR,18,17,11,6,8,3,22
2012-11-01,HR,14,15,11,4,9,3,24
2012-12-01,HR,12,15,12,2,8,8,19
2013-01-01,HR,14,28,23,10,26,10,25
2013-02-01,HR,13,27,22,13,23,13,28
2013-03-01,HR,14,27,22,18,24,13,24
2013-04-01,HR,16,31,26,21,28,15,29
2013-05-01,HR,21,34,31,23,27,14,30
2013-06-01,HR,22,38,32,28,32,27,35
2013-07-01,HR,25,38,43,32,35,37,33
2013-08-01,HR,25,33,37,24,27,22,26
2013-09-01,HR,25,28,18,17,14,6,33
2013-10-01,HR,16,18,14,9,10,7,16
2013-11-01,HR,14,14,11,7,9,4,16
2013-12-01,HR,12,15,13,6,9,4,16
2014-01-01,HR,14,26,23,16,23,14,22
2014-02-01,HR,12,25,23,17,20,13,23
2014-03-01,HR,14,27,23,18,18,12,25
2014-04-01,HR,17,30,26,24,24,12,32
2014-05-01,HR,18,32,30,27,24,17,31
2014-06-01,HR,21,44,44,32,31,24,39
2014-07-01,HR,26,42,44,30,35,31,33
2014-08-01,HR,26,35,30,27,24,20,34
2014-09-01,HR,23,23,21,20,14,8,25
2014-10-01,HR,18,17,11,7,11,5,19
2014-11-01,HR,13,15,10,5,10,7,17
2014-12-01,HR,11,14,8,6,9,5,16
2015-01-01,HR,14,29,23,8,22,12,25
2015-02-01,HR,11,24,22,17,19,11,23
2015-03-01,HR,14,30,19,19,18,12,24
2015-04-01,HR,17,29,31,22,21,12,29
2015-05-01,HR,16,30,31,30,22,17,28
2015-06-01,HR,24,42,41,31,30,26,40
2015-07-01,HR,31,48,46,39,34,36,38
2015-08-01,HR,28,38,43,32,27,25,34
2015-09-01,HR,26,25,20,15,14,9,29
2015-10-01,HR,16,17,14,9,10,6,19
2015-11-01,HR,12,15,9,8,10,4,20
2015-12-01,HR,11,14,11,10,9,5,18
2016-01-01,HR,12,26,23,18,23,15,22
2016-02-01,HR,11,23,24,18,23,11,24
2016-03-01,HR,13,25,25,22,21,13,23
2016-04-01,HR,17,28,28,17,24,14,25
2016-05-01,HR,22,33,34,36,27,18,29
2016-06-01,HR,24,46,45,35,29,29,30
2016-07-01,HR,29,47,46,36,36,38,41
2016-08-01,HR,30,36,38,28,30,27,31
2016-09-01,HR,26,27,27,18,19,18,22
2016-10-01,HR,17,18,15,13,14,6,19
2016-11-01,HR,12,17,13,9,13,8,20
2016-12-01,HR,12,17,13,9,13,9,19
2017-01-01,HR,11,30,29,18,29,11,27
2017-02-01,HR,12,29,28,22,24,16,24
2017-03-01,HR,15,30,30,25,24,12,28
2017-04-01,HR,17,32,28,28,25,19,37
2017-05-01,HR,23,38,39,32,29,18,40
2017-06-01,HR,27,48,47,43,36,29,44
2017-07-01,HR,36,58,52,43,39,45,40
2017-08-01,HR,34,48,48,33,33,32,33
2017-09-01,HR,28,29,25,25,22,17,31
2017-10-01,HR,22,26,20,13,17,10,29
2017-11-01,HR,16,27,15,9,12,8,23
2017-12-01,HR,12,18,16,8,13,9,20
2018-01-01,HR,13,34,31,20,33,17,28
2018-02-01,HR,15,31,26,18,21,20,31
2018-03-01,HR,14,32,27,25,23,17,38
2018-04-01,HR,18,37,36,28,24,18,38
2018-05-01,HR,23,45,41,40,27,21,39
2018-06-01,HR,31,57,43,53,31,31,52
2018-07-01,HR,36,88,82,62,47,50,66
2018-08-01,HR,35,50,49,39,37,33,36
2018-09-01,HR,26,32,30,27,25,16,28
2018-10-01,HR,21,23,19,14,15,7,25
2018-11-01,HR,13,20,17,12,12,6,21
2018-12-01,HR,13,19,15,11,13,7,20
2019-01-01,HR,12,30,30,21,26,16,25
2019-02-01,HR,15,28,26,22,19,14,21
2019-03-01,HR,13,30,26,28,19,12,28
2019-04-01,HR,19,34,32,32,23,17,24
2019-05-01,HR,19,43,46,40,45,23,37
2019-06-01,HR,26,48,46,45,33,32,36
2019-07-01,HR,31,48,52,46,35,39,38
2019-08-01,HR,32,46,43,33,32,26,34
2019-09-01,HR,30,33,28,22,23,15,33
2019-10-01,HR,21,24,19,16,14,8,26
2019-11-01,HR,13,20,17,15,12,8,22
2019-12-01,HR,12,18,17,19,13,8,21
2020-01-01,HR,12,33,30,22,26,16,27
2020-02-01,HR,13,26,26,19,20,13,26
2020-03-01,HR,11,17,18,10,19,8,37
2020-04-01,HR,4,11,12,8,12,5,12
2020-05-01,HR,7,11,14,11,16,8,17
2020-06-01,HR,11,20,22,17,30,20,21
2020-07-01,HR,17,27,33,16,43,24,29
2020-08-01,HR,19,27,32,19,42,22,31
2020-09-01,HR,12,13,12,6,19,8,16
2020-10-01,HR,6,9,12,7,14,5,15
2020-11-01,HR,5,8,8,6,7,4,11
2020-12-01,HR,5,9,11,5,7,3,13
2021-01-01,HR,6,9,10,8,10,5,13
2021-02-01,HR,5,9,12,6,9,7,10
2021-03-01,HR,6,11,12,8,10,5,13
2021-04-01,HR,8,12,13,9,13,5,18
2021-05-01,HR,9,16,17,12,16,10,19
2021-06-01,HR,13,24,33,21,22,16,23
2021-07-01,HR,23,34,33,23,27,24,38
2021-08-01,HR,23,35,36,27,30,23,36
2021-09-01,HR,16,21,18,17,17,12,23
2021-10-01,HR,13,15,16,10,12,6,19
2021-11-01,HR,9,12,11,10,10,4,15
2021-12-01,HR,8,11,11,9,12,4,14
2022-01-01,HR,7,20,20,9,19,10,20
2022-02-01,HR,7,20,22,14,18,9,22
2022-03-01,HR,11,25,20,16,16,9,29
2022-04-01,HR,14,28,24,17,19,12,29
2022-05-01,HR,15,32,30,26,22,16,26
2022-06-01,HR,19,37,34,24,25,24,28
2022-07-01,HR,22,38,36,24,32,28,28
2022-08-01,HR,22,33,29,22,25,23,23
2022-09-01,HR,18,23,21,13,15,10,22
2022-10-01,HR,13,18,15,10,13,8,17
