date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,HU,0,76,0,0,0,38,58
2004-02-01,HU,0,77,45,26,0,0,0
2004-03-01,HU,0,82,27,71,0,0,0
2004-04-01,HU,0,87,0,29,0,0,0
2004-05-01,HU,0,100,46,0,0,54,0
2004-06-01,HU,0,99,96,0,66,0,43
2004-07-01,HU,0,85,80,26,0,0,0
2004-08-01,HU,0,89,100,26,0,0,0
2004-09-01,HU,0,95,74,0,0,64,0
2004-10-01,HU,0,73,66,21,61,0,55
2004-11-01,HU,0,60,37,28,100,0,0
2004-12-01,HU,0,61,41,100,0,0,0
2005-01-01,HU,0,78,45,0,0,100,0
2005-02-01,HU,0,80,28,42,85,30,0
2005-03-01,HU,0,49,0,20,0,0,36
2005-04-01,HU,0,66,24,30,63,0,100
2005-05-01,HU,0,78,16,34,0,0,0
2005-06-01,HU,0,88,44,0,42,17,0
2005-07-01,HU,0,89,27,15,45,28,0
2005-08-01,HU,0,80,64,36,0,19,0
2005-09-01,HU,0,57,32,35,0,0,0
2005-10-01,HU,0,48,15,0,0,0,0
2005-11-01,HU,0,42,0,0,0,17,0
2005-12-01,HU,0,60,40,23,0,0,0
2006-01-01,HU,0,60,44,15,0,26,0
2006-02-01,HU,0,54,84,0,37,0,15
2006-03-01,HU,0,69,21,20,99,10,19
2006-04-01,HU,0,59,49,16,0,0,13
2006-05-01,HU,0,60,20,15,0,14,0
2006-06-01,HU,0,66,28,0,0,0,0
2006-07-01,HU,0,71,31,24,0,0,0
2006-08-01,HU,0,61,37,0,47,0,13
2006-09-01,HU,0,50,0,0,0,0,14
2006-10-01,HU,0,41,29,0,0,0,17
2006-11-01,HU,0,43,9,0,0,0,10
2006-12-01,HU,0,41,38,18,0,0,13
2007-01-01,HU,0,53,6,6,17,0,0
2007-02-01,HU,0,45,7,22,0,7,0
2007-03-01,HU,0,51,25,27,0,16,0
2007-04-01,HU,0,55,24,25,38,0,0
2007-05-01,HU,0,60,25,13,17,0,0
2007-06-01,HU,0,58,25,0,22,6,11
2007-07-01,HU,0,65,31,21,0,0,15
2007-08-01,HU,0,59,30,15,0,0,14
2007-09-01,HU,0,50,18,9,27,0,0
2007-10-01,HU,0,50,27,14,12,0,6
2007-11-01,HU,0,36,13,0,0,7,0
2007-12-01,HU,0,34,13,14,17,0,0
2008-01-01,HU,0,44,16,4,12,0,6
2008-02-01,HU,0,42,21,7,0,0,0
2008-03-01,HU,0,50,30,10,19,9,7
2008-04-01,HU,0,47,18,22,0,0,0
2008-05-01,HU,0,52,24,10,34,0,5
2008-06-01,HU,0,51,28,20,0,0,7
2008-07-01,HU,0,56,25,18,17,0,7
2008-08-01,HU,0,55,21,11,49,4,8
2008-09-01,HU,0,37,17,17,17,5,15
2008-10-01,HU,0,37,18,9,14,0,0
2008-11-01,HU,0,33,20,0,0,4,4
2008-12-01,HU,0,35,5,20,14,5,0
2009-01-01,HU,0,35,11,6,0,6,0
2009-02-01,HU,0,37,23,15,24,0,0
2009-03-01,HU,0,41,17,7,0,6,3
2009-04-01,HU,0,46,17,6,20,5,6
2009-05-01,HU,0,38,17,5,0,7,5
2009-06-01,HU,0,44,21,10,0,15,8
2009-07-01,HU,0,54,33,14,0,7,5
2009-08-01,HU,0,48,17,10,10,5,5
2009-09-01,HU,0,38,17,10,9,11,4
2009-10-01,HU,0,34,19,7,13,5,0
2009-11-01,HU,0,31,12,9,12,0,4
2009-12-01,HU,0,30,20,14,8,5,0
2010-01-01,HU,0,35,17,11,17,0,7
2010-02-01,HU,0,33,10,8,0,7,9
2010-03-01,HU,0,35,18,6,13,5,5
2010-04-01,HU,0,45,17,11,0,0,0
2010-05-01,HU,55,41,20,15,0,0,5
2010-06-01,HU,51,39,17,11,10,4,4
2010-07-01,HU,76,43,17,11,12,5,7
2010-08-01,HU,60,42,13,10,13,0,6
2010-09-01,HU,73,31,15,4,27,2,3
2010-10-01,HU,41,35,24,0,13,4,8
2010-11-01,HU,55,27,11,5,18,0,4
2010-12-01,HU,43,24,13,6,0,4,0
2011-01-01,HU,61,32,10,11,0,0,2
2011-02-01,HU,60,27,8,11,11,0,0
2011-03-01,HU,66,33,11,8,7,9,8
2011-04-01,HU,75,37,19,5,13,0,3
2011-05-01,HU,77,35,13,6,6,2,5
2011-06-01,HU,79,36,7,9,8,0,2
2011-07-01,HU,66,38,18,7,0,8,6
2011-08-01,HU,77,35,14,13,0,0,3
2011-09-01,HU,88,32,14,2,5,0,3
2011-10-01,HU,69,29,11,5,9,3,2
2011-11-01,HU,55,28,14,4,11,1,0
2011-12-01,HU,49,24,12,6,13,0,3
2012-01-01,HU,55,29,13,8,7,0,6
2012-02-01,HU,62,30,13,7,8,3,5
2012-03-01,HU,63,30,14,8,0,3,0
2012-04-01,HU,64,32,14,8,11,0,3
2012-05-01,HU,56,32,13,12,0,0,0
2012-06-01,HU,66,34,14,10,10,2,6
2012-07-01,HU,81,39,22,8,13,5,5
2012-08-01,HU,96,35,19,5,13,2,2
2012-09-01,HU,69,27,11,4,4,0,3
2012-10-01,HU,61,26,12,8,12,0,3
2012-11-01,HU,47,24,13,5,12,2,0
