date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,IT,56,81,48,66,15,68,61
2004-02-01,IT,65,79,55,48,15,55,78
2004-03-01,IT,64,91,58,58,41,98,38
2004-04-01,IT,83,86,53,70,34,45,60
2004-05-01,IT,67,84,59,100,43,90,100
2004-06-01,IT,72,81,51,90,30,97,56
2004-07-01,IT,81,90,44,82,35,100,57
2004-08-01,IT,79,77,45,55,37,72,59
2004-09-01,IT,58,69,44,54,38,41,64
2004-10-01,IT,53,59,39,32,43,26,35
2004-11-01,IT,51,56,36,36,26,40,34
2004-12-01,IT,48,51,29,29,25,43,17
2005-01-01,IT,49,69,40,50,44,51,63
2005-02-01,IT,55,70,44,55,44,71,52
2005-03-01,IT,48,69,46,63,36,66,59
2005-04-01,IT,46,71,45,61,35,57,48
2005-05-01,IT,57,73,48,72,41,73,75
2005-06-01,IT,62,65,40,68,40,86,69
2005-07-01,IT,62,67,40,71,43,94,67
2005-08-01,IT,70,64,39,77,34,79,53
2005-09-01,IT,58,53,35,41,23,45,47
2005-10-01,IT,54,50,33,22,25,27,36
2005-11-01,IT,47,45,29,28,25,32,44
2005-12-01,IT,41,43,24,24,22,24,18
2006-01-01,IT,37,61,37,38,40,58,48
2006-02-01,IT,46,74,42,43,26,44,39
2006-03-01,IT,47,67,41,52,34,46,60
2006-04-01,IT,50,63,38,44,27,53,59
2006-05-01,IT,44,67,39,58,23,41,35
2006-06-01,IT,56,75,51,58,35,77,39
2006-07-01,IT,66,73,47,64,27,92,41
2006-08-01,IT,59,54,33,44,33,48,46
2006-09-01,IT,51,51,34,43,27,25,34
2006-10-01,IT,46,44,29,21,21,24,26
2006-11-01,IT,41,42,27,18,26,34,15
2006-12-01,IT,40,37,24,16,13,24,38
2007-01-01,IT,39,60,34,37,24,49,39
2007-02-01,IT,47,59,36,41,31,57,35
2007-03-01,IT,48,62,36,43,25,48,48
2007-04-01,IT,58,62,35,49,23,46,49
2007-05-01,IT,56,64,34,56,19,52,37
2007-06-01,IT,65,61,34,49,22,66,43
2007-07-01,IT,69,59,29,53,29,86,42
2007-08-01,IT,69,54,30,47,24,47,34
2007-09-01,IT,57,49,31,34,19,40,26
2007-10-01,IT,53,44,27,21,16,26,25
2007-11-01,IT,49,37,23,19,18,20,25
2007-12-01,IT,46,35,20,17,15,27,22
2008-01-01,IT,50,52,24,24,22,56,27
2008-02-01,IT,46,48,25,34,18,36,28
2008-03-01,IT,49,50,26,34,20,38,41
2008-04-01,IT,58,51,27,39,19,37,35
2008-05-01,IT,58,50,26,38,18,33,37
2008-06-01,IT,58,48,27,45,21,56,48
2008-07-01,IT,64,46,22,40,23,58,29
2008-08-01,IT,64,42,22,33,20,45,25
2008-09-01,IT,53,39,21,23,20,29,34
2008-10-01,IT,46,32,20,13,17,22,22
2008-11-01,IT,39,28,17,14,12,26,17
2008-12-01,IT,36,27,18,10,12,20,17
2009-01-01,IT,48,39,19,21,22,42,22
2009-02-01,IT,44,37,20,21,20,31,25
2009-03-01,IT,47,41,21,32,20,39,25
2009-04-01,IT,43,45,24,33,20,43,33
2009-05-01,IT,47,45,23,38,18,47,37
2009-06-01,IT,51,47,24,50,19,57,42
2009-07-01,IT,55,43,20,42,22,61,41
2009-08-01,IT,59,41,19,34,17,44,34
2009-09-01,IT,48,37,19,21,14,22,28
2009-10-01,IT,41,33,18,13,15,16,22
2009-11-01,IT,34,29,15,12,12,19,20
2009-12-01,IT,34,27,15,12,11,18,19
2010-01-01,IT,33,36,17,21,20,37,22
2010-02-01,IT,39,36,19,22,20,30,27
2010-03-01,IT,42,42,21,27,20,25,31
2010-04-01,IT,51,44,23,31,19,34,29
2010-05-01,IT,51,41,21,32,19,35,37
2010-06-01,IT,64,47,24,36,19,48,34
2010-07-01,IT,64,42,21,32,21,44,31
2010-08-01,IT,53,35,18,31,18,33,31
2010-09-01,IT,47,33,17,19,15,22,31
2010-10-01,IT,42,28,14,13,15,19,24
2010-11-01,IT,35,25,13,11,10,12,18
2010-12-01,IT,31,24,12,10,11,15,17
2011-01-01,IT,36,34,17,15,40,26,26
2011-02-01,IT,36,34,18,17,31,24,29
2011-03-01,IT,39,35,19,19,36,26,29
2011-04-01,IT,44,35,18,24,36,25,30
2011-05-01,IT,49,40,21,26,55,35,42
2011-06-01,IT,57,39,21,29,42,37,37
2011-07-01,IT,69,39,20,27,54,48,41
2011-08-01,IT,57,35,19,22,100,30,30
2011-09-01,IT,51,32,19,15,46,19,22
2011-10-01,IT,48,28,17,11,28,16,23
2011-11-01,IT,39,25,16,9,14,11,23
2011-12-01,IT,35,23,13,7,11,13,21
2012-01-01,IT,42,42,18,15,19,29,25
2012-02-01,IT,37,34,19,15,16,22,26
2012-03-01,IT,45,33,19,17,20,22,32
2012-04-01,IT,48,35,19,19,20,27,36
2012-05-01,IT,49,36,21,20,19,35,39
2012-06-01,IT,55,43,28,22,19,43,37
2012-07-01,IT,60,39,21,22,20,40,33
2012-08-01,IT,63,35,20,18,17,32,30
2012-09-01,IT,61,32,18,15,14,22,31
2012-10-01,IT,51,26,16,10,12,14,21
2012-11-01,IT,36,22,14,8,11,11,17
2012-12-01,IT,35,22,13,8,12,14,16
2013-01-01,IT,33,31,16,12,17,27,27
2013-02-01,IT,33,31,17,15,15,22,27
2013-03-01,IT,39,33,19,16,17,22,34
2013-04-01,IT,43,32,18,21,16,23,38
2013-05-01,IT,47,34,19,20,16,29,39
