date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,LT,0,92,0,0,0,0,87
2004-02-01,LT,43,86,0,0,0,0,0
2004-03-01,LT,0,45,0,0,62,0,100
2004-04-01,LT,0,72,69,0,100,0,42
2004-05-01,LT,36,93,100,0,0,0,0
2004-06-01,LT,0,33,0,0,0,100,0
2004-07-01,LT,36,52,0,0,0,0,0
2004-08-01,LT,31,74,0,37,0,0,0
2004-09-01,LT,100,98,73,0,0,0,0
2004-10-01,LT,0,62,0,0,0,0,34
2004-11-01,LT,35,52,0,91,0,0,0
2004-12-01,LT,21,90,51,0,0,0,0
2005-01-01,LT,0,52,31,0,26,0,0
2005-02-01,LT,0,63,0,36,26,0,0
2005-03-01,LT,17,92,30,0,0,31,0
2005-04-01,LT,0,97,0,0,74,0,0
2005-05-01,LT,0,78,61,0,0,0,27
2005-06-01,LT,72,84,48,100,0,0,0
2005-07-01,LT,26,58,41,43,53,64,0
2005-08-01,LT,0,100,0,0,0,0,0
2005-09-01,LT,0,52,0,0,0,0,45
2005-10-01,LT,18,54,0,0,0,32,29
2005-11-01,LT,15,48,0,52,73,0,35
2005-12-01,LT,19,36,22,0,0,0,0
2006-01-01,LT,15,77,37,0,0,0,0
2006-02-01,LT,19,52,26,45,0,0,0
2006-03-01,LT,27,60,19,17,0,0,0
2006-04-01,LT,25,60,33,0,0,19,0
2006-05-01,LT,32,70,21,0,44,0,51
2006-06-01,LT,0,69,34,0,23,0,26
2006-07-01,LT,15,66,0,0,0,55,54
2006-08-01,LT,0,78,22,28,35,34,0
2006-09-01,LT,0,44,49,15,19,0,0
2006-10-01,LT,11,43,0,34,0,0,0
2006-11-01,LT,0,28,0,0,15,0,0
2006-12-01,LT,10,53,39,0,0,0,0
2007-01-01,LT,0,56,0,19,0,0,0
2007-02-01,LT,0,46,0,0,0,0,0
2007-03-01,LT,26,49,25,0,0,0,21
2007-04-01,LT,13,49,12,0,0,0,25
2007-05-01,LT,14,63,0,0,0,0,16
2007-06-01,LT,17,55,0,0,9,0,0
2007-07-01,LT,11,57,37,0,0,16,0
2007-08-01,LT,7,44,19,0,0,19,0
2007-09-01,LT,0,46,45,0,0,0,0
2007-10-01,LT,13,40,15,0,0,0,15
2007-11-01,LT,10,42,22,11,0,0,0
2007-12-01,LT,17,34,0,0,0,0,0
2008-01-01,LT,8,46,27,10,0,0,0
2008-02-01,LT,14,35,11,7,6,0,14
2008-03-01,LT,0,39,29,0,0,0,12
2008-04-01,LT,16,39,12,0,0,0,10
2008-05-01,LT,17,42,28,0,7,0,8
2008-06-01,LT,13,42,14,10,0,0,0
2008-07-01,LT,6,46,0,0,0,24,0
2008-08-01,LT,9,38,32,0,17,8,20
2008-09-01,LT,7,29,16,6,7,0,19
2008-10-01,LT,5,34,21,0,0,0,0
2008-11-01,LT,10,30,9,0,0,0,17
2008-12-01,LT,0,22,0,0,0,0,0
2009-01-01,LT,11,33,7,6,0,26,0
2009-02-01,LT,14,33,15,0,0,23,0
2009-03-01,LT,6,31,13,0,0,0,0
2009-04-01,LT,0,29,13,16,0,7,0
2009-05-01,LT,4,38,10,0,0,0,0
2009-06-01,LT,7,40,14,0,0,0,0
2009-07-01,LT,8,32,17,0,6,5,0
2009-08-01,LT,6,36,0,18,0,0,0
2009-09-01,LT,23,32,10,0,0,6,0
2009-10-01,LT,4,24,4,4,7,0,14
2009-11-01,LT,11,28,11,6,0,0,4
2009-12-01,LT,0,22,0,0,6,0,0
2010-01-01,LT,0,28,0,0,0,0,5
2010-02-01,LT,14,33,5,7,0,0,0
2010-03-01,LT,8,31,9,7,6,9,0
2010-04-01,LT,20,33,7,5,0,0,0
2010-05-01,LT,6,31,0,0,0,0,0
2010-06-01,LT,7,28,10,7,0,0,9
2010-07-01,LT,4,32,14,0,0,0,0
2010-08-01,LT,15,33,0,0,5,0,0
2010-09-01,LT,8,25,5,0,0,7,0
2010-10-01,LT,9,23,8,6,0,0,0
2010-11-01,LT,0,18,0,0,3,0,0
2010-12-01,LT,8,24,7,0,0,0,6
2011-01-01,LT,16,28,4,0,10,0,10
2011-02-01,LT,5,28,10,0,0,0,0
2011-03-01,LT,7,22,7,0,0,0,0
2011-04-01,LT,11,29,0,0,0,0,0
2011-05-01,LT,7,31,7,0,0,0,0
2011-06-01,LT,9,28,9,0,5,0,0
2011-07-01,LT,12,35,4,4,5,0,4
2011-08-01,LT,14,24,10,3,0,0,4
2011-09-01,LT,9,28,4,12,0,0,0
2011-10-01,LT,9,26,9,0,6,0,0
2011-11-01,LT,6,20,4,2,0,0,0
2011-12-01,LT,8,22,8,0,0,5,10
2012-01-01,LT,6,23,4,0,0,0,0
2012-02-01,LT,7,22,9,0,0,0,0
2012-03-01,LT,8,23,5,4,2,2,0
2012-04-01,LT,10,26,4,0,0,0,3
2012-05-01,LT,8,33,10,0,4,0,5
2012-06-01,LT,11,32,9,4,0,0,0
2012-07-01,LT,9,34,9,0,3,0,5
2012-08-01,LT,12,32,8,5,3,0,11
2012-09-01,LT,14,31,4,0,13,0,7
2012-10-01,LT,9,21,4,0,0,0,0
