date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,LU,51,92,79,70,42,0,0
2004-02-01,LU,37,82,64,0,48,0,0
2004-03-01,LU,33,93,100,0,48,0,0
2004-04-01,LU,49,93,78,100,0,0,47
2004-05-01,LU,40,79,72,31,100,51,37
2004-06-01,LU,33,82,68,0,0,0,100
2004-07-01,LU,47,91,94,0,0,46,0
2004-08-01,LU,48,87,89,27,55,77,0
2004-09-01,LU,45,91,78,0,0,0,74
2004-10-01,LU,39,86,90,0,0,0,0
2004-11-01,LU,35,76,61,72,0,0,0
2004-12-01,LU,41,72,76,77,31,0,0
2005-01-01,LU,43,79,76,30,31,0,26
2005-02-01,LU,49,93,83,0,37,0,0
2005-03-01,LU,44,85,44,35,17,22,67
2005-04-01,LU,38,89,87,44,75,0,0
2005-05-01,LU,51,91,87,33,0,0,66
2005-06-01,LU,49,100,97,0,0,41,0
2005-07-01,LU,40,78,74,19,25,97,0
2005-08-01,LU,45,88,70,24,26,0,0
2005-09-01,LU,41,75,50,33,20,0,33
2005-10-01,LU,39,83,79,0,19,0,65
2005-11-01,LU,47,87,72,32,19,0,0
2005-12-01,LU,34,66,59,0,0,100,0
2006-01-01,LU,38,76,79,19,15,0,17
2006-02-01,LU,42,77,69,35,18,31,0
2006-03-01,LU,39,77,68,29,27,0,34
2006-04-01,LU,43,71,66,0,43,31,44
2006-05-01,LU,49,78,77,28,32,34,16
2006-06-01,LU,49,78,66,34,41,51,36
2006-07-01,LU,52,81,69,61,35,40,0
2006-08-01,LU,40,71,66,21,38,0,0
2006-09-01,LU,47,78,67,21,28,76,0
2006-10-01,LU,49,73,63,23,49,34,0
2006-11-01,LU,49,72,64,18,40,12,17
2006-12-01,LU,44,63,45,24,43,20,0
2007-01-01,LU,51,67,55,36,44,24,20
2007-02-01,LU,47,71,67,22,31,0,52
2007-03-01,LU,49,79,84,19,25,19,0
2007-04-01,LU,46,72,71,0,43,21,0
2007-05-01,LU,61,83,66,0,23,0,24
