date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,LV,100,59,0,0,0,100,0
2004-02-01,LV,0,46,0,0,0,0,100
2004-03-01,LV,0,41,0,100,70,0,0
2004-04-01,LV,48,77,0,0,40,0,0
2004-05-01,LV,0,65,0,0,32,0,0
2004-06-01,LV,0,62,0,0,0,49,31
2004-07-01,LV,0,100,0,0,0,0,0
2004-08-01,LV,0,38,0,0,0,0,57
2004-09-01,LV,62,59,0,0,100,44,27
2004-10-01,LV,0,40,0,0,0,0,0
2004-11-01,LV,0,53,69,0,0,0,34
2004-12-01,LV,0,19,62,61,0,0,0
2005-01-01,LV,67,58,96,0,0,0,18
2005-02-01,LV,0,51,0,0,0,0,0
2005-03-01,LV,56,45,74,0,0,0,0
2005-04-01,LV,31,49,0,0,0,0,0
2005-05-01,LV,37,50,67,0,0,34,0
2005-06-01,LV,35,58,93,0,24,0,0
2005-07-01,LV,0,62,43,0,29,0,0
2005-08-01,LV,52,30,88,54,22,0,0
2005-09-01,LV,0,31,0,0,0,83,0
2005-10-01,LV,38,48,100,0,93,0,26
2005-11-01,LV,15,51,0,0,40,0,0
2005-12-01,LV,0,32,84,0,0,0,0
2006-01-01,LV,11,33,57,0,36,0,0
2006-02-01,LV,43,59,45,36,41,0,0
2006-03-01,LV,20,41,0,0,16,64,17
2006-04-01,LV,20,37,56,0,0,0,0
2006-05-01,LV,14,49,52,45,19,0,0
2006-06-01,LV,19,72,91,0,0,0,18
2006-07-01,LV,32,54,43,47,0,0,0
2006-08-01,LV,22,49,96,16,0,0,31
2006-09-01,LV,20,24,69,0,0,0,0
2006-10-01,LV,45,38,22,14,12,0,0
2006-11-01,LV,16,38,0,0,0,0,13
2006-12-01,LV,8,24,0,0,0,0,0
2007-01-01,LV,24,31,0,0,0,18,0
2007-02-01,LV,17,39,50,0,0,48,0
2007-03-01,LV,24,36,55,24,0,0,0
2007-04-01,LV,18,36,0,0,0,0,0
2007-05-01,LV,11,41,78,0,0,0,13
2007-06-01,LV,33,40,72,25,0,15,0
2007-07-01,LV,30,39,32,0,9,41,10
2007-08-01,LV,13,30,78,0,0,0,0
2007-09-01,LV,17,39,37,0,0,0,0
2007-10-01,LV,26,27,24,13,0,0,0
2007-11-01,LV,31,34,22,22,12,13,0
2007-12-01,LV,7,25,0,0,12,0,0
2008-01-01,LV,21,43,54,0,0,18,0
2008-02-01,LV,16,30,35,0,0,0,0
2008-03-01,LV,10,29,48,0,0,0,0
2008-04-01,LV,14,35,38,0,0,15,0
2008-05-01,LV,12,32,37,0,0,0,0
2008-06-01,LV,11,31,15,0,7,19,0
2008-07-01,LV,23,31,38,0,0,0,0
2008-08-01,LV,17,28,18,30,9,8,4
2008-09-01,LV,27,25,13,0,5,0,0
2008-10-01,LV,18,22,15,16,19,8,0
