date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,MT,33,63,58,22,0,30,0
2004-02-01,MT,55,62,62,0,56,29,99
2004-03-01,MT,59,71,99,79,0,43,0
2004-04-01,MT,44,66,39,74,39,100,0
2004-05-01,MT,44,77,85,100,0,53,39
2004-06-01,MT,48,77,90,68,54,0,0
2004-07-01,MT,77,100,100,44,54,45,0
2004-08-01,MT,60,86,82,28,45,26,100
2004-09-01,MT,73,63,60,0,59,0,50
2004-10-01,MT,54,54,58,33,53,42,31
2004-11-01,MT,57,45,30,19,0,0,0
2004-12-01,MT,43,37,27,0,19,33,25
2005-01-01,MT,53,63,55,34,28,0,25
2005-02-01,MT,55,61,52,24,19,44,33
2005-03-01,MT,52,61,50,55,13,0,18
2005-04-01,MT,55,70,54,36,57,26,22
2005-05-01,MT,48,66,50,48,41,57,0
2005-06-01,MT,64,77,57,88,85,22,47
2005-07-01,MT,62,85,55,55,66,25,31
2005-08-01,MT,70,89,68,64,100,50,60
2005-09-01,MT,59,58,49,25,48,0,0
2005-10-01,MT,64,50,47,18,31,0,0
2005-11-01,MT,55,39,38,13,0,0,0
2005-12-01,MT,42,34,29,18,36,15,0
2006-01-01,MT,53,60,43,28,26,18,0
2006-02-01,MT,53,57,49,31,23,25,0
2006-03-01,MT,55,61,41,55,51,58,46
2006-04-01,MT,56,62,42,11,27,33,22
2006-05-01,MT,55,67,58,58,36,37,29
2006-06-01,MT,56,66,67,30,50,12,22
2006-07-01,MT,58,87,68,50,36,23,0
2006-08-01,MT,68,71,63,28,32,26,33
2006-09-01,MT,59,57,48,37,28,30,56
2006-10-01,MT,50,47,41,17,12,7,9
2006-11-01,MT,53,41,37,10,11,0,28
2006-12-01,MT,53,37,33,33,17,0,36
2007-01-01,MT,46,59,37,26,31,10,31
2007-02-01,MT,57,60,49,23,34,22,47
2007-03-01,MT,51,60,40,41,41,12,42
2007-04-01,MT,54,59,51,35,30,19,37
2007-05-01,MT,47,66,53,49,48,10,35
2007-06-01,MT,56,75,58,36,56,26,40
2007-07-01,MT,59,80,68,60,55,39,60
2007-08-01,MT,59,85,67,66,62,34,35
2007-09-01,MT,55,63,46,39,47,25,30
2007-10-01,MT,49,51,43,38,18,13,36
2007-11-01,MT,48,45,36,31,29,9,16
2007-12-01,MT,44,39,31,28,37,4,32
2008-01-01,MT,46,68,55,37,29,17,32
2008-02-01,MT,45,61,55,25,50,19,37
2008-03-01,MT,41,61,51,46,54,19,38
2008-04-01,MT,49,62,59,37,53,18,35
2008-05-01,MT,47,60,49,24,54,19,46
2008-06-01,MT,53,70,58,34,57,26,43
2008-07-01,MT,54,70,52,39,47,27,21
2008-08-01,MT,57,61,44,43,40,14,43
2008-09-01,MT,57,48,41,34,45,14,18
2008-10-01,MT,45,42,32,20,32,15,18
2008-11-01,MT,43,35,27,20,24,10,18
2008-12-01,MT,46,32,20,23,19,0,18
