date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,NL,56,72,53,100,0,0,0
2004-02-01,NL,53,70,59,0,47,0,42
2004-03-01,NL,73,100,100,0,37,0,100
2004-04-01,NL,81,71,46,0,54,0,34
2004-05-01,NL,50,74,59,0,0,48,0
2004-06-01,NL,42,76,57,0,34,54,0
2004-07-01,NL,38,69,40,0,100,0,0
2004-08-01,NL,37,84,70,37,74,0,0
2004-09-01,NL,66,83,44,58,24,64,15
2004-10-01,NL,13,67,67,0,0,59,0
2004-11-01,NL,49,66,90,0,0,0,0
2004-12-01,NL,27,49,35,0,0,0,0
2005-01-01,NL,38,71,44,21,47,45,19
2005-02-01,NL,31,80,55,0,44,0,0
2005-03-01,NL,37,61,62,31,23,0,0
2005-04-01,NL,36,89,87,31,0,38,22
2005-05-01,NL,36,79,66,40,38,38,25
2005-06-01,NL,39,70,59,21,30,0,0
2005-07-01,NL,53,73,67,42,0,0,0
2005-08-01,NL,41,67,73,33,28,47,0
2005-09-01,NL,51,60,79,0,50,0,0
2005-10-01,NL,46,61,50,35,47,42,16
2005-11-01,NL,32,52,43,0,12,0,10
2005-12-01,NL,35,53,35,31,27,0,22
2006-01-01,NL,20,57,50,46,14,0,13
2006-02-01,NL,30,57,34,0,0,44,0
2006-03-01,NL,24,63,53,0,0,23,21
2006-04-01,NL,39,60,55,0,17,0,0
2006-05-01,NL,31,61,58,27,38,0,0
2006-06-01,NL,28,58,45,0,33,100,11
2006-07-01,NL,51,61,48,64,28,0,0
2006-08-01,NL,34,58,52,23,8,40,0
2006-09-01,NL,42,58,54,0,27,0,10
2006-10-01,NL,36,51,37,0,26,53,0
2006-11-01,NL,35,48,32,12,10,0,0
2006-12-01,NL,33,46,35,34,25,21,6
2007-01-01,NL,28,47,31,0,11,35,16
2007-02-01,NL,31,54,38,0,0,0,0
2007-03-01,NL,32,53,41,26,9,0,6
2007-04-01,NL,44,50,40,15,9,32,7
2007-05-01,NL,35,53,36,39,7,29,13
2007-06-01,NL,36,51,41,10,31,12,0
2007-07-01,NL,44,50,35,12,10,15,8
2007-08-01,NL,46,48,35,0,20,0,6
2007-09-01,NL,44,47,38,23,22,26,0
2007-10-01,NL,33,46,35,0,11,0,0
2007-11-01,NL,24,40,25,0,7,0,12
2007-12-01,NL,27,34,21,19,8,29,0
2008-01-01,NL,23,43,46,9,15,22,3
2008-02-01,NL,37,46,30,15,21,0,6
2008-03-01,NL,30,41,37,0,11,44,12
2008-04-01,NL,40,46,37,32,12,9,0
2008-05-01,NL,39,48,32,21,17,39,6
2008-06-01,NL,39,45,33,26,20,10,3
2008-07-01,NL,42,41,37,21,9,41,0
2008-08-01,NL,41,49,22,13,28,26,3
2008-09-01,NL,39,39,26,5,0,0,0
2008-10-01,NL,35,37,26,14,7,0,8
2008-11-01,NL,25,32,21,0,14,0,5
2008-12-01,NL,32,31,13,16,7,0,0
2009-01-01,NL,29,33,21,6,16,0,3
2009-02-01,NL,28,38,30,8,15,0,3
2009-03-01,NL,34,39,19,8,9,16,5
2009-04-01,NL,37,39,25,13,14,0,8
2009-05-01,NL,41,41,25,19,9,23,2
2009-06-01,NL,33,39,28,14,13,7,8
2009-07-01,NL,39,40,22,23,20,29,5
2009-08-01,NL,46,38,26,14,15,24,0
2009-09-01,NL,37,36,31,14,15,0,0
2009-10-01,NL,39,35,26,13,9,0,3
2009-11-01,NL,38,33,22,9,0,0,0
2009-12-01,NL,23,27,16,14,7,14,0
2010-01-01,NL,23,34,22,12,15,6,0
2010-02-01,NL,32,36,28,24,16,22,7
2010-03-01,NL,33,36,27,16,15,8,4
2010-04-01,NL,40,42,24,10,13,0,2
2010-05-01,NL,36,37,29,7,9,20,3
2010-06-01,NL,35,39,26,10,15,29,7
2010-07-01,NL,39,51,30,15,13,43,5
2010-08-01,NL,27,32,24,8,6,12,3
2010-09-01,NL,32,31,21,12,11,0,0
2010-10-01,NL,35,31,20,10,19,12,4
2010-11-01,NL,26,27,17,8,8,5,0
2010-12-01,NL,29,27,15,11,5,0,0
2011-01-01,NL,28,30,24,6,9,10,6
2011-02-01,NL,31,29,21,0,11,11,3
2011-03-01,NL,29,31,23,13,12,13,4
2011-04-01,NL,40,34,23,13,10,11,6
2011-05-01,NL,39,33,31,12,9,6,1
2011-06-01,NL,46,34,26,12,11,12,6
2011-07-01,NL,42,31,24,10,14,7,7
2011-08-01,NL,38,31,25,10,12,9,5
2011-09-01,NL,35,27,20,11,2,14,2
2011-10-01,NL,34,26,22,9,10,7,2
2011-11-01,NL,34,27,24,4,13,12,1
2011-12-01,NL,28,23,17,8,9,5,1
2012-01-01,NL,31,30,19,8,13,22,3
2012-02-01,NL,36,32,24,10,10,15,3
2012-03-01,NL,38,31,21,11,9,15,4
2012-04-01,NL,40,35,26,17,11,14,6
2012-05-01,NL,42,33,25,14,12,29,3
2012-06-01,NL,36,33,24,12,14,21,5
2012-07-01,NL,40,36,20,9,7,7,3
2012-08-01,NL,43,35,22,11,13,15,5
2012-09-01,NL,38,29,22,6,11,8,4
2012-10-01,NL,36,27,16,8,14,6,5
2012-11-01,NL,35,24,18,8,8,0,7
2012-12-01,NL,24,20,15,4,9,6,3
2013-01-01,NL,28,28,22,7,10,5,2
2013-02-01,NL,29,27,22,8,13,0,3
2013-03-01,NL,35,30,19,10,8,7,1
2013-04-01,NL,37,31,23,15,13,9,3
2013-05-01,NL,38,30,18,12,12,19,5
2013-06-01,NL,43,29,23,16,14,24,3
2013-07-01,NL,38,31,25,14,12,17,4
2013-08-01,NL,36,29,23,7,11,14,3
2013-09-01,NL,38,28,22,8,8,10,3
2013-10-01,NL,37,26,18,5,10,8,2
2013-11-01,NL,32,23,17,8,12,3,4
2013-12-01,NL,27,21,12,9,7,4,3
2014-01-01,NL,31,28,23,9,9,11,3
2014-02-01,NL,37,30,19,8,9,12,4
2014-03-01,NL,37,29,19,7,12,18,4
2014-04-01,NL,42,32,24,13,10,16,2
2014-05-01,NL,41,32,27,13,10,10,5
2014-06-01,NL,42,51,32,16,17,31,5
2014-07-01,NL,46,68,32,14,22,29,8
2014-08-01,NL,40,32,25,9,16,20,4
2014-09-01,NL,36,28,20,10,12,14,2
2014-10-01,NL,35,25,16,8,12,15,5
2014-11-01,NL,32,25,18,6,11,7,2
2014-12-01,NL,27,23,15,6,12,2,2
2015-01-01,NL,30,28,24,9,12,13,2
2015-02-01,NL,36,29,22,6,11,10,4
2015-03-01,NL,29,31,23,8,15,13,3
2015-04-01,NL,44,34,25,13,10,22,4
2015-05-01,NL,42,34,22,14,12,16,5
2015-06-01,NL,37,33,24,9,12,29,5
2015-07-01,NL,50,34,26,14,11,25,5
2015-08-01,NL,45,31,25,14,14,24,3
2015-09-01,NL,39,29,21,10,12,11,3
2015-10-01,NL,34,28,21,8,11,9,3
2015-11-01,NL,34,26,17,7,13,8,4
2015-12-01,NL,29,26,18,6,11,11,3
2016-01-01,NL,34,28,20,10,11,14,5
2016-02-01,NL,36,29,23,12,12,14,4
2016-03-01,NL,40,33,27,12,12,10,3
2016-04-01,NL,43,31,24,16,10,11,5
2016-05-01,NL,49,34,27,11,16,12,6
2016-06-01,NL,42,35,24,11,17,27,5
2016-07-01,NL,43,33,24,16,14,23,4
2016-08-01,NL,42,30,23,9,16,19,4
2016-09-01,NL,43,30,23,10,12,15,1
2016-10-01,NL,34,27,19,6,13,12,3
2016-11-01,NL,35,26,18,6,7,6,3
2016-12-01,NL,27,24,16,10,11,9,4
2017-01-01,NL,35,34,25,13,12,12,3
2017-02-01,NL,41,33,24,13,16,16,3
2017-03-01,NL,37,37,27,10,12,15,5
2017-04-01,NL,50,37,27,14,17,13,5
2017-05-01,NL,55,39,25,17,12,17,4
2017-06-01,NL,47,36,24,13,18,22,4
2017-07-01,NL,51,37,26,11,17,20,4
2017-08-01,NL,45,35,26,13,18,24,4
2017-09-01,NL,48,34,27,11,13,7,3
2017-10-01,NL,44,35,25,16,19,9,3
2017-11-01,NL,36,29,22,9,14,10,4
2017-12-01,NL,38,30,21,13,12,19,3
2018-01-01,NL,35,34,27,10,12,8,4
2018-02-01,NL,39,33,27,9,9,16,6
2018-03-01,NL,45,36,26,16,12,9,5
2018-04-01,NL,50,37,25,12,14,14,5
2018-05-01,NL,56,38,23,16,15,19,6
2018-06-01,NL,52,38,30,18,17,27,4
2018-07-01,NL,55,38,28,14,18,37,4
2018-08-01,NL,57,37,26,11,20,21,3
2018-09-01,NL,46,33,25,10,18,24,4
2018-10-01,NL,48,34,25,12,23,15,4
2018-11-01,NL,38,30,22,9,17,7,3
2018-12-01,NL,34,29,19,7,16,11,3
2019-01-01,NL,35,33,21,15,15,13,2
2019-02-01,NL,45,34,26,10,17,12,5
2019-03-01,NL,44,37,26,19,17,13,6
2019-04-01,NL,51,39,23,19,17,20,6
2019-05-01,NL,53,46,40,21,19,27,4
2019-06-01,NL,56,45,32,19,21,33,4
2019-07-01,NL,55,44,26,20,21,25,6
2019-08-01,NL,61,40,27,17,23,31,5
2019-09-01,NL,48,38,31,14,19,18,6
2019-10-01,NL,45,41,43,15,14,10,3
2019-11-01,NL,42,31,21,9,16,13,4
2019-12-01,NL,35,31,18,13,14,8,4
2020-01-01,NL,42,36,22,17,14,20,4
2020-02-01,NL,53,44,39,16,14,16,7
2020-03-01,NL,68,48,65,10,12,15,11
2020-04-01,NL,41,35,42,9,15,15,3
2020-05-01,NL,47,35,40,12,14,17,5
2020-06-01,NL,59,40,37,13,18,28,9
2020-07-01,NL,62,53,75,14,18,39,8
2020-08-01,NL,65,53,87,12,22,41,11
2020-09-01,NL,65,50,72,11,19,23,7
2020-10-01,NL,56,38,49,15,15,22,6
2020-11-01,NL,40,25,14,9,15,12,6
2020-12-01,NL,45,28,12,9,9,13,9
2021-01-01,NL,39,27,9,11,14,11,10
2021-02-01,NL,44,25,11,8,14,12,6
2021-03-01,NL,51,30,12,10,13,16,7
2021-04-01,NL,60,29,15,10,19,19,12
2021-05-01,NL,66,37,19,16,20,15,11
2021-06-01,NL,86,70,20,15,23,27,19
