date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,PL,62,72,45,38,100,57,0
2004-02-01,PL,65,87,31,0,75,0,57
2004-03-01,PL,19,59,42,0,0,0,0
2004-04-01,PL,68,86,70,0,0,0,0
2004-05-01,PL,16,87,54,45,96,0,0
2004-06-01,PL,79,98,81,64,0,95,30
2004-07-01,PL,62,98,90,85,0,99,30
2004-08-01,PL,100,92,76,36,73,0,0
2004-09-01,PL,68,78,62,73,0,0,0
2004-10-01,PL,46,74,53,51,0,0,0
2004-11-01,PL,60,67,34,49,0,0,0
2004-12-01,PL,36,72,44,0,34,0,0
2005-01-01,PL,17,78,30,0,0,0,0
2005-02-01,PL,41,77,41,34,0,49,35
2005-03-01,PL,32,75,40,64,40,51,36
2005-04-01,PL,47,83,50,62,0,0,20
2005-05-01,PL,44,92,56,42,40,77,44
2005-06-01,PL,39,89,58,33,0,28,28
2005-07-01,PL,66,100,53,45,30,100,57
2005-08-01,PL,40,86,61,39,73,0,100
2005-09-01,PL,42,74,57,22,0,0,78
2005-10-01,PL,43,72,52,44,0,72,57
2005-11-01,PL,37,60,33,0,31,0,0
2005-12-01,PL,37,65,49,0,44,0,56
2006-01-01,PL,45,82,43,42,20,0,0
2006-02-01,PL,29,71,50,100,0,0,0
2006-03-01,PL,30,80,45,20,37,22,19
2006-04-01,PL,32,73,35,65,55,56,14
2006-05-01,PL,39,79,58,50,0,0,12
2006-06-01,PL,53,84,58,81,54,60,17
2006-07-01,PL,49,87,67,77,0,0,25
2006-08-01,PL,54,74,47,42,41,0,11
2006-09-01,PL,30,65,38,29,0,0,0
2006-10-01,PL,36,67,32,24,53,0,0
2006-11-01,PL,41,61,34,11,41,0,22
2006-12-01,PL,20,53,31,0,14,59,14
2007-01-01,PL,32,76,45,41,35,31,35
2007-02-01,PL,23,64,37,38,0,25,44
2007-03-01,PL,25,68,43,32,29,21,9
2007-04-01,PL,40,61,49,38,31,17,0
2007-05-01,PL,30,65,48,43,45,26,0
2007-06-01,PL,38,72,44,43,16,31,35
2007-07-01,PL,44,74,43,41,19,34,16
2007-08-01,PL,41,63,48,25,27,11,18
2007-09-01,PL,37,61,49,23,0,0,12
2007-10-01,PL,31,58,31,25,43,0,0
2007-11-01,PL,29,56,33,20,21,0,0
2007-12-01,PL,28,44,23,45,0,12,10
2008-01-01,PL,36,60,38,24,22,10,14
2008-02-01,PL,31,58,52,35,29,13,9
2008-03-01,PL,25,56,40,61,40,16,20
2008-04-01,PL,38,57,35,40,10,15,21
2008-05-01,PL,29,51,35,31,25,22,22
2008-06-01,PL,35,57,34,38,20,38,13
2008-07-01,PL,36,58,39,30,0,32,0
2008-08-01,PL,36,51,33,24,11,11,16
2008-09-01,PL,19,42,25,18,30,17,23
2008-10-01,PL,24,40,22,23,19,17,0
2008-11-01,PL,30,39,18,20,21,15,16
2008-12-01,PL,18,33,20,13,10,9,0
2009-01-01,PL,28,44,23,28,9,14,0
2009-02-01,PL,26,42,28,15,0,11,18
2009-03-01,PL,23,43,24,31,22,0,11
2009-04-01,PL,27,42,21,28,18,19,28
2009-05-01,PL,18,44,28,20,0,0,8
2009-06-01,PL,27,44,30,22,11,39,18
2009-07-01,PL,40,48,30,25,12,47,8
2009-08-01,PL,24,42,25,25,13,12,0
2009-09-01,PL,23,39,23,16,19,0,13
2009-10-01,PL,30,38,27,8,26,7,13
2009-11-01,PL,25,34,20,23,16,0,7
2009-12-01,PL,27,31,17,15,15,10,5
2010-01-01,PL,27,38,24,17,19,15,13
2010-02-01,PL,23,35,17,19,8,12,15
2010-03-01,PL,22,36,22,17,6,11,19
2010-04-01,PL,34,51,29,13,27,36,4
2010-05-01,PL,38,39,22,20,12,19,15
2010-06-01,PL,22,39,20,23,15,13,7
2010-07-01,PL,32,39,19,23,11,20,11
2010-08-01,PL,37,37,29,19,20,17,10
2010-09-01,PL,22,31,16,13,21,12,3
2010-10-01,PL,26,27,17,16,11,0,10
2010-11-01,PL,20,34,14,17,0,0,0
2010-12-01,PL,23,27,12,16,4,0,9
2011-01-01,PL,23,30,15,16,15,0,5
2011-02-01,PL,20,29,12,24,11,16,10
2011-03-01,PL,22,33,16,22,0,9,7
2011-04-01,PL,23,29,16,11,10,0,17
2011-05-01,PL,30,35,25,13,13,15,5
2011-06-01,PL,33,40,22,20,12,6,8
2011-07-01,PL,37,38,20,20,13,16,5
2011-08-01,PL,33,35,22,18,17,16,6
2011-09-01,PL,26,31,24,11,20,6,8
2011-10-01,PL,33,30,18,17,16,5,8
2011-11-01,PL,30,35,19,13,3,11,7
2011-12-01,PL,25,30,17,7,24,6,5
2012-01-01,PL,29,35,18,16,16,12,14
2012-02-01,PL,26,32,19,16,14,11,10
2012-03-01,PL,31,31,16,19,14,15,9
2012-04-01,PL,27,32,23,16,14,9,7
2012-05-01,PL,30,37,27,22,14,16,7
2012-06-01,PL,36,42,24,18,20,27,11
2012-07-01,PL,47,42,28,11,13,29,16
2012-08-01,PL,33,32,25,17,17,9,7
2012-09-01,PL,29,30,18,15,8,0,11
2012-10-01,PL,25,28,17,9,11,3,6
2012-11-01,PL,21,25,15,7,16,0,6
