date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,PT,44,58,39,31,0,40,71
2004-02-01,PT,42,57,45,45,0,21,27
2004-03-01,PT,53,69,62,65,0,35,69
2004-04-01,PT,43,67,59,87,0,18,48
2004-05-01,PT,63,75,70,90,0,35,49
2004-06-01,PT,61,100,98,100,0,64,82
2004-07-01,PT,83,95,100,75,0,100,100
2004-08-01,PT,85,80,76,72,0,47,67
2004-09-01,PT,50,49,44,37,0,16,49
2004-10-01,PT,52,44,52,43,0,9,11
2004-11-01,PT,38,43,38,15,0,15,52
2004-12-01,PT,40,39,35,33,0,6,41
2005-01-01,PT,37,57,45,50,0,22,14
2005-02-01,PT,50,61,54,59,0,20,24
2005-03-01,PT,52,64,53,63,0,20,60
2005-04-01,PT,50,65,58,74,0,31,37
2005-05-01,PT,49,70,62,64,0,34,41
2005-06-01,PT,61,76,67,96,0,48,42
2005-07-01,PT,61,82,86,85,0,70,64
2005-08-01,PT,68,70,76,67,0,42,33
2005-09-01,PT,39,47,45,49,0,12,23
2005-10-01,PT,44,42,36,25,0,9,12
2005-11-01,PT,40,38,37,25,0,5,34
2005-12-01,PT,30,32,29,19,0,6,20
2006-01-01,PT,38,54,42,48,0,14,24
2006-02-01,PT,35,53,49,51,0,15,40
2006-03-01,PT,41,56,51,47,0,18,23
2006-04-01,PT,47,61,58,63,0,27,38
2006-05-01,PT,43,63,57,64,0,30,22
2006-06-01,PT,44,69,65,66,0,35,39
2006-07-01,PT,52,80,74,78,0,61,39
2006-08-01,PT,62,69,66,56,0,31,21
2006-09-01,PT,35,48,40,39,0,9,24
2006-10-01,PT,33,42,39,31,0,8,17
2006-11-01,PT,30,35,32,25,0,6,18
2006-12-01,PT,33,34,32,27,0,8,9
2007-01-01,PT,46,51,35,44,0,17,22
2007-02-01,PT,45,55,45,41,0,17,19
2007-03-01,PT,44,56,49,54,0,21,23
2007-04-01,PT,41,54,46,56,0,19,32
2007-05-01,PT,34,59,49,53,0,16,31
2007-06-01,PT,42,63,54,66,0,27,33
2007-07-01,PT,57,64,76,74,0,44,46
2007-08-01,PT,52,60,61,55,0,36,26
2007-09-01,PT,31,45,45,36,0,9,20
2007-10-01,PT,32,39,34,28,0,6,19
2007-11-01,PT,26,33,27,21,0,7,19
2007-12-01,PT,26,29,24,17,0,6,9
2008-01-01,PT,27,48,41,35,0,12,19
2008-02-01,PT,28,47,45,34,0,17,22
2008-03-01,PT,28,45,45,45,0,15,20
2008-04-01,PT,32,48,45,41,0,17,31
2008-05-01,PT,29,52,42,56,0,17,21
2008-06-01,PT,31,55,47,59,0,33,31
2008-07-01,PT,42,59,61,58,0,37,29
2008-08-01,PT,47,52,49,48,0,29,24
2008-09-01,PT,29,38,35,30,0,9,18
2008-10-01,PT,26,32,26,19,0,6,8
2008-11-01,PT,26,28,23,15,0,6,7
2008-12-01,PT,24,26,22,12,0,6,9
2009-01-01,PT,30,40,28,25,0,11,14
2009-02-01,PT,34,41,32,30,0,11,9
2009-03-01,PT,40,44,38,41,0,15,17
2009-04-01,PT,42,52,37,48,0,19,22
2009-05-01,PT,46,52,37,50,0,20,20
2009-06-01,PT,50,61,48,62,0,26,29
2009-07-01,PT,53,69,54,81,0,32,28
2009-08-01,PT,68,67,53,54,0,27,27
2009-09-01,PT,45,45,35,38,0,9,12
2009-10-01,PT,42,37,29,24,0,8,16
2009-11-01,PT,43,35,27,24,0,6,13
2009-12-01,PT,42,32,23,17,0,7,13
2010-01-01,PT,52,54,33,36,0,11,17
2010-02-01,PT,49,56,34,37,0,12,24
2010-03-01,PT,54,55,41,42,0,13,20
2010-04-01,PT,59,57,36,41,0,16,21
2010-05-01,PT,57,64,38,45,64,17,22
2010-06-01,PT,60,65,41,51,71,22,26
2010-07-01,PT,66,67,51,63,68,36,28
2010-08-01,PT,66,57,44,49,63,26,25
2010-09-01,PT,50,43,29,32,47,8,16
2010-10-01,PT,37,34,22,20,34,6,14
2010-11-01,PT,32,27,18,15,28,5,11
2010-12-01,PT,31,25,15,16,20,5,8
2011-01-01,PT,37,45,26,25,54,11,20
2011-02-01,PT,36,40,24,25,54,10,18
2011-03-01,PT,34,41,27,33,45,10,16
2011-04-01,PT,37,41,28,31,48,13,17
2011-05-01,PT,37,45,30,37,46,12,17
2011-06-01,PT,47,50,33,41,56,18,22
2011-07-01,PT,55,58,44,43,58,27,27
2011-08-01,PT,61,52,37,32,58,22,26
2011-09-01,PT,37,35,22,23,30,7,16
2011-10-01,PT,32,30,18,18,37,5,15
2011-11-01,PT,27,25,14,14,30,5,11
2011-12-01,PT,21,21,15,11,29,4,10
2012-01-01,PT,27,36,23,22,48,7,16
2012-02-01,PT,28,33,21,20,43,8,15
2012-03-01,PT,27,36,22,24,44,9,17
2012-04-01,PT,28,39,23,23,48,8,15
2012-05-01,PT,34,40,26,32,44,10,20
2012-06-01,PT,38,51,32,33,54,31,25
2012-07-01,PT,51,55,36,40,52,22,25
2012-08-01,PT,53,46,31,31,49,15,23
2012-09-01,PT,37,35,20,20,36,6,16
2012-10-01,PT,30,28,17,13,30,5,13
2012-11-01,PT,27,23,14,10,33,4,9
2012-12-01,PT,23,20,12,11,22,5,9
2013-01-01,PT,25,35,21,23,43,9,16
2013-02-01,PT,25,33,20,20,40,8,15
2013-03-01,PT,30,36,23,26,42,9,18
2013-04-01,PT,30,37,25,25,46,9,16
2013-05-01,PT,35,41,26,32,50,10,22
2013-06-01,PT,37,45,29,38,53,14,25
2013-07-01,PT,48,50,32,39,60,17,24
2013-08-01,PT,57,47,32,30,49,13,22
2013-09-01,PT,35,33,20,22,46,6,15
2013-10-01,PT,30,29,16,16,38,4,12
2013-11-01,PT,27,25,15,12,36,4,11
2013-12-01,PT,24,23,13,10,31,5,10
2014-01-01,PT,28,38,22,23,51,8,18
2014-02-01,PT,26,34,20,21,47,6,16
2014-03-01,PT,31,38,21,25,48,8,17
2014-04-01,PT,35,39,25,27,55,9,19
2014-05-01,PT,37,42,27,27,60,11,21
2014-06-01,PT,39,50,31,33,69,29,25
2014-07-01,PT,50,55,35,38,63,18,29
2014-08-01,PT,58,49,33,29,55,17,27
2014-09-01,PT,37,36,22,23,43,7,21
2014-10-01,PT,33,30,18,15,37,6,16
2014-11-01,PT,27,27,15,11,41,5,12
2014-12-01,PT,24,24,15,12,35,5,11
2015-01-01,PT,29,38,22,20,49,9,20
2015-02-01,PT,30,40,23,23,54,8,20
2015-03-01,PT,32,37,23,25,55,10,21
2015-04-01,PT,37,40,24,27,58,10,23
2015-05-01,PT,39,47,26,30,54,12,20
2015-06-01,PT,47,50,32,31,65,15,29
2015-07-01,PT,59,58,36,30,76,20,34
2015-08-01,PT,67,52,34,28,64,18,26
2015-09-01,PT,45,39,22,21,41,9,18
2015-10-01,PT,35,32,18,15,38,7,17
2015-11-01,PT,31,28,14,11,35,5,14
2015-12-01,PT,28,28,15,10,39,6,13
2016-01-01,PT,31,44,26,22,69,12,22
