date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,RO,70,70,94,0,0,100,0
2004-02-01,RO,76,73,42,0,0,89,76
2004-03-01,RO,56,62,58,73,0,69,99
2004-04-01,RO,50,69,71,0,0,0,0
2004-05-01,RO,63,83,100,47,100,0,0
2004-06-01,RO,100,92,93,0,20,0,55
2004-07-01,RO,83,94,61,100,52,0,49
2004-08-01,RO,90,100,68,39,15,50,60
2004-09-01,RO,53,60,63,36,0,0,0
2004-10-01,RO,43,64,67,63,30,0,0
2004-11-01,RO,64,74,58,0,34,0,39
2004-12-01,RO,51,64,64,84,0,0,29
2005-01-01,RO,40,62,60,45,0,0,40
2005-02-01,RO,39,70,65,49,42,0,0
2005-03-01,RO,44,71,74,42,19,0,27
2005-04-01,RO,48,79,73,0,0,24,0
2005-05-01,RO,69,90,55,49,0,0,53
2005-06-01,RO,58,79,69,44,16,0,0
2005-07-01,RO,69,86,75,38,40,23,38
2005-08-01,RO,70,74,39,68,17,0,100
2005-09-01,RO,44,61,60,0,12,42,18
2005-10-01,RO,43,60,46,51,38,0,52
2005-11-01,RO,49,64,77,20,24,27,0
2005-12-01,RO,46,64,69,52,0,0,0
2006-01-01,RO,35,60,71,22,0,37,0
2006-02-01,RO,45,67,60,18,8,35,22
2006-03-01,RO,38,69,66,0,0,24,18
2006-04-01,RO,35,57,49,48,19,38,0
2006-05-01,RO,48,76,75,49,19,0,0
2006-06-01,RO,49,80,69,48,30,20,38
2006-07-01,RO,54,93,58,58,36,0,27
2006-08-01,RO,41,77,73,67,19,0,15
2006-09-01,RO,37,61,50,34,16,0,25
2006-10-01,RO,33,60,51,44,0,0,0
2006-11-01,RO,39,64,79,36,12,35,0
2006-12-01,RO,33,59,58,25,32,12,41
2007-01-01,RO,36,72,69,63,13,0,14
2007-02-01,RO,31,67,62,60,13,28,11
2007-03-01,RO,37,70,53,55,0,18,0
2007-04-01,RO,37,68,63,55,7,0,20
2007-05-01,RO,42,82,80,76,17,10,16
2007-06-01,RO,47,81,50,75,16,12,23
2007-07-01,RO,47,82,50,82,0,37,8
2007-08-01,RO,45,76,56,63,4,0,31
2007-09-01,RO,30,58,51,57,14,9,56
2007-10-01,RO,37,64,55,53,9,0,34
2007-11-01,RO,34,63,54,22,13,0,0
2007-12-01,RO,24,54,46,41,8,0,25
2008-01-01,RO,29,60,56,58,17,10,21
2008-02-01,RO,29,64,48,44,8,7,46
2008-03-01,RO,30,62,52,36,12,16,20
2008-04-01,RO,32,59,52,59,8,0,24
2008-05-01,RO,33,69,54,73,5,0,0
2008-06-01,RO,42,82,64,60,12,11,23
2008-07-01,RO,47,84,56,75,12,13,26
2008-08-01,RO,38,66,60,45,12,20,23
2008-09-01,RO,28,52,45,27,10,0,0
2008-10-01,RO,32,54,46,48,7,0,17
2008-11-01,RO,27,51,42,48,6,0,16
2008-12-01,RO,26,50,38,76,3,10,15
2009-01-01,RO,24,52,42,28,5,0,15
2009-02-01,RO,26,51,44,56,0,0,20
2009-03-01,RO,24,57,45,32,7,10,21
2009-04-01,RO,36,64,52,36,12,15,27
2009-05-01,RO,41,70,60,42,12,11,19
2009-06-01,RO,42,71,50,50,9,12,20
2009-07-01,RO,51,76,48,47,16,16,30
2009-08-01,RO,48,74,65,53,9,23,20
2009-09-01,RO,40,63,53,32,0,10,15
2009-10-01,RO,45,72,48,48,10,7,18
2009-11-01,RO,45,80,52,22,13,4,22
2009-12-01,RO,41,78,44,42,10,6,13
2010-01-01,RO,43,82,49,66,3,13,15
2010-02-01,RO,39,76,56,56,9,11,15
2010-03-01,RO,39,77,51,43,6,4,19
2010-04-01,RO,40,78,51,57,6,29,13
2010-05-01,RO,42,78,49,35,10,7,20
2010-06-01,RO,54,85,51,47,9,7,21
2010-07-01,RO,55,85,51,63,10,10,30
2010-08-01,RO,50,72,48,50,9,17,17
2010-09-01,RO,39,62,52,37,11,11,11
2010-10-01,RO,31,55,41,37,6,12,12
2010-11-01,RO,35,58,46,40,6,7,16
2010-12-01,RO,30,55,38,38,5,13,15
2011-01-01,RO,25,58,46,50,10,0,12
2011-02-01,RO,25,55,44,49,5,10,21
2011-03-01,RO,37,66,48,40,5,3,14
2011-04-01,RO,26,52,43,48,10,4,14
2011-05-01,RO,30,57,47,37,4,5,19
2011-06-01,RO,36,69,43,41,12,13,22
2011-07-01,RO,39,72,45,49,7,19,20
2011-08-01,RO,36,62,44,26,8,18,21
2011-09-01,RO,32,59,46,34,4,4,20
2011-10-01,RO,27,49,48,33,9,6,10
2011-11-01,RO,32,54,52,26,3,9,17
2011-12-01,RO,22,43,44,29,5,0,9
2012-01-01,RO,23,53,45,55,8,10,16
2012-02-01,RO,22,49,49,32,3,7,14
2012-03-01,RO,23,47,45,24,7,13,17
2012-04-01,RO,22,45,39,38,7,4,23
2012-05-01,RO,26,53,44,45,7,8,17
2012-06-01,RO,33,57,45,34,4,9,11
2012-07-01,RO,41,66,51,38,11,12,19
2012-08-01,RO,34,54,43,35,7,12,22
2012-09-01,RO,34,55,49,24,4,5,15
2012-10-01,RO,44,61,40,32,5,6,16
2012-11-01,RO,23,41,39,43,8,4,8
2012-12-01,RO,22,41,41,27,6,6,13
2013-01-01,RO,24,45,39,41,6,5,11
2013-02-01,RO,22,45,40,41,6,12,18
2013-03-01,RO,22,45,41,47,7,9,18
2013-04-01,RO,23,42,36,45,6,6,16
2013-05-01,RO,25,44,40,30,6,9,10
2013-06-01,RO,32,53,39,27,4,12,16
2013-07-01,RO,33,55,45,38,9,9,16
2013-08-01,RO,33,50,42,37,6,9,18
2013-09-01,RO,52,66,41,31,7,7,12
2013-10-01,RO,39,55,51,31,4,9,16
2013-11-01,RO,92,99,40,21,7,6,12
2013-12-01,RO,21,38,35,28,5,6,8
2014-01-01,RO,23,45,39,39,3,10,14
2014-02-01,RO,22,43,36,33,10,4,16
2014-03-01,RO,24,44,37,26,7,6,18
2014-04-01,RO,22,42,38,33,4,5,13
2014-05-01,RO,24,44,37,35,8,8,18
2014-06-01,RO,30,52,41,37,7,10,20
2014-07-01,RO,35,61,45,32,7,15,15
2014-08-01,RO,33,50,38,23,7,9,24
2014-09-01,RO,47,62,39,29,7,8,20
2014-10-01,RO,26,44,42,29,6,6,16
2014-11-01,RO,26,44,49,25,6,7,11
2014-12-01,RO,21,39,39,22,4,6,16
2015-01-01,RO,22,43,38,32,6,5,17
2015-02-01,RO,19,41,39,32,5,7,15
2015-03-01,RO,22,44,36,33,3,7,11
2015-04-01,RO,20,41,37,28,4,3,12
2015-05-01,RO,23,45,38,36,6,8,19
2015-06-01,RO,29,51,46,32,7,11,20
2015-07-01,RO,35,56,46,40,10,9,19
2015-08-01,RO,33,52,43,29,10,9,14
2015-09-01,RO,43,57,42,31,5,9,17
2015-10-01,RO,27,43,38,27,5,6,7
2015-11-01,RO,25,42,38,26,3,4,12
2015-12-01,RO,23,39,37,27,4,5,12
2016-01-01,RO,24,42,34,26,6,12,20
2016-02-01,RO,23,42,37,30,7,3,15
2016-03-01,RO,23,41,36,25,8,4,24
2016-04-01,RO,22,40,33,30,7,7,20
2016-05-01,RO,24,44,39,28,9,6,19
2016-06-01,RO,32,57,45,32,10,15,22
2016-07-01,RO,42,56,48,30,9,12,21
2016-08-01,RO,35,54,38,33,7,10,16
2016-09-01,RO,45,56,36,26,6,3,16
2016-10-01,RO,25,41,39,27,4,12,10
2016-11-01,RO,26,40,37,27,7,10,15
2016-12-01,RO,21,35,32,21,6,4,13
2017-01-01,RO,27,43,35,32,4,9,16
2017-02-01,RO,25,45,39,26,6,8,19
2017-03-01,RO,26,45,38,23,5,1,17
2017-04-01,RO,25,41,33,28,5,10,18
2017-05-01,RO,26,43,36,24,7,14,19
2017-06-01,RO,35,49,40,26,6,11,13
2017-07-01,RO,34,55,41,34,7,5,22
2017-08-01,RO,36,52,43,26,6,9,14
2017-09-01,RO,40,49,36,23,9,9,15
2017-10-01,RO,27,41,38,26,4,5,15
2017-11-01,RO,31,46,37,22,6,7,15
2017-12-01,RO,23,38,36,21,5,8,15
2018-01-01,RO,28,47,38,34,7,1,17
2018-02-01,RO,26,42,35,23,6,8,15
2018-03-01,RO,27,44,34,25,7,10,16
2018-04-01,RO,28,44,35,25,8,7,19
2018-05-01,RO,28,45,36,30,5,10,16
2018-06-01,RO,33,52,41,37,6,11,16
2018-07-01,RO,39,52,43,33,7,14,24
2018-08-01,RO,41,47,40,24,8,9,18
2018-09-01,RO,51,54,37,21,6,12,13
2018-10-01,RO,26,43,33,20,7,5,14
2018-11-01,RO,38,45,35,26,5,10,16
2018-12-01,RO,23,38,37,19,7,11,14
2019-01-01,RO,26,40,33,26,5,5,15
2019-02-01,RO,25,39,29,26,6,8,12
2019-03-01,RO,27,43,36,31,6,7,13
2019-04-01,RO,25,42,36,26,5,11,17
2019-05-01,RO,27,48,46,27,4,12,18
2019-06-01,RO,39,54,43,28,6,11,21
2019-07-01,RO,38,51,41,38,9,12,14
2019-08-01,RO,37,47,43,31,6,14,16
2019-09-01,RO,29,39,36,29,5,13,15
2019-10-01,RO,31,41,37,29,5,7,20
2019-11-01,RO,25,39,36,24,5,10,12
2019-12-01,RO,26,42,36,25,4,7,13
2020-01-01,RO,29,40,39,28,6,2,17
2020-02-01,RO,28,44,40,31,6,10,20
2020-03-01,RO,32,48,61,15,5,8,17
2020-04-01,RO,18,31,34,13,3,6,16
2020-05-01,RO,23,33,34,24,5,8,12
2020-06-01,RO,32,48,38,32,8,14,14
2020-07-01,RO,45,58,62,34,9,20,21
2020-08-01,RO,41,46,59,25,7,12,19
2020-09-01,RO,28,41,42,18,6,11,16
2020-10-01,RO,26,37,41,17,5,9,16
2020-11-01,RO,24,32,27,19,7,8,13
2020-12-01,RO,23,33,26,18,4,9,16
2021-01-01,RO,24,34,27,20,5,9,14
2021-02-01,RO,22,32,29,17,5,6,17
2021-03-01,RO,23,31,28,19,4,10,16
2021-04-01,RO,25,36,28,23,7,7,12
2021-05-01,RO,29,47,29,23,9,10,23
2021-06-01,RO,35,45,37,28,8,11,28
2021-07-01,RO,45,56,39,24,8,10,30
2021-08-01,RO,43,51,38,26,8,15,28
2021-09-01,RO,29,42,33,22,6,13,19
2021-10-01,RO,28,41,34,18,5,10,21
2021-11-01,RO,24,36,28,19,6,10,23
2021-12-01,RO,26,37,27,24,6,4,20
2022-01-01,RO,30,42,33,18,6,14,21
2022-02-01,RO,28,44,37,17,8,6,28
2022-03-01,RO,41,53,37,25,11,7,21
2022-04-01,RO,30,40,32,25,6,10,17
2022-05-01,RO,29,42,31,22,7,9,16
2022-06-01,RO,68,74,39,25,8,13,13
2022-07-01,RO,40,56,40,27,9,14,18
2022-08-01,RO,37,46,43,24,8,15,14
2022-09-01,RO,28,39,33,24,7,8,15
2022-10-01,RO,26,35,33,24,7,8,11
2022-11-01,RO,28,38,35,22,5,12,13
2022-12-01,RO,24,39,33,20,7,6,12
