date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,SE,71,72,29,0,0,0,81
2004-02-01,SE,89,80,25,60,62,0,61
2004-03-01,SE,100,85,35,46,0,0,0
2004-04-01,SE,51,68,35,58,65,100,0
2004-05-01,SE,87,100,42,53,78,81,39
2004-06-01,SE,74,96,37,84,0,60,49
2004-07-01,SE,90,89,26,100,100,81,0
2004-08-01,SE,62,84,32,79,25,40,0
2004-09-01,SE,46,70,31,0,0,70,0
2004-10-01,SE,55,66,25,27,22,0,0
2004-11-01,SE,68,67,24,0,0,45,0
2004-12-01,SE,68,60,21,27,32,0,36
2005-01-01,SE,73,65,27,36,0,35,33
2005-02-01,SE,58,80,35,43,29,42,100
2005-03-01,SE,73,69,34,23,0,23,0
2005-04-01,SE,42,75,36,42,49,0,0
2005-05-01,SE,86,86,30,32,70,51,39
2005-06-01,SE,66,78,31,43,0,35,0
2005-07-01,SE,60,84,40,73,23,32,0
2005-08-01,SE,85,72,38,23,26,0,0
2005-09-01,SE,64,57,27,16,0,29,23
2005-10-01,SE,64,50,19,20,40,0,26
2005-11-01,SE,42,54,20,0,33,0,0
2005-12-01,SE,47,48,22,14,0,25,0
2006-01-01,SE,63,60,21,14,16,19,0
2006-02-01,SE,42,61,24,29,28,19,19
2006-03-01,SE,53,61,24,44,0,22,27
2006-04-01,SE,70,59,29,30,12,15,18
2006-05-01,SE,58,64,28,30,40,40,39
2006-06-01,SE,73,83,33,38,30,29,0
2006-07-01,SE,63,67,33,28,25,63,0
2006-08-01,SE,57,61,29,0,24,17,67
2006-09-01,SE,55,52,23,0,47,14,0
2006-10-01,SE,44,46,26,0,35,13,34
2006-11-01,SE,42,50,23,0,0,17,16
2006-12-01,SE,43,42,23,20,0,0,0
2007-01-01,SE,69,59,32,24,17,32,0
2007-02-01,SE,58,54,29,40,18,11,21
2007-03-01,SE,46,53,22,26,10,23,0
2007-04-01,SE,56,48,25,21,27,12,14
2007-05-01,SE,60,56,27,52,19,44,0
2007-06-01,SE,76,56,27,59,33,8,17
2007-07-01,SE,79,62,29,71,30,44,36
2007-08-01,SE,63,57,27,25,28,18,11
2007-09-01,SE,52,46,26,38,19,19,25
2007-10-01,SE,41,45,18,17,12,14,28
2007-11-01,SE,51,42,23,19,17,0,22
2007-12-01,SE,42,38,13,28,16,15,25
2008-01-01,SE,49,48,20,27,16,18,16
2008-02-01,SE,55,46,21,38,7,6,21
2008-03-01,SE,45,49,23,33,24,14,14
2008-04-01,SE,41,44,19,19,12,20,19
2008-05-01,SE,54,50,28,24,0,25,13
2008-06-01,SE,62,52,26,35,13,13,23
2008-07-01,SE,53,48,19,21,28,41,0
2008-08-01,SE,48,50,28,23,12,6,8
2008-09-01,SE,58,40,21,21,12,23,0
2008-10-01,SE,46,35,17,8,18,10,18
2008-11-01,SE,39,33,14,6,13,8,15
2008-12-01,SE,54,33,14,25,7,9,9
2009-01-01,SE,47,41,19,14,20,16,0
2009-02-01,SE,48,40,14,11,16,21,11
2009-03-01,SE,51,40,17,18,34,18,13
2009-04-01,SE,58,43,19,30,17,23,15
2009-05-01,SE,47,42,18,20,11,22,26
2009-06-01,SE,73,50,22,30,20,30,13
2009-07-01,SE,65,49,23,26,17,39,28
2009-08-01,SE,60,41,19,20,14,12,10
