date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,SI,0,46,29,79,0,58,100
2004-02-01,SI,0,42,44,0,0,0,0
2004-03-01,SI,0,47,0,100,83,0,0
2004-04-01,SI,74,68,100,0,73,0,42
2004-05-01,SI,40,100,51,56,0,54,70
2004-06-01,SI,0,56,47,37,49,0,0
2004-07-01,SI,51,93,0,36,62,39,0
2004-08-01,SI,28,59,59,0,0,0,38
2004-09-01,SI,0,58,41,0,43,0,51
2004-10-01,SI,52,20,0,37,100,0,45
2004-11-01,SI,25,57,0,0,0,0,0
2004-12-01,SI,30,49,45,0,54,0,0
2005-01-01,SI,0,69,28,39,65,0,0
2005-02-01,SI,100,51,40,32,0,33,33
2005-03-01,SI,0,64,48,0,34,47,49
2005-04-01,SI,0,71,62,33,35,0,0
2005-05-01,SI,34,67,15,19,0,75,0
2005-06-01,SI,0,64,59,49,32,100,0
2005-07-01,SI,0,83,35,18,0,27,56
2005-08-01,SI,17,77,28,21,0,76,0
2005-09-01,SI,33,41,17,32,37,0,0
2005-10-01,SI,0,64,48,0,0,0,19
2005-11-01,SI,0,31,15,33,0,0,0
2005-12-01,SI,0,42,37,16,0,0,0
2006-01-01,SI,9,59,18,0,0,25,30
2006-02-01,SI,0,58,52,33,0,0,25
2006-03-01,SI,17,60,37,15,21,68,0
2006-04-01,SI,11,55,29,17,20,41,21
2006-05-01,SI,0,55,49,45,32,81,0
2006-06-01,SI,0,57,48,30,18,40,37
2006-07-01,SI,17,68,58,12,34,0,47
2006-08-01,SI,15,53,29,14,0,35,0
2006-09-01,SI,12,45,17,0,0,0,0
2006-10-01,SI,0,37,25,0,0,0,11
2006-11-01,SI,0,41,0,22,0,0,0
2006-12-01,SI,7,41,12,13,26,14,11
2007-01-01,SI,11,46,0,0,29,26,11
2007-02-01,SI,27,48,19,17,25,15,0
2007-03-01,SI,17,42,20,11,32,26,19
2007-04-01,SI,20,41,14,25,0,0,10
2007-05-01,SI,10,45,30,29,32,21,0
2007-06-01,SI,17,55,54,34,0,24,9
2007-07-01,SI,20,78,71,8,0,76,36
2007-08-01,SI,15,58,48,23,28,32,12
2007-09-01,SI,9,37,28,0,9,0,0
2007-10-01,SI,17,39,14,24,12,10,0
2007-11-01,SI,5,36,14,0,32,0,0
2007-12-01,SI,7,31,26,0,0,39,0
2008-01-01,SI,7,48,39,19,0,17,15
2008-02-01,SI,8,40,16,0,28,21,13
2008-03-01,SI,9,42,32,17,26,18,12
2008-04-01,SI,27,43,22,21,9,24,0
2008-05-01,SI,15,49,32,10,23,14,8
2008-06-01,SI,10,49,13,10,19,19,29
2008-07-01,SI,10,57,44,18,8,32,8
2008-08-01,SI,17,54,40,6,0,12,14
2008-09-01,SI,11,30,26,0,0,9,12
2008-10-01,SI,11,26,6,0,0,0,0
2008-11-01,SI,3,24,21,13,26,9,0
2008-12-01,SI,0,30,13,0,10,8,7
2009-01-01,SI,9,34,24,0,22,13,7
2009-02-01,SI,14,31,11,9,0,18,0
2009-03-01,SI,5,35,24,0,12,17,8
2009-04-01,SI,8,35,18,7,14,24,0
2009-05-01,SI,10,36,25,0,17,26,6
2009-06-01,SI,15,44,30,21,15,32,9
2009-07-01,SI,8,50,44,12,10,27,0
2009-08-01,SI,12,44,30,7,20,37,8
2009-09-01,SI,10,31,17,4,10,32,6
2009-10-01,SI,17,25,16,14,10,0,13
2009-11-01,SI,6,25,7,0,5,14,0
2009-12-01,SI,16,29,16,11,9,10,0
2010-01-01,SI,7,30,12,15,17,9,6
2010-02-01,SI,8,34,15,0,4,0,9
2010-03-01,SI,3,35,22,11,27,23,7
2010-04-01,SI,12,33,23,4,6,11,10
2010-05-01,SI,9,31,20,7,4,17,7
2010-06-01,SI,11,56,34,10,18,20,9
2010-07-01,SI,12,48,34,0,6,37,0
2010-08-01,SI,18,43,22,5,18,35,13
2010-09-01,SI,11,22,3,6,0,0,8
2010-10-01,SI,7,20,14,4,7,10,8
