date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,SK,0,94,31,0,100,0,0
2004-02-01,SK,100,64,68,100,0,0,37
2004-03-01,SK,65,72,0,92,0,100,0
2004-04-01,SK,42,71,88,52,38,0,33
2004-05-01,SK,0,78,29,0,0,0,0
2004-06-01,SK,0,77,32,0,0,0,21
2004-07-01,SK,0,100,82,0,34,0,0
2004-08-01,SK,47,86,100,0,35,0,100
2004-09-01,SK,0,76,37,0,0,0,0
2004-10-01,SK,34,51,39,0,0,72,39
2004-11-01,SK,0,71,39,0,0,0,0
2004-12-01,SK,0,84,35,0,0,0,0
2005-01-01,SK,59,79,0,0,0,0,0
2005-02-01,SK,61,68,25,0,0,77,21
2005-03-01,SK,32,69,24,0,0,0,0
2005-04-01,SK,0,63,0,76,0,0,69
2005-05-01,SK,22,67,66,0,0,0,0
2005-06-01,SK,0,54,99,57,0,0,0
2005-07-01,SK,75,96,62,47,0,52,0
2005-08-01,SK,0,95,49,29,0,89,0
2005-09-01,SK,19,66,0,0,0,0,51
2005-10-01,SK,33,68,37,79,0,90,0
2005-11-01,SK,31,89,20,0,0,0,0
2005-12-01,SK,34,79,59,0,0,90,11
2006-01-01,SK,27,88,17,0,0,0,25
2006-02-01,SK,31,63,24,0,0,60,71
2006-03-01,SK,29,73,56,0,0,0,0
2006-04-01,SK,19,53,41,89,19,50,24
2006-05-01,SK,26,55,36,19,0,35,9
2006-06-01,SK,34,58,58,22,0,0,0
2006-07-01,SK,36,71,42,0,0,0,0
2006-08-01,SK,30,65,32,0,0,32,10
2006-09-01,SK,17,53,30,0,0,0,0
2006-10-01,SK,24,74,22,0,0,0,7
2006-11-01,SK,11,59,23,0,0,60,0
2006-12-01,SK,25,57,53,0,0,0,0
2007-01-01,SK,27,74,38,35,12,0,0
2007-02-01,SK,10,63,19,0,0,0,0
2007-03-01,SK,13,58,26,0,0,0,10
2007-04-01,SK,23,64,47,28,0,36,0
2007-05-01,SK,18,65,31,28,7,0,0
2007-06-01,SK,26,68,39,0,20,0,19
2007-07-01,SK,35,67,79,39,0,0,0
2007-08-01,SK,29,62,50,39,25,33,0
2007-09-01,SK,27,56,29,19,18,0,13
2007-10-01,SK,12,54,22,0,0,0,0
2007-11-01,SK,16,57,34,21,0,0,0
2007-12-01,SK,20,69,26,0,19,0,0
2008-01-01,SK,10,72,35,0,0,0,0
2008-02-01,SK,20,64,32,0,8,19,7
2008-03-01,SK,20,58,25,27,0,18,0
2008-04-01,SK,12,49,16,21,6,14,4
2008-05-01,SK,27,39,32,16,10,0,5
2008-06-01,SK,21,53,23,0,0,27,4
2008-07-01,SK,28,52,37,8,10,36,0
2008-08-01,SK,29,55,30,11,0,15,0
2008-09-01,SK,20,55,36,0,0,0,0
2008-10-01,SK,18,51,29,7,0,0,0
2008-11-01,SK,8,40,28,0,0,13,4
2008-12-01,SK,12,43,8,0,0,12,8
2009-01-01,SK,20,57,31,0,0,0,6
2009-02-01,SK,14,44,13,0,9,0,0
2009-03-01,SK,17,38,22,27,4,10,5
