time,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,BE,51,0,0,0,0,0,0
2004-02-01,BE,53,0,64,0,0,0,0
2004-03-01,BE,53,100,65,0,0,0,0
2004-04-01,BE,73,0,0,0,0,0,100
2004-05-01,BE,63,0,0,0,0,54,63
2004-06-01,BE,80,0,0,0,0,0,0
2004-07-01,BE,100,0,62,0,0,0,0
2004-08-01,BE,88,0,0,0,0,0,0
2004-09-01,BE,53,53,0,0,0,0,0
2004-10-01,BE,40,0,0,0,93,0,0
2004-11-01,BE,34,0,0,0,92,0,0
2004-12-01,BE,32,0,46,0,0,0,0
2005-01-01,BE,28,0,0,0,0,0,0
2005-02-01,BE,34,0,36,0,74,0,0
2005-03-01,BE,40,0,49,0,0,0,0
2005-04-01,BE,48,0,29,100,89,0,0
2005-05-01,BE,44,0,0,0,0,0,0
2005-06-01,BE,39,38,50,0,0,90,0
2005-07-01,BE,54,0,100,0,0,20,0
2005-08-01,BE,38,0,0,0,0,0,0
2005-09-01,BE,30,0,0,0,0,17,66
2005-10-01,BE,40,52,23,36,0,100,0
2005-11-01,BE,33,0,0,0,0,0,0
2005-12-01,BE,18,0,0,99,0,0,0
2006-01-01,BE,29,0,0,0,0,0,0
2006-02-01,BE,26,79,0,0,0,35,0
2006-03-01,BE,24,0,0,0,100,0,0
2006-04-01,BE,30,0,0,0,0,0,0
2006-05-01,BE,23,43,0,0,0,0,0
2006-06-01,BE,38,0,0,0,0,0,37
2006-07-01,BE,39,0,0,0,0,0,0
2006-08-01,BE,31,0,0,0,0,0,0
2006-09-01,BE,29,47,0,18,0,0,0
2006-10-01,BE,27,18,0,0,0,0,0
2006-11-01,BE,24,0,0,0,0,0,0
2006-12-01,BE,21,19,0,0,0,0,0
2007-01-01,BE,22,0,0,0,0,30,0
2007-02-01,BE,20,0,0,0,0,42,0
2007-03-01,BE,29,17,0,0,0,27,0
2007-04-01,BE,29,0,0,0,0,0,0
2007-05-01,BE,25,21,26,17,0,15,0
2007-06-01,BE,25,24,0,0,0,0,0
2007-07-01,BE,37,0,0,0,0,14,0
2007-08-01,BE,35,0,0,22,0,10,0
2007-09-01,BE,26,0,18,0,0,0,33
2007-10-01,BE,26,17,11,0,0,0,0
2007-11-01,BE,20,0,0,0,0,0,0
2007-12-01,BE,20,0,0,0,0,0,0
2008-01-01,BE,23,0,0,0,0,21,0
2008-02-01,BE,22,0,0,0,0,14,0
2008-03-01,BE,24,24,0,0,24,0,0
2008-04-01,BE,23,20,0,0,49,14,0
2008-05-01,BE,30,0,0,17,40,12,14
2008-06-01,BE,22,0,0,0,0,8,0
2008-07-01,BE,37,18,0,12,27,0,0
2008-08-01,BE,25,0,14,0,42,0,0
2008-09-01,BE,26,22,35,24,0,0,0
2008-10-01,BE,27,0,0,0,0,0,0
2008-11-01,BE,19,20,0,0,21,0,0
2008-12-01,BE,18,0,0,15,42,0,0
2009-01-01,BE,21,16,0,0,0,0,0
2009-02-01,BE,20,17,0,0,0,0,0
2009-03-01,BE,21,0,0,0,0,0,0
2009-04-01,BE,41,0,0,12,0,0,0
2009-05-01,BE,32,25,0,0,0,0,0
2009-06-01,BE,38,0,11,0,24,0,0
2009-07-01,BE,48,17,0,0,22,25,0
2009-08-01,BE,42,14,0,0,0,0,0
2009-09-01,BE,35,12,0,0,0,0,0
2009-10-01,BE,37,43,0,0,22,0,0
2009-11-01,BE,33,11,0,0,0,0,0
2009-12-01,BE,28,0,10,9,0,0,0
2010-01-01,BE,39,25,9,8,0,0,0
2010-02-01,BE,41,17,9,20,0,0,0
2010-03-01,BE,41,0,0,0,0,0,0
2010-04-01,BE,60,14,0,0,17,0,0
2010-05-01,BE,45,18,0,0,0,0,0
2010-06-01,BE,44,0,0,0,32,0,0
2010-07-01,BE,50,8,0,0,0,0,0
2010-08-01,BE,33,17,0,0,0,0,9
2010-09-01,BE,27,0,0,0,0,6,0
2010-10-01,BE,25,0,14,0,0,0,9
2010-11-01,BE,24,13,0,0,29,0,0
2010-12-01,BE,17,9,12,0,17,0,10
2011-01-01,BE,22,23,14,0,0,0,0
2011-02-01,BE,23,6,0,6,0,0,7
2011-03-01,BE,25,0,0,0,0,0,0
2011-04-01,BE,29,0,0,0,27,0,0
2011-05-01,BE,27,5,0,0,0,0,0
2011-06-01,BE,30,0,0,0,0,0,0
2011-07-01,BE,35,0,0,5,0,8,0
2011-08-01,BE,29,11,14,0,0,0,0
2011-09-01,BE,28,9,5,7,21,0,0
2011-10-01,BE,30,25,5,0,0,5,7
2011-11-01,BE,26,9,0,4,0,0,0
2011-12-01,BE,22,8,10,0,0,8,0
2012-01-01,BE,22,9,0,8,0,0,0
2012-02-01,BE,24,0,4,0,0,0,0
2012-03-01,BE,25,20,5,0,0,0,6
2012-04-01,BE,31,10,0,28,0,0,0
2012-05-01,BE,29,18,5,0,0,0,0
2012-06-01,BE,32,6,0,4,31,3,0
2012-07-01,BE,38,14,25,0,0,0,0
2012-08-01,BE,32,18,0,0,0,0,9
2012-09-01,BE,33,8,0,0,0,0,0
2012-10-01,BE,30,0,8,0,0,0,0
2012-11-01,BE,27,12,0,7,0,0,0
2012-12-01,BE,22,5,0,0,0,3,0
2013-01-01,BE,23,0,8,0,21,0,0
2013-02-01,BE,24,0,0,0,0,7,14
2013-03-01,BE,27,16,0,4,0,0,0
2013-04-01,BE,28,7,12,0,25,4,0
2013-05-01,BE,31,13,0,10,0,0,0
2013-06-01,BE,35,11,0,0,0,0,12
2013-07-01,BE,45,18,13,0,0,3,0
2013-08-01,BE,38,7,6,0,12,6,0
2013-09-01,BE,33,0,0,0,0,0,0
2013-10-01,BE,35,19,6,6,0,0,0
2013-11-01,BE,27,8,0,0,0,0,0
2013-12-01,BE,23,10,0,0,0,0,8
2014-01-01,BE,24,11,0,0,0,0,0
2014-02-01,BE,25,11,6,0,10,0,0
2014-03-01,BE,30,11,0,0,0,0,0
2014-04-01,BE,40,9,4,0,0,0,0
2014-05-01,BE,34,16,11,0,0,0,10
2014-06-01,BE,35,25,5,6,0,0,0
