time,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,HR,51,49,0,0,0,0,0
2004-02-01,HR,38,45,0,0,0,0,0
2004-03-01,HR,58,0,100,0,0,0,0
2004-04-01,HR,47,0,0,0,0,0,0
2004-05-01,HR,60,25,0,0,0,76,0
2004-06-01,HR,77,69,0,0,66,0,50
2004-07-01,HR,95,100,0,0,49,0,0
2004-08-01,HR,100,24,51,0,0,0,0
2004-09-01,HR,61,0,40,0,0,0,0
2004-10-01,HR,44,62,0,0,53,0,0
2004-11-01,HR,46,26,0,0,41,0,0
2004-12-01,HR,34,0,55,0,0,0,100
2005-01-01,HR,57,0,0,0,0,0,0
2005-02-01,HR,49,0,43,38,0,0,22
2005-03-01,HR,48,15,0,0,0,71,0
2005-04-01,HR,56,36,0,61,0,0,25
2005-05-01,HR,54,50,0,0,0,0,0
2005-06-01,HR,83,29,0,0,100,44,75
2005-07-01,HR,66,99,77,0,0,0,0
2005-08-01,HR,64,31,0,71,0,0,0
2005-09-01,HR,57,24,0,75,24,0,0
2005-10-01,HR,36,0,0,0,0,0,49
2005-11-01,HR,36,0,0,0,0,0,27
2005-12-01,HR,39,20,35,0,35,0,0
2006-01-01,HR,48,0,53,0,0,0,0
2006-02-01,HR,31,27,36,0,0,0,0
2006-03-01,HR,48,28,0,0,0,0,0
2006-04-01,HR,52,29,0,0,0,100,0
2006-05-01,HR,57,42,0,34,26,39,0
2006-06-01,HR,64,36,66,100,28,0,0
2006-07-01,HR,65,42,31,0,0,0,0
2006-08-01,HR,75,35,0,0,0,59,0
2006-09-01,HR,43,32,0,0,0,0,0
2006-10-01,HR,36,18,0,0,0,0,0
2006-11-01,HR,38,15,0,0,26,0,0
2006-12-01,HR,26,19,0,0,16,0,0
2007-01-01,HR,34,0,33,0,0,0,0
2007-02-01,HR,41,0,38,0,0,21,0
2007-03-01,HR,38,46,16,0,0,20,0
2007-04-01,HR,36,59,0,0,29,0,0
2007-05-01,HR,40,31,0,0,38,0,9
2007-06-01,HR,43,41,28,0,0,0,0
2007-07-01,HR,53,37,23,0,0,0,0
2007-08-01,HR,51,30,0,0,0,0,0
2007-09-01,HR,51,27,0,0,0,0,10
2007-10-01,HR,38,31,22,0,0,29,0
2007-11-01,HR,31,20,0,0,11,0,14
2007-12-01,HR,21,0,0,0,0,0,0
2008-01-01,HR,31,11,0,0,0,17,0
2008-02-01,HR,30,26,0,0,0,0,0
2008-03-01,HR,34,0,19,12,19,0,0
2008-04-01,HR,36,21,0,0,0,0,0
2008-05-01,HR,35,26,0,91,0,0,0
2008-06-01,HR,39,34,20,0,0,0,0
2008-07-01,HR,39,34,0,0,0,0,0
2008-08-01,HR,36,26,27,0,0,26,0
2008-09-01,HR,31,14,0,0,12,13,0
2008-10-01,HR,30,14,0,9,8,0,0
2008-11-01,HR,27,7,0,0,37,22,0
2008-12-01,HR,22,5,0,0,0,0,0
2009-01-01,HR,26,23,0,0,0,0,0
2009-02-01,HR,24,23,0,0,0,18,0
2009-03-01,HR,22,28,0,0,0,20,15
2009-04-01,HR,25,29,0,0,11,0,0
2009-05-01,HR,29,45,0,0,32,0,10
2009-06-01,HR,29,30,12,0,0,0,0
2009-07-01,HR,31,55,14,34,0,0,0
2009-08-01,HR,31,24,12,0,0,0,0
2009-09-01,HR,29,26,0,0,16,0,0
2009-10-01,HR,24,18,0,0,0,0,5
2009-11-01,HR,18,7,0,9,0,11,5
2009-12-01,HR,20,11,0,0,0,0,11
2010-01-01,HR,19,12,0,0,18,0,0
2010-02-01,HR,22,20,0,0,0,0,0
2010-03-01,HR,20,14,0,0,0,0,0
