time,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,HU,84,0,0,0,0,100,0
2004-02-01,HU,33,0,0,100,0,0,0
2004-03-01,HU,68,0,100,0,0,0,0
2004-04-01,HU,100,0,97,47,0,0,0
2004-05-01,HU,0,0,83,0,0,98,0
2004-06-01,HU,97,0,0,0,0,0,0
2004-07-01,HU,60,0,0,0,0,0,0
2004-08-01,HU,30,0,0,0,0,0,0
2004-09-01,HU,18,0,32,0,75,66,0
2004-10-01,HU,57,0,0,0,0,0,0
2004-11-01,HU,41,0,0,0,0,0,0
2004-12-01,HU,0,0,0,0,0,0,0
2005-01-01,HU,20,0,0,0,0,0,35
2005-02-01,HU,23,0,0,21,0,0,0
2005-03-01,HU,13,0,0,0,0,0,0
2005-04-01,HU,0,0,0,0,0,0,100
2005-05-01,HU,28,0,0,0,0,33,0
2005-06-01,HU,28,0,26,0,0,0,35
2005-07-01,HU,66,0,0,0,0,0,0
2005-08-01,HU,49,0,0,0,0,0,0
2005-09-01,HU,38,0,0,0,0,0,0
2005-10-01,HU,17,0,16,0,0,0,0
2005-11-01,HU,19,0,0,0,0,0,0
2005-12-01,HU,25,50,0,0,0,0,31
2006-01-01,HU,25,0,0,0,60,22,0
2006-02-01,HU,38,0,0,48,0,0,0
2006-03-01,HU,33,0,0,0,0,0,33
2006-04-01,HU,14,0,0,0,0,0,0
2006-05-01,HU,14,0,0,30,100,0,0
2006-06-01,HU,33,0,0,0,0,0,0
2006-07-01,HU,31,0,15,0,0,0,0
2006-08-01,HU,24,0,0,0,66,0,0
2006-09-01,HU,14,0,0,13,0,0,0
2006-10-01,HU,23,0,0,0,0,0,0
2006-11-01,HU,22,39,0,0,0,0,0
2006-12-01,HU,27,100,0,11,44,46,0
2007-01-01,HU,21,23,0,0,0,0,0
2007-02-01,HU,25,0,0,10,69,0,50
2007-03-01,HU,16,0,0,0,0,0,0
2007-04-01,HU,28,32,45,0,0,0,0
2007-05-01,HU,19,0,0,0,0,29,23
2007-06-01,HU,23,30,15,0,0,0,33
2007-07-01,HU,40,0,0,0,0,96,0
2007-08-01,HU,26,0,0,12,0,0,0
2007-09-01,HU,28,0,0,0,0,0,0
2007-10-01,HU,26,32,0,0,0,0,0
2007-11-01,HU,15,0,0,0,0,0,0
2007-12-01,HU,14,0,0,17,0,0,62
2008-01-01,HU,22,0,0,0,36,0,0
2008-02-01,HU,22,0,0,0,0,0,17
2008-03-01,HU,26,18,0,0,0,11,16
2008-04-01,HU,19,77,8,0,0,0,23
2008-05-01,HU,18,21,0,0,0,16,0
2008-06-01,HU,22,0,8,0,0,0,0
2008-07-01,HU,22,0,13,11,0,0,16
2008-08-01,HU,34,0,0,0,0,0,20
2008-09-01,HU,21,0,0,7,0,0,11
2008-10-01,HU,22,0,0,0,25,0,26
2008-11-01,HU,19,37,0,0,27,0,15
2008-12-01,HU,11,34,0,0,0,0,0
2009-01-01,HU,15,0,0,0,0,0,0
2009-02-01,HU,16,0,0,0,39,0,0
2009-03-01,HU,14,0,0,0,0,0,0
2009-04-01,HU,15,0,0,0,0,0,0
2009-05-01,HU,18,0,0,0,0,0,0
2009-06-01,HU,20,0,11,0,22,0,0
2009-07-01,HU,22,65,11,0,0,0,19
2009-08-01,HU,17,0,0,0,0,0,0
2009-09-01,HU,16,0,0,10,0,0,0
2009-10-01,HU,16,33,0,0,0,13,0
2009-11-01,HU,12,0,21,16,0,0,0
2009-12-01,HU,16,15,0,6,42,0,0
2010-01-01,HU,16,16,0,5,19,0,0
2010-02-01,HU,17,0,0,0,0,17,0
2010-03-01,HU,17,0,0,0,0,0,0
2010-04-01,HU,25,15,0,0,0,0,0
2010-05-01,HU,15,0,0,0,0,0,0
2010-06-01,HU,17,0,0,0,0,0,0
2010-07-01,HU,22,29,0,0,0,0,11
2010-08-01,HU,13,0,0,0,0,0,0
2010-09-01,HU,17,40,0,8,24,0,0
2010-10-01,HU,14,0,9,0,0,12,0
2010-11-01,HU,16,15,0,0,41,0,0
2010-12-01,HU,13,20,0,0,0,0,11
2011-01-01,HU,20,0,0,4,0,0,0
2011-02-01,HU,18,0,9,0,0,0,0
2011-03-01,HU,22,0,0,0,9,7,0
2011-04-01,HU,22,0,0,0,0,0,10
2011-05-01,HU,23,0,6,0,12,0,0
2011-06-01,HU,23,17,0,4,0,0,14
2011-07-01,HU,21,0,0,0,0,0,0
2011-08-01,HU,23,16,0,0,0,0,0
2011-09-01,HU,26,0,0,0,0,0,0
2011-10-01,HU,21,11,0,0,0,0,0
2011-11-01,HU,20,0,0,0,0,0,0
2011-12-01,HU,16,16,0,0,0,0,15
2012-01-01,HU,16,0,0,0,9,0,0
2012-02-01,HU,20,8,0,0,0,0,0
2012-03-01,HU,19,0,9,0,0,0,0
2012-04-01,HU,19,13,0,0,14,8,0
2012-05-01,HU,16,8,0,0,0,0,0
2012-06-01,HU,20,0,0,0,0,0,0
