time,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,LV,0,0,0,0,0,39,0
2004-02-01,LV,73,100,0,33,0,0,0
2004-03-01,LV,72,0,0,0,0,0,0
2004-04-01,LV,0,0,0,0,0,29,0
2004-05-01,LV,0,0,99,0,0,100,0
2004-06-01,LV,73,0,0,0,52,0,0
2004-07-01,LV,100,0,0,100,0,0,0
2004-08-01,LV,0,0,0,0,0,0,0
2004-09-01,LV,0,0,0,0,0,0,0
2004-10-01,LV,0,25,0,0,0,0,51
2004-11-01,LV,0,0,0,0,0,0,0
2004-12-01,LV,0,0,88,0,0,0,66
2005-01-01,LV,49,0,0,0,46,0,0
2005-02-01,LV,0,25,0,38,0,37,0
2005-03-01,LV,0,0,69,0,0,21,0
2005-04-01,LV,21,0,0,0,0,19,65
2005-05-01,LV,53,19,0,0,0,0,0
2005-06-01,LV,38,0,100,0,0,0,0
2005-07-01,LV,0,0,0,0,0,41,0
2005-08-01,LV,0,22,0,0,0,0,0
2005-09-01,LV,0,0,0,0,100,0,0
2005-10-01,LV,30,0,0,75,0,0,0
2005-11-01,LV,0,0,0,0,0,0,61
2005-12-01,LV,13,0,47,0,0,0,0
2006-01-01,LV,29,0,0,0,0,0,0
2006-02-01,LV,0,0,0,0,0,0,0
2006-03-01,LV,27,24,0,0,0,0,0
2006-04-01,LV,0,0,0,0,0,0,0
2006-05-01,LV,0,0,0,0,25,0,0
2006-06-01,LV,0,15,0,0,30,0,0
2006-07-01,LV,41,12,23,19,18,0,54
2006-08-01,LV,25,0,0,0,24,19,71
2006-09-01,LV,13,0,0,34,0,0,0
2006-10-01,LV,56,0,0,0,0,0,0
2006-11-01,LV,13,0,0,0,0,0,0
2006-12-01,LV,7,0,0,0,24,0,0
2007-01-01,LV,25,0,0,0,0,0,0
2007-02-01,LV,18,0,0,0,20,0,0
2007-03-01,LV,20,0,0,16,41,9,0
2007-04-01,LV,15,0,25,0,0,0,100
2007-05-01,LV,42,0,20,0,0,0,0
2007-06-01,LV,24,0,0,0,0,0,0
2007-07-01,LV,24,0,13,0,0,28,0
2007-08-01,LV,11,0,0,0,0,0,20
2007-09-01,LV,21,0,0,0,0,0,0
2007-10-01,LV,19,10,30,0,0,0,0
2007-11-01,LV,28,0,0,22,0,0,0
2007-12-01,LV,7,0,19,0,0,0,0
2008-01-01,LV,21,0,14,0,0,0,0
2008-02-01,LV,22,0,0,0,0,0,0
2008-03-01,LV,14,0,30,22,0,0,0
2008-04-01,LV,9,8,0,0,0,0,0
2008-05-01,LV,18,0,0,0,0,0,12
2008-06-01,LV,12,0,0,0,0,10,26
2008-07-01,LV,15,10,14,10,21,0,0
2008-08-01,LV,18,0,0,0,8,31,0
2008-09-01,LV,12,0,0,0,0,0,0
2008-10-01,LV,19,7,0,6,0,0,0
2008-11-01,LV,6,0,0,7,0,0,0
2008-12-01,LV,15,0,23,0,0,6,0
2009-01-01,LV,21,12,0,0,0,0,0
2009-02-01,LV,16,0,0,0,0,0,0
2009-03-01,LV,17,0,0,0,0,15,13
2009-04-01,LV,20,0,0,0,0,0,0
2009-05-01,LV,13,0,0,0,0,0,0
2009-06-01,LV,22,18,0,0,19,0,0
2009-07-01,LV,18,0,0,0,8,9,0
2009-08-01,LV,34,0,0,0,0,0,19
2009-09-01,LV,9,0,0,0,8,0,0
2009-10-01,LV,15,0,0,0,0,0,0
2009-11-01,LV,25,7,8,8,0,0,15
2009-12-01,LV,15,0,0,30,0,0,0
2010-01-01,LV,14,0,0,0,0,0,0
2010-02-01,LV,10,6,0,12,0,0,0
2010-03-01,LV,4,7,0,0,10,5,0
2010-04-01,LV,20,0,0,0,0,0,0
2010-05-01,LV,22,5,0,0,0,0,14
2010-06-01,LV,26,5,0,0,0,0,0
2010-07-01,LV,15,8,0,0,0,0,0
2010-08-01,LV,13,21,0,0,0,0,0
2010-09-01,LV,13,0,0,0,0,0,19
2010-10-01,LV,0,0,0,7,0,0,17
2010-11-01,LV,9,0,0,0,0,0,0
2010-12-01,LV,18,0,11,0,11,0,0
2011-01-01,LV,14,0,0,0,0,0,0
2011-02-01,LV,10,0,8,0,0,4,10
2011-03-01,LV,7,0,0,0,0,0,36
2011-04-01,LV,12,7,0,0,0,0,7
2011-05-01,LV,12,0,10,0,0,0,0
2011-06-01,LV,8,0,0,0,0,0,0
2011-07-01,LV,14,0,6,0,0,0,0
2011-08-01,LV,12,5,0,0,4,0,0
2011-09-01,LV,8,0,0,0,0,0,0
2011-10-01,LV,9,3,0,0,0,0,0
2011-11-01,LV,10,0,0,0,0,0,0
2011-12-01,LV,13,0,0,3,0,0,13
2012-01-01,LV,13,0,0,0,0,0,0
2012-02-01,LV,9,5,0,0,0,0,0
2012-03-01,LV,11,0,0,0,0,3,0
2012-04-01,LV,13,0,7,0,4,0,0
2012-05-01,LV,14,0,0,0,0,2,0
2012-06-01,LV,11,0,0,0,0,0,0
2012-07-01,LV,18,6,0,0,0,0,0
2012-08-01,LV,14,0,0,0,0,0,0
2012-09-01,LV,7,4,0,0,0,0,0
2012-10-01,LV,13,0,0,0,0,0,7
2012-11-01,LV,7,0,4,0,0,0,0
2012-12-01,LV,12,5,0,0,0,0,7
2013-01-01,LV,12,0,5,0,0,7,0
2013-02-01,LV,5,0,4,0,0,0,0
2013-03-01,LV,9,0,0,0,0,14,8
2013-04-01,LV,12,0,0,0,0,0,0
2013-05-01,LV,14,5,10,0,0,0,0
2013-06-01,LV,12,0,0,0,0,0,0
2013-07-01,LV,14,4,0,7,4,0,6
2013-08-01,LV,11,6,0,3,0,0,0
2013-09-01,LV,10,0,0,0,5,0,0
2013-10-01,LV,8,3,0,0,0,3,7
2013-11-01,LV,4,0,0,0,0,0,0
2013-12-01,LV,7,0,0,0,0,0,0
2014-01-01,LV,8,0,0,0,0,0,0
2014-02-01,LV,9,3,0,0,0,0,0
2014-03-01,LV,10,2,0,0,0,0,0
2014-04-01,LV,13,6,9,0,0,0,0
2014-05-01,LV,9,0,0,0,0,0,0
2014-06-01,LV,14,5,0,0,4,0,0
2014-07-01,LV,13,3,0,0,0,0,0
2014-08-01,LV,14,0,0,0,0,4,0
2014-09-01,LV,16,0,8,0,0,0,0
2014-10-01,LV,14,2,0,2,4,0,0
2014-11-01,LV,9,5,6,0,0,0,0
2014-12-01,LV,9,0,0,0,0,0,0
2015-01-01,LV,12,0,0,0,0,0,0
2015-02-01,LV,8,0,0,0,0,0,0
2015-03-01,LV,7,0,0,0,0,0,0
2015-04-01,LV,13,0,4,0,0,0,0
2015-05-01,LV,10,3,0,0,0,0,0
2015-06-01,LV,14,2,5,0,0,0,0
2015-07-01,LV,11,0,0,0,0,0,13
2015-08-01,LV,11,10,0,0,6,0,5
2015-09-01,LV,14,0,0,0,0,2,11
2015-10-01,LV,8,0,0,0,0,0,0
2015-11-01,LV,12,2,0,5,4,4,0
2015-12-01,LV,9,0,5,0,0,0,7
2016-01-01,LV,9,3,0,0,0,0,0
2016-02-01,LV,12,2,0,0,0,0,0
2016-03-01,LV,12,0,0,0,0,0,8
2016-04-01,LV,12,0,0,0,0,2,0
2016-05-01,LV,12,0,0,0,0,0,0
2016-06-01,LV,12,9,0,10,0,0,0
2016-07-01,LV,15,0,4,0,3,0,0
2016-08-01,LV,12,6,0,0,3,0,0
2016-09-01,LV,11,0,5,0,0,0,0
2016-10-01,LV,9,6,4,0,0,0,0
2016-11-01,LV,8,0,0,0,0,0,0
2016-12-01,LV,10,0,0,0,0,0,0
2017-01-01,LV,6,0,0,0,0,0,0
2017-02-01,LV,8,0,0,0,3,0,7
2017-03-01,LV,10,0,0,0,0,0,0
2017-04-01,LV,14,3,0,0,0,0,0
2017-05-01,LV,9,0,0,0,0,3,0
2017-06-01,LV,11,2,4,0,0,0,0
2017-07-01,LV,19,0,0,0,0,5,0
2017-08-01,LV,11,0,0,0,0,0,0
2017-09-01,LV,10,0,0,0,0,0,0
2017-10-01,LV,12,0,0,0,0,0,11
2017-11-01,LV,15,2,0,0,0,0,4
2017-12-01,LV,8,0,4,0,0,0,0
2018-01-01,LV,9,3,0,0,0,0,0
2018-02-01,LV,10,0,0,3,0,0,11
2018-03-01,LV,6,3,0,4,0,0,3
2018-04-01,LV,12,0,4,0,0,0,9
2018-05-01,LV,13,0,0,3,0,7,6
2018-06-01,LV,13,3,0,0,0,0,0
2018-07-01,LV,16,10,0,0,4,0,0
2018-08-01,LV,14,0,0,0,0,0,0
2018-09-01,LV,14,4,7,0,0,0,0
2018-10-01,LV,13,3,0,3,0,5,0
2018-11-01,LV,15,2,0,0,0,0,0
2018-12-01,LV,9,0,0,0,0,0,0
2019-01-01,LV,9,0,0,0,0,0,0
2019-02-01,LV,6,3,0,0,4,0,6
2019-03-01,LV,11,0,0,3,0,10,3
2019-04-01,LV,11,0,0,0,0,2,0
2019-05-01,LV,14,0,0,2,0,0,0
2019-06-01,LV,11,0,0,0,2,5,0
2019-07-01,LV,12,0,0,0,0,0,0
2019-08-01,LV,17,0,0,0,0,0,0
2019-09-01,LV,12,0,0,0,0,0,9
2019-10-01,LV,10,0,9,2,0,0,0
2019-11-01,LV,10,3,0,0,0,0,0
2019-12-01,LV,10,0,0,0,0,0,0
2020-01-01,LV,9,0,0,0,4,4,0
2020-02-01,LV,10,0,3,2,0,0,0
2020-03-01,LV,7,0,0,0,0,0,0
2020-04-01,LV,6,0,0,3,0,0,6
2020-05-01,LV,9,0,0,2,3,0,0
2020-06-01,LV,11,0,0,0,0,0,0
2020-07-01,LV,11,5,0,0,0,4,5
2020-08-01,LV,11,0,0,0,0,0,0
2020-09-01,LV,11,2,0,0,0,0,0
2020-10-01,LV,6,0,0,0,0,0,0
2020-11-01,LV,6,0,0,0,4,0,0
2020-12-01,LV,7,0,0,0,0,0,0
2021-01-01,LV,5,0,0,0,0,0,11
2021-02-01,LV,8,0,0,0,5,0,0
2021-03-01,LV,7,0,0,0,0,0,5
2021-04-01,LV,8,0,4,0,0,0,0
2021-05-01,LV,9,0,7,0,0,0,5
2021-06-01,LV,11,0,0,0,0,5,5
2021-07-01,LV,13,0,0,0,0,0,0
2021-08-01,LV,13,0,0,4,0,0,0
2021-09-01,LV,15,4,3,0,3,0,0
2021-10-01,LV,13,0,3,0,0,0,10
2021-11-01,LV,9,0,0,0,0,0,0
2021-12-01,LV,11,2,0,9,0,0,0
