time,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,PT,41,42,45,0,0,0,0
2004-02-01,PT,41,72,0,0,0,0,69
2004-03-01,PT,54,21,0,0,0,0,0
2004-04-01,PT,46,59,35,0,0,0,54
2004-05-01,PT,64,65,0,0,0,0,100
2004-06-01,PT,62,76,36,0,0,0,0
2004-07-01,PT,84,57,0,0,0,0,0
2004-08-01,PT,86,35,0,0,0,0,0
2004-09-01,PT,49,31,0,55,0,0,0
2004-10-01,PT,52,31,0,100,0,0,0
2004-11-01,PT,43,36,0,74,0,0,0
2004-12-01,PT,34,16,60,0,0,100,0
2005-01-01,PT,40,20,17,0,0,0,0
2005-02-01,PT,54,42,0,0,0,0,0
2005-03-01,PT,53,44,19,0,0,0,86
2005-04-01,PT,48,68,0,0,0,0,0
2005-05-01,PT,49,44,0,0,0,0,43
2005-06-01,PT,59,39,0,48,0,0,0
2005-07-01,PT,57,55,31,86,0,0,0
2005-08-01,PT,71,52,20,0,0,78,0
2005-09-01,PT,39,30,0,0,0,0,0
2005-10-01,PT,42,27,20,0,0,0,0
2005-11-01,PT,41,39,44,33,0,0,0
2005-12-01,PT,31,31,23,0,0,0,23
2006-01-01,PT,39,48,0,0,0,0,0
2006-02-01,PT,35,39,0,90,0,0,0
2006-03-01,PT,40,26,0,0,68,73,37
2006-04-01,PT,46,30,100,45,0,80,0
2006-05-01,PT,42,25,15,68,0,0,0
2006-06-01,PT,43,40,0,55,0,47,0
2006-07-01,PT,52,65,0,0,0,0,52
2006-08-01,PT,63,32,0,0,100,72,0
2006-09-01,PT,36,29,0,0,0,0,32
2006-10-01,PT,32,30,0,53,37,0,0
2006-11-01,PT,30,16,0,46,0,0,0
2006-12-01,PT,36,27,0,0,0,0,0
2007-01-01,PT,46,28,0,0,0,29,0
2007-02-01,PT,46,38,0,0,0,0,14
2007-03-01,PT,44,36,13,46,0,0,0
2007-04-01,PT,41,44,12,0,0,0,0
2007-05-01,PT,35,36,0,0,0,22,0
2007-06-01,PT,43,47,14,18,0,0,0
2007-07-01,PT,57,34,0,19,0,0,0
2007-08-01,PT,53,39,12,50,0,0,0
2007-09-01,PT,31,30,10,21,0,0,0
2007-10-01,PT,32,25,0,15,0,0,27
2007-11-01,PT,26,21,0,0,0,0,8
2007-12-01,PT,26,32,0,0,56,21,0
2008-01-01,PT,27,41,8,23,60,0,15
2008-02-01,PT,29,36,11,20,0,0,0
2008-03-01,PT,29,44,0,0,0,38,11
2008-04-01,PT,32,45,19,50,0,33,11
2008-05-01,PT,29,39,7,0,0,0,0
2008-06-01,PT,32,52,10,0,46,0,0
2008-07-01,PT,43,60,0,28,59,0,0
2008-08-01,PT,48,33,0,0,37,0,0
2008-09-01,PT,29,34,8,0,37,22,0
2008-10-01,PT,26,25,6,0,0,0,9
2008-11-01,PT,26,29,0,0,0,0,0
2008-12-01,PT,24,26,0,0,0,0,0
2009-01-01,PT,29,37,5,0,0,0,10
2009-02-01,PT,34,33,0,0,47,0,0
2009-03-01,PT,41,39,11,28,0,12,0
2009-04-01,PT,43,43,0,0,0,0,0
2009-05-01,PT,46,49,0,0,0,22,9
2009-06-01,PT,50,42,16,35,22,0,0
2009-07-01,PT,53,56,0,41,27,0,0
2009-08-01,PT,69,42,13,13,0,14,12
2009-09-01,PT,46,46,0,29,0,0,0
2009-10-01,PT,42,54,11,0,0,0,0
2009-11-01,PT,43,31,0,0,0,0,0
2009-12-01,PT,41,37,8,12,37,0,8
2010-01-01,PT,50,55,0,17,0,18,7
2010-02-01,PT,50,59,5,17,64,17,0
2010-03-01,PT,54,56,0,53,0,0,11
2010-04-01,PT,59,63,0,58,0,0,8
2010-05-01,PT,58,61,9,15,23,0,0
2010-06-01,PT,61,49,8,0,0,0,0
2010-07-01,PT,66,68,6,27,0,14,13
2010-08-01,PT,66,36,10,0,51,13,11
2010-09-01,PT,50,46,12,47,0,0,0
2010-10-01,PT,37,40,0,0,0,25,0
2010-11-01,PT,33,29,0,0,0,0,0
2010-12-01,PT,30,35,0,0,0,0,0
2011-01-01,PT,37,47,16,0,34,0,10
2011-02-01,PT,37,45,0,0,0,11,0
2011-03-01,PT,34,34,5,27,12,0,8
2011-04-01,PT,37,40,10,0,0,0,6
2011-05-01,PT,38,43,12,0,30,0,0
2011-06-01,PT,47,45,4,26,0,0,0
2011-07-01,PT,54,55,5,27,44,12,0
2011-08-01,PT,62,45,4,0,0,18,5
2011-09-01,PT,37,33,10,8,0,0,0
2011-10-01,PT,32,38,0,12,0,19,6
2011-11-01,PT,26,26,4,0,0,0,0
2011-12-01,PT,22,27,6,14,17,0,0
2012-01-01,PT,28,39,4,20,14,8,10
2012-02-01,PT,28,35,5,22,0,8,8
2012-03-01,PT,27,43,4,9,0,0,8
2012-04-01,PT,28,40,7,38,0,10,0
2012-05-01,PT,34,55,11,26,0,0,6
