time,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,SI,0,76,0,0,0,0,49
2004-02-01,SI,0,0,30,0,100,100,0
2004-03-01,SI,0,0,0,0,0,0,0
2004-04-01,SI,74,57,0,0,0,0,0
2004-05-01,SI,40,0,0,0,0,0,0
2004-06-01,SI,0,0,0,0,0,29,45
2004-07-01,SI,51,0,0,0,0,0,100
2004-08-01,SI,28,0,0,0,0,0,0
2004-09-01,SI,0,0,0,0,48,0,0
2004-10-01,SI,52,0,52,0,0,0,0
2004-11-01,SI,25,0,0,0,0,0,0
2004-12-01,SI,30,0,0,0,0,31,0
2005-01-01,SI,0,100,0,43,0,0,52
2005-02-01,SI,100,0,0,0,0,35,0
2005-03-01,SI,0,0,0,0,0,0,0
2005-04-01,SI,0,0,0,0,64,0,0
2005-05-01,SI,34,0,0,0,0,0,38
2005-06-01,SI,0,0,0,62,0,0,0
2005-07-01,SI,0,0,0,0,0,19,0
2005-08-01,SI,17,86,100,0,0,0,0
2005-09-01,SI,33,0,0,0,0,0,0
2005-10-01,SI,0,0,74,0,0,0,0
2005-11-01,SI,0,0,0,0,72,0,0
2005-12-01,SI,0,0,0,0,0,0,0
2006-01-01,SI,9,55,0,0,0,0,0
2006-02-01,SI,0,0,0,0,0,0,0
2006-03-01,SI,17,0,0,0,0,0,13
2006-04-01,SI,11,0,0,0,0,0,0
2006-05-01,SI,0,61,18,0,0,0,26
2006-06-01,SI,0,0,0,100,0,19,0
2006-07-01,SI,17,0,0,0,0,0,0
2006-08-01,SI,15,39,0,0,0,0,14
2006-09-01,SI,12,80,0,21,59,0,0
2006-10-01,SI,0,0,0,0,0,14,0
2006-11-01,SI,0,0,0,0,0,0,0
2006-12-01,SI,7,0,0,0,0,11,8
2007-01-01,SI,11,0,25,0,56,0,0
2007-02-01,SI,27,0,0,0,0,0,0
2007-03-01,SI,17,0,0,0,29,0,0
2007-04-01,SI,20,0,0,0,0,0,16
2007-05-01,SI,10,0,0,0,0,0,0
2007-06-01,SI,17,0,0,0,0,19,0
2007-07-01,SI,20,0,0,0,0,0,14
2007-08-01,SI,15,0,0,13,0,0,0
2007-09-01,SI,9,0,0,0,0,0,0
2007-10-01,SI,17,0,0,0,0,0,0
2007-11-01,SI,5,0,0,0,0,0,7
2007-12-01,SI,7,0,7,0,0,0,0
2008-01-01,SI,7,0,0,0,0,0,0
2008-02-01,SI,8,32,0,0,0,0,0
2008-03-01,SI,9,0,0,0,0,0,0
2008-04-01,SI,27,14,0,0,17,0,6
2008-05-01,SI,15,0,0,20,0,0,0
2008-06-01,SI,10,0,0,0,19,0,0
2008-07-01,SI,10,0,0,0,0,0,0
2008-08-01,SI,17,0,0,14,0,0,0
2008-09-01,SI,11,0,0,0,14,0,0
2008-10-01,SI,11,0,0,0,0,0,0
2008-11-01,SI,3,16,0,0,0,0,0
2008-12-01,SI,0,12,18,0,18,0,0
2009-01-01,SI,9,0,0,0,0,0,0
2009-02-01,SI,14,0,5,0,0,0,0
2009-03-01,SI,5,0,0,0,0,0,0
2009-04-01,SI,8,0,0,0,0,0,5
2009-05-01,SI,10,0,0,0,0,0,0
2009-06-01,SI,15,0,0,0,0,7,0
2009-07-01,SI,8,14,0,0,0,0,0
2009-08-01,SI,12,0,0,0,0,0,0
2009-09-01,SI,10,12,0,0,0,0,0
2009-10-01,SI,17,0,0,0,0,11,5
2009-11-01,SI,6,0,5,7,0,0,0
2009-12-01,SI,16,9,0,0,0,0,0
2010-01-01,SI,7,18,0,0,8,0,0
2010-02-01,SI,8,0,0,0,0,0,0
2010-03-01,SI,3,0,0,0,0,6,0
2010-04-01,SI,12,0,0,0,0,0,9
2010-05-01,SI,9,0,7,15,18,0,0
2010-06-01,SI,11,0,0,0,0,0,0
2010-07-01,SI,12,9,0,11,0,0,5
2010-08-01,SI,18,11,0,0,0,0,0
2010-09-01,SI,11,0,8,0,0,0,10
2010-10-01,SI,7,0,5,0,8,0,0
2010-11-01,SI,4,0,0,7,0,0,0
2010-12-01,SI,7,12,5,7,0,0,4
2011-01-01,SI,4,0,0,0,0,7,0
2011-02-01,SI,10,0,6,0,0,5,0
2011-03-01,SI,2,0,6,0,0,4,0
2011-04-01,SI,2,0,0,9,0,0,0
2011-05-01,SI,8,10,3,0,0,0,0
2011-06-01,SI,12,9,0,0,0,0,0
2011-07-01,SI,13,0,0,0,0,0,0
2011-08-01,SI,14,0,0,0,0,0,4
2011-09-01,SI,9,0,5,0,15,0,0
2011-10-01,SI,7,0,0,0,0,0,0
2011-11-01,SI,4,11,4,0,0,0,0
2011-12-01,SI,8,0,0,0,0,0,0
2012-01-01,SI,9,6,0,10,13,0,0
2012-02-01,SI,10,6,4,0,0,0,0
2012-03-01,SI,5,0,0,0,0,0,0
2012-04-01,SI,12,0,0,0,0,0,0
2012-05-01,SI,13,0,0,0,0,0,0
2012-06-01,SI,9,0,0,4,0,12,0
2012-07-01,SI,18,0,4,7,0,0,0
2012-08-01,SI,13,0,0,0,0,0,3
2012-09-01,SI,16,0,0,0,0,0,0
2012-10-01,SI,0,0,0,0,8,0,4
2012-11-01,SI,10,6,0,10,0,0,0
2012-12-01,SI,9,0,3,0,4,4,2
2013-01-01,SI,10,0,0,0,0,4,0
2013-02-01,SI,10,0,0,0,0,4,0
2013-03-01,SI,7,6,0,0,0,0,0
2013-04-01,SI,12,10,0,0,0,0,0
2013-05-01,SI,11,0,0,0,0,0,0
2013-06-01,SI,17,0,0,6,0,0,0
2013-07-01,SI,18,9,0,0,0,0,0
2013-08-01,SI,17,0,0,0,0,0,0
2013-09-01,SI,16,6,6,12,0,0,0
