date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,AT,63,66,41,62
2004-02-01,AT,64,69,41,51
2004-03-01,AT,71,71,49,57
2004-04-01,AT,63,72,45,55
2004-05-01,AT,64,67,41,45
2004-06-01,AT,68,70,50,59
2004-07-01,AT,58,67,50,53
2004-08-01,AT,55,63,42,53
2004-09-01,AT,65,69,46,46
2004-10-01,AT,69,71,43,44
2004-11-01,AT,74,81,48,61
2004-12-01,AT,77,68,50,46
2005-01-01,AT,71,65,46,53
2005-02-01,AT,70,68,44,55
2005-03-01,AT,66,65,55,43
2005-04-01,AT,67,73,49,55
2005-05-01,AT,63,72,48,60
2005-06-01,AT,68,73,42,53
2005-07-01,AT,63,66,45,49
2005-08-01,AT,64,75,45,55
2005-09-01,AT,62,58,50,42
2005-10-01,AT,66,63,48,41
2005-11-01,AT,76,73,61,48
2005-12-01,AT,77,70,65,43
2006-01-01,AT,62,64,57,52
2006-02-01,AT,61,67,49,51
2006-03-01,AT,64,69,53,57
2006-04-01,AT,61,62,46,43
2006-05-01,AT,65,74,48,49
2006-06-01,AT,60,67,47,44
2006-07-01,AT,58,66,46,42
2006-08-01,AT,60,70,43,48
2006-09-01,AT,61,65,48,45
2006-10-01,AT,65,68,43,46
2006-11-01,AT,66,74,51,50
2006-12-01,AT,69,66,53,48
2007-01-01,AT,62,63,47,49
2007-02-01,AT,62,66,50,47
2007-03-01,AT,65,68,47,48
2007-04-01,AT,55,65,46,48
2007-05-01,AT,64,64,46,49
2007-06-01,AT,59,62,44,49
2007-07-01,AT,53,62,43,48
2007-08-01,AT,56,62,44,44
2007-09-01,AT,58,63,47,47
2007-10-01,AT,62,64,46,45
2007-11-01,AT,66,66,52,47
2007-12-01,AT,62,59,58,45
2008-01-01,AT,57,56,47,43
2008-02-01,AT,56,59,46,46
2008-03-01,AT,57,57,48,46
2008-04-01,AT,55,64,49,56
2008-05-01,AT,56,60,47,48
2008-06-01,AT,53,56,47,47
2008-07-01,AT,52,55,45,45
2008-08-01,AT,54,56,46,43
2008-09-01,AT,53,58,46,43
2008-10-01,AT,55,53,48,42
2008-11-01,AT,59,65,52,45
2008-12-01,AT,57,51,56,44
2009-01-01,AT,51,54,46,43
2009-02-01,AT,54,58,48,49
2009-03-01,AT,51,54,46,45
2009-04-01,AT,48,50,43,37
2009-05-01,AT,50,46,41,42
2009-06-01,AT,48,51,39,39
2009-07-01,AT,45,47,40,38
2009-08-01,AT,46,48,40,40
2009-09-01,AT,47,51,42,40
2009-10-01,AT,50,50,41,41
2009-11-01,AT,54,47,42,38
2009-12-01,AT,49,45,49,39
2010-01-01,AT,44,45,38,44
2010-02-01,AT,46,49,39,38
2010-03-01,AT,45,44,42,43
2010-04-01,AT,42,43,38,35
2010-05-01,AT,43,45,36,44
2010-06-01,AT,42,38,36,35
2010-07-01,AT,37,41,34,36
2010-08-01,AT,40,40,33,37
2010-09-01,AT,41,37,35,35
2010-10-01,AT,41,42,34,38
2010-11-01,AT,44,43,37,40
2010-12-01,AT,44,40,43,42
2011-01-01,AT,50,52,43,52
2011-02-01,AT,52,46,44,49
2011-03-01,AT,53,52,44,48
2011-04-01,AT,51,48,43,47
2011-05-01,AT,54,57,42,58
2011-06-01,AT,50,52,44,55
2011-07-01,AT,52,54,44,49
2011-08-01,AT,50,51,42,46
2011-09-01,AT,49,52,39,49
2011-10-01,AT,56,56,40,52
2011-11-01,AT,58,61,46,57
2011-12-01,AT,62,59,52,54
2012-01-01,AT,59,59,41,58
2012-02-01,AT,55,57,44,55
2012-03-01,AT,52,56,43,50
2012-04-01,AT,54,60,45,54
2012-05-01,AT,53,59,43,59
2012-06-01,AT,52,58,47,60
2012-07-01,AT,53,59,50,58
2012-08-01,AT,54,60,44,58
2012-09-01,AT,57,60,40,69
2012-10-01,AT,57,61,45,56
2012-11-01,AT,58,59,42,57
2012-12-01,AT,63,62,55,63
2013-01-01,AT,58,58,43,60
2013-02-01,AT,60,61,45,62
2013-03-01,AT,61,57,50,58
2013-04-01,AT,56,56,42,69
2013-05-01,AT,57,59,45,58
2013-06-01,AT,55,60,45,59
2013-07-01,AT,57,59,43,53
2013-08-01,AT,57,60,44,61
2013-09-01,AT,57,55,42,56
2013-10-01,AT,62,59,46,56
2013-11-01,AT,60,56,45,57
2013-12-01,AT,66,55,59,55
2014-01-01,AT,61,60,47,63
2014-02-01,AT,61,60,44,62
2014-03-01,AT,57,56,49,56
2014-04-01,AT,61,56,50,53
2014-05-01,AT,64,60,45,58
2014-06-01,AT,58,55,50,60
2014-07-01,AT,58,57,49,54
2014-08-01,AT,63,60,47,54
2014-09-01,AT,61,56,49,55
2014-10-01,AT,63,60,49,57
2014-11-01,AT,65,59,52,55
2014-12-01,AT,71,61,67,55
2015-01-01,AT,63,58,51,58
2015-02-01,AT,62,59,49,58
2015-03-01,AT,64,58,53,61
2015-04-01,AT,63,58,53,55
2015-05-01,AT,67,59,53,58
2015-06-01,AT,62,58,60,55
2015-07-01,AT,58,62,60,57
2015-08-01,AT,59,60,56,56
2015-09-01,AT,62,60,53,55
2015-10-01,AT,64,63,55,56
2015-11-01,AT,68,62,58,57
2015-12-01,AT,74,60,77,54
2016-01-01,AT,66,62,50,66
2016-02-01,AT,66,68,53,59
2016-03-01,AT,65,63,53,60
2016-04-01,AT,63,58,53,58
2016-05-01,AT,61,65,52,58
2016-06-01,AT,62,62,55,58
2016-07-01,AT,58,68,56,60
2016-08-01,AT,61,64,51,58
2016-09-01,AT,64,65,53,64
2016-10-01,AT,67,71,59,63
2016-11-01,AT,67,63,53,64
2016-12-01,AT,72,65,73,69
2017-01-01,AT,63,65,55,71
2017-02-01,AT,64,67,52,63
2017-03-01,AT,65,67,53,69
2017-04-01,AT,67,66,61,64
2017-05-01,AT,67,67,58,64
2017-06-01,AT,67,72,65,69
2017-07-01,AT,69,74,61,69
2017-08-01,AT,68,77,63,68
2017-09-01,AT,74,73,63,68
2017-10-01,AT,73,78,64,74
2017-11-01,AT,76,73,64,67
2017-12-01,AT,80,78,81,83
2018-01-01,AT,70,76,61,83
2018-02-01,AT,72,78,59,74
2018-03-01,AT,75,82,66,85
2018-04-01,AT,68,72,61,72
2018-05-01,AT,72,78,66,79
2018-06-01,AT,70,77,67,75
2018-07-01,AT,72,85,68,82
2018-08-01,AT,72,85,70,86
2018-09-01,AT,73,80,59,83
2018-10-01,AT,77,80,62,83
2018-11-01,AT,76,78,62,74
2018-12-01,AT,88,81,97,85
2019-01-01,AT,72,78,60,84
2019-02-01,AT,74,83,64,86
2019-03-01,AT,75,86,68,92
2019-04-01,AT,77,81,72,87
2019-05-01,AT,75,86,69,89
2019-06-01,AT,73,86,75,83
2019-07-01,AT,77,94,77,88
2019-08-01,AT,77,94,71,90
2019-09-01,AT,76,83,68,81
2019-10-01,AT,79,86,68,81
2019-11-01,AT,81,86,69,83
2019-12-01,AT,91,88,94,91
2020-01-01,AT,82,87,67,92
2020-02-01,AT,80,89,70,87
2020-03-01,AT,84,64,90,81
2020-04-01,AT,98,63,81,100
2020-05-01,AT,90,74,72,84
2020-06-01,AT,88,85,74,83
2020-07-01,AT,85,92,78,85
2020-08-01,AT,84,97,76,88
2020-09-01,AT,83,85,67,79
2020-10-01,AT,84,74,67,78
2020-11-01,AT,90,66,72,83
2020-12-01,AT,100,62,100,83
2021-01-01,AT,84,61,76,82
2021-02-01,AT,83,62,69,77
2021-03-01,AT,83,59,71,75
2021-04-01,AT,81,62,77,76
2021-05-01,AT,84,81,71,85
2021-06-01,AT,74,84,71,78
2021-07-01,AT,78,98,75,85
2021-08-01,AT,77,100,68,87
2021-09-01,AT,79,89,65,77
2021-10-01,AT,80,89,63,81
2021-11-01,AT,80,72,68,69
2021-12-01,AT,84,70,83,71
2022-01-01,AT,84,76,63,79
2022-02-01,AT,78,81,62,82
2022-03-01,AT,75,72,63,73
2022-04-01,AT,77,83,67,79
2022-05-01,AT,71,80,64,73
2022-06-01,AT,71,81,66,75
2022-07-01,AT,75,88,70,82
2022-08-01,AT,77,85,66,78
2022-09-01,AT,75,73,63,70
2022-10-01,AT,77,78,66,64
