date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,BE,77,74,54,40
2004-02-01,BE,80,87,50,51
2004-03-01,BE,71,75,52,43
2004-04-01,BE,73,77,53,57
2004-05-01,BE,78,79,57,53
2004-06-01,BE,71,71,58,40
2004-07-01,BE,68,80,49,46
2004-08-01,BE,76,74,54,46
2004-09-01,BE,78,79,60,43
2004-10-01,BE,90,78,73,46
2004-11-01,BE,91,89,83,51
2004-12-01,BE,99,81,100,51
2005-01-01,BE,83,89,73,51
2005-02-01,BE,88,100,65,59
2005-03-01,BE,79,83,83,58
2005-04-01,BE,81,81,77,56
2005-05-01,BE,81,81,70,51
2005-06-01,BE,75,82,74,48
2005-07-01,BE,70,81,63,53
2005-08-01,BE,80,86,64,54
2005-09-01,BE,73,79,68,48
2005-10-01,BE,84,81,76,45
2005-11-01,BE,87,87,83,57
2005-12-01,BE,100,88,84,51
2006-01-01,BE,78,79,69,49
2006-02-01,BE,80,87,69,48
2006-03-01,BE,77,82,74,53
2006-04-01,BE,84,83,71,51
2006-05-01,BE,78,78,72,48
2006-06-01,BE,73,75,68,45
2006-07-01,BE,66,81,68,46
2006-08-01,BE,78,87,75,53
2006-09-01,BE,72,79,71,46
2006-10-01,BE,81,79,74,47
2006-11-01,BE,87,91,83,54
2006-12-01,BE,96,85,89,50
2007-01-01,BE,73,75,70,51
2007-02-01,BE,78,82,73,49
2007-03-01,BE,72,73,69,46
2007-04-01,BE,68,71,70,46
2007-05-01,BE,72,68,71,46
2007-06-01,BE,72,70,67,47
2007-07-01,BE,67,73,64,44
2007-08-01,BE,68,76,63,52
2007-09-01,BE,72,68,70,48
2007-10-01,BE,70,66,63,48
2007-11-01,BE,73,72,68,49
2007-12-01,BE,80,70,70,51
2008-01-01,BE,65,67,56,40
2008-02-01,BE,66,75,59,44
2008-03-01,BE,64,65,55,44
2008-04-01,BE,63,63,57,41
2008-05-01,BE,62,61,59,41
2008-06-01,BE,59,64,51,43
2008-07-01,BE,54,53,52,38
2008-08-01,BE,60,59,55,45
2008-09-01,BE,55,60,53,40
2008-10-01,BE,59,63,50,43
