date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,CY,14,4,8,0
2004-02-01,CY,14,15,0,0
2004-03-01,CY,12,6,0,30
2004-04-01,CY,10,6,33,16
2004-05-01,CY,77,75,65,82
2004-06-01,CY,85,74,78,81
2004-07-01,CY,84,100,58,66
2004-08-01,CY,77,71,82,30
2004-09-01,CY,79,70,78,53
2004-10-01,CY,77,76,66,47
2004-11-01,CY,77,79,59,57
2004-12-01,CY,100,67,100,49
2005-01-01,CY,91,86,72,67
2005-02-01,CY,79,74,64,57
2005-03-01,CY,89,72,84,73
2005-04-01,CY,66,59,93,39
2005-05-01,CY,75,81,79,54
2005-06-01,CY,77,85,71,71
2005-07-01,CY,73,77,80,59
2005-08-01,CY,72,70,66,53
2005-09-01,CY,72,59,74,50
2005-10-01,CY,67,56,62,37
2005-11-01,CY,68,61,64,44
2005-12-01,CY,73,51,65,36
2006-01-01,CY,50,42,39,36
2006-02-01,CY,13,7,4,5
2006-03-01,CY,12,6,0,9
2006-04-01,CY,11,4,0,4
2006-05-01,CY,13,12,9,5
2006-06-01,CY,12,10,7,0
2006-07-01,CY,13,16,9,0
2006-08-01,CY,10,10,9,14
2006-09-01,CY,12,15,15,7
2006-10-01,CY,13,10,5,6
2006-11-01,CY,13,5,5,3
2006-12-01,CY,15,10,6,15
2007-01-01,CY,13,11,7,9
2007-02-01,CY,13,11,0,4
2007-03-01,CY,13,10,5,6
2007-04-01,CY,13,11,6,0
2007-05-01,CY,12,15,4,16
2007-06-01,CY,13,9,10,10
2007-07-01,CY,12,10,5,11
2007-08-01,CY,12,9,9,7
2007-09-01,CY,13,14,12,12
2007-10-01,CY,13,13,8,9
2007-11-01,CY,15,18,5,8
2007-12-01,CY,15,9,7,8
2008-01-01,CY,15,14,11,4
2008-02-01,CY,16,16,10,22
2008-03-01,CY,15,11,6,11
2008-04-01,CY,13,16,5,15
2008-05-01,CY,14,16,6,12
2008-06-01,CY,14,15,7,7
2008-07-01,CY,14,16,6,13
2008-08-01,CY,13,12,8,10
2008-09-01,CY,13,13,7,10
2008-10-01,CY,14,13,6,12
2008-11-01,CY,15,12,6,8
2008-12-01,CY,15,13,3,11
2009-01-01,CY,15,14,7,17
2009-02-01,CY,14,13,5,22
2009-03-01,CY,16,11,12,10
2009-04-01,CY,15,14,9,11
2009-05-01,CY,15,13,5,10
2009-06-01,CY,14,13,4,10
2009-07-01,CY,13,10,7,12
2009-08-01,CY,13,13,4,14
