date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,CZ,14,15,14,18
2004-02-01,CZ,15,16,17,11
2004-03-01,CZ,13,21,10,0
2004-04-01,CZ,15,15,11,9
2004-05-01,CZ,14,20,10,19
2004-06-01,CZ,14,15,14,12
2004-07-01,CZ,12,15,16,13
2004-08-01,CZ,14,14,16,10
2004-09-01,CZ,14,16,14,9
2004-10-01,CZ,15,23,11,15
2004-11-01,CZ,15,24,18,17
2004-12-01,CZ,16,14,17,8
2005-01-01,CZ,15,17,15,12
2005-02-01,CZ,15,22,19,18
2005-03-01,CZ,16,18,12,13
2005-04-01,CZ,16,25,15,20
2005-05-01,CZ,16,20,14,15
2005-06-01,CZ,17,22,17,10
2005-07-01,CZ,14,20,16,15
2005-08-01,CZ,17,25,13,21
2005-09-01,CZ,16,17,17,15
2005-10-01,CZ,17,20,18,11
2005-11-01,CZ,18,23,18,12
2005-12-01,CZ,19,22,18,14
2006-01-01,CZ,18,25,17,15
2006-02-01,CZ,18,24,17,15
2006-03-01,CZ,20,24,19,18
2006-04-01,CZ,19,25,15,19
2006-05-01,CZ,19,25,14,24
2006-06-01,CZ,18,23,16,21
2006-07-01,CZ,18,19,16,19
2006-08-01,CZ,19,22,15,19
2006-09-01,CZ,19,26,14,21
2006-10-01,CZ,21,26,22,17
2006-11-01,CZ,22,27,21,18
2006-12-01,CZ,22,26,23,17
2007-01-01,CZ,21,29,18,23
2007-02-01,CZ,22,29,20,24
2007-03-01,CZ,21,30,18,25
2007-04-01,CZ,22,28,21,22
2007-05-01,CZ,19,29,20,21
2007-06-01,CZ,19,28,21,25
2007-07-01,CZ,20,25,19,21
2007-08-01,CZ,20,28,18,26
2007-09-01,CZ,21,29,18,21
2007-10-01,CZ,24,29,20,22
2007-11-01,CZ,25,30,21,22
2007-12-01,CZ,26,30,25,24
2008-01-01,CZ,22,31,18,25
2008-02-01,CZ,22,26,20,23
2008-03-01,CZ,24,31,20,26
2008-04-01,CZ,25,44,20,25
2008-05-01,CZ,23,28,19,21
2008-06-01,CZ,23,28,19,24
2008-07-01,CZ,22,28,15,27
2008-08-01,CZ,22,25,17,21
2008-09-01,CZ,22,26,19,22
2008-10-01,CZ,23,26,21,24
2008-11-01,CZ,25,28,20,28
2008-12-01,CZ,26,28,21,27
2009-01-01,CZ,24,26,19,25
2009-02-01,CZ,25,28,20,24
2009-03-01,CZ,25,30,18,27
2009-04-01,CZ,24,27,17,29
2009-05-01,CZ,25,26,19,25
2009-06-01,CZ,24,30,18,28
2009-07-01,CZ,23,24,18,27
2009-08-01,CZ,23,25,17,26
2009-09-01,CZ,24,26,17,21
2009-10-01,CZ,26,28,19,26
2009-11-01,CZ,27,28,19,28
2009-12-01,CZ,29,29,22,27
2010-01-01,CZ,25,27,17,25
2010-02-01,CZ,25,28,17,24
2010-03-01,CZ,27,31,17,27
2010-04-01,CZ,26,29,19,28
2010-05-01,CZ,28,31,17,0
2010-06-01,CZ,25,30,17,0
2010-07-01,CZ,23,26,18,0
2010-08-01,CZ,26,26,16,0
2010-09-01,CZ,25,27,17,0
2010-10-01,CZ,27,30,18,0
2010-11-01,CZ,29,33,21,0
2010-12-01,CZ,30,31,21,0
2011-01-01,CZ,34,36,25,0
2011-02-01,CZ,35,36,22,0
2011-03-01,CZ,33,36,22,0
2011-04-01,CZ,34,37,23,0
2011-05-01,CZ,34,37,23,0
2011-06-01,CZ,35,39,24,0
2011-07-01,CZ,35,36,24,0
2011-08-01,CZ,36,36,23,0
2011-09-01,CZ,37,39,24,0
2011-10-01,CZ,40,39,27,0
2011-11-01,CZ,43,42,27,0
2011-12-01,CZ,45,41,32,0
2012-01-01,CZ,40,41,28,0
2012-02-01,CZ,42,42,28,0
2012-03-01,CZ,39,39,28,0
2012-04-01,CZ,41,41,28,0
2012-05-01,CZ,39,43,28,0
2012-06-01,CZ,40,41,27,0
2012-07-01,CZ,40,39,33,0
2012-08-01,CZ,40,42,28,0
2012-09-01,CZ,41,41,29,0
2012-10-01,CZ,44,41,30,0
2012-11-01,CZ,45,48,32,0
2012-12-01,CZ,48,42,36,0
2013-01-01,CZ,45,42,31,0
2013-02-01,CZ,47,47,32,0
2013-03-01,CZ,45,44,32,0
2013-04-01,CZ,43,41,30,0
2013-05-01,CZ,44,42,33,0
2013-06-01,CZ,42,44,30,0
2013-07-01,CZ,42,40,29,0
2013-08-01,CZ,43,40,31,0
2013-09-01,CZ,45,40,31,0
2013-10-01,CZ,47,43,33,0
2013-11-01,CZ,47,39,33,0
2013-12-01,CZ,54,43,40,0
2014-01-01,CZ,49,44,32,0
2014-02-01,CZ,48,43,30,0
2014-03-01,CZ,47,42,33,0
2014-04-01,CZ,49,44,35,0
2014-05-01,CZ,51,44,33,0
2014-06-01,CZ,48,43,34,0
2014-07-01,CZ,45,44,36,0
2014-08-01,CZ,49,43,35,0
2014-09-01,CZ,50,43,36,0
2014-10-01,CZ,50,42,39,0
2014-11-01,CZ,52,49,39,0
2014-12-01,CZ,58,42,40,0
2015-01-01,CZ,51,49,37,0
2015-02-01,CZ,52,49,38,0
2015-03-01,CZ,54,49,40,0
2015-04-01,CZ,54,51,39,0
2015-05-01,CZ,53,52,41,0
2015-06-01,CZ,54,52,48,0
2015-07-01,CZ,50,50,38,0
2015-08-01,CZ,52,49,38,0
2015-09-01,CZ,54,51,39,0
2015-10-01,CZ,60,50,39,0
2015-11-01,CZ,60,52,41,0
2015-12-01,CZ,66,53,44,0
2016-01-01,CZ,62,59,42,0
2016-02-01,CZ,65,66,41,0
2016-03-01,CZ,64,58,44,0
2016-04-01,CZ,61,63,40,0
2016-05-01,CZ,61,65,39,0
2016-06-01,CZ,60,63,39,0
2016-07-01,CZ,56,57,42,0
2016-08-01,CZ,60,61,43,0
2016-09-01,CZ,59,61,42,61
2016-10-01,CZ,67,68,45,63
2016-11-01,CZ,64,64,45,62
2016-12-01,CZ,73,63,47,69
2017-01-01,CZ,63,68,42,74
2017-02-01,CZ,65,64,43,59
2017-03-01,CZ,62,65,46,59
2017-04-01,CZ,65,67,47,65
2017-05-01,CZ,61,62,45,64
2017-06-01,CZ,60,66,44,63
2017-07-01,CZ,61,64,48,61
2017-08-01,CZ,61,66,44,63
2017-09-01,CZ,65,72,51,61
2017-10-01,CZ,71,75,73,74
2017-11-01,CZ,73,75,69,66
2017-12-01,CZ,83,73,59,73
2018-01-01,CZ,68,76,58,76
