date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,DE,72,72,71,53
2004-02-01,DE,62,67,64,46
2004-03-01,DE,68,78,74,45
2004-04-01,DE,68,60,74,46
2004-05-01,DE,56,60,62,46
2004-06-01,DE,63,76,64,48
2004-07-01,DE,64,66,63,55
2004-08-01,DE,61,62,64,49
2004-09-01,DE,61,64,63,46
2004-10-01,DE,69,63,71,44
2004-11-01,DE,72,71,77,47
2004-12-01,DE,74,70,69,53
2005-01-01,DE,65,74,63,58
2005-02-01,DE,61,70,66,50
2005-03-01,DE,60,61,74,48
2005-04-01,DE,60,65,65,45
2005-05-01,DE,58,67,73,48
2005-06-01,DE,61,68,70,51
2005-07-01,DE,61,68,71,55
2005-08-01,DE,63,70,71,52
2005-09-01,DE,58,64,73,46
2005-10-01,DE,61,66,77,48
2005-11-01,DE,65,67,81,48
2005-12-01,DE,72,69,84,51
2006-01-01,DE,62,70,73,59
2006-02-01,DE,63,72,71,55
2006-03-01,DE,64,72,73,61
2006-04-01,DE,58,68,65,52
2006-05-01,DE,58,70,71,52
2006-06-01,DE,57,66,68,51
2006-07-01,DE,64,73,73,57
2006-08-01,DE,66,75,69,58
2006-09-01,DE,64,71,69,63
2006-10-01,DE,66,70,71,50
2006-11-01,DE,68,78,85,53
2006-12-01,DE,77,79,85,53
2007-01-01,DE,66,75,79,60
2007-02-01,DE,65,75,77,56
2007-03-01,DE,63,74,78,57
2007-04-01,DE,58,68,74,51
2007-05-01,DE,61,74,73,60
2007-06-01,DE,62,74,69,64
2007-07-01,DE,61,75,70,67
2007-08-01,DE,63,74,69,62
2007-09-01,DE,63,74,75,62
2007-10-01,DE,63,74,77,58
2007-11-01,DE,67,81,84,66
2007-12-01,DE,73,74,77,66
2008-01-01,DE,59,71,66,64
2008-02-01,DE,56,69,63,61
2008-03-01,DE,59,68,65,61
2008-04-01,DE,56,69,64,59
2008-05-01,DE,52,65,55,57
2008-06-01,DE,53,67,59,63
2008-07-01,DE,54,71,60,63
2008-08-01,DE,58,68,59,62
2008-09-01,DE,55,67,58,57
2008-10-01,DE,56,65,61,54
2008-11-01,DE,59,70,67,57
2008-12-01,DE,65,69,66,58
2009-01-01,DE,54,65,61,59
2009-02-01,DE,53,62,54,55
2009-03-01,DE,53,63,58,57
2009-04-01,DE,47,54,52,49
2009-05-01,DE,48,58,50,52
2009-06-01,DE,49,61,53,55
2009-07-01,DE,50,60,54,55
2009-08-01,DE,48,59,49,55
2009-09-01,DE,48,58,51,55
2009-10-01,DE,50,61,56,54
2009-11-01,DE,53,59,57,55
2009-12-01,DE,56,59,63,56
2010-01-01,DE,47,56,51,58
2010-02-01,DE,48,57,53,56
2010-03-01,DE,46,57,53,55
2010-04-01,DE,45,53,50,53
2010-05-01,DE,44,57,50,55
2010-06-01,DE,45,50,51,48
2010-07-01,DE,43,58,47,53
2010-08-01,DE,44,54,47,52
2010-09-01,DE,44,55,47,49
2010-10-01,DE,45,54,51,50
2010-11-01,DE,46,57,50,56
2010-12-01,DE,48,55,55,54
2011-01-01,DE,57,67,60,70
2011-02-01,DE,55,68,57,72
2011-03-01,DE,52,67,58,68
2011-04-01,DE,52,62,57,64
2011-05-01,DE,55,66,57,67
2011-06-01,DE,55,69,54,74
2011-07-01,DE,53,74,54,79
2011-08-01,DE,53,69,55,69
2011-09-01,DE,52,65,52,69
2011-10-01,DE,54,68,55,68
2011-11-01,DE,59,73,58,75
2011-12-01,DE,64,69,70,71
2012-01-01,DE,58,79,57,81
2012-02-01,DE,57,68,54,71
2012-03-01,DE,52,64,54,70
2012-04-01,DE,58,70,53,73
2012-05-01,DE,55,65,52,68
2012-06-01,DE,54,71,53,75
2012-07-01,DE,58,72,51,76
2012-08-01,DE,56,69,51,73
2012-09-01,DE,57,69,54,70
2012-10-01,DE,58,63,56,68
2012-11-01,DE,60,71,57,73
2012-12-01,DE,67,67,62,72
2013-01-01,DE,58,67,55,77
2013-02-01,DE,60,71,54,81
2013-03-01,DE,57,69,53,76
2013-04-01,DE,52,64,51,67
2013-05-01,DE,56,68,50,69
2013-06-01,DE,56,67,52,71
2013-07-01,DE,56,66,51,68
2013-08-01,DE,55,68,53,68
2013-09-01,DE,53,60,55,64
2013-10-01,DE,58,64,57,64
2013-11-01,DE,61,71,59,67
2013-12-01,DE,65,64,61,70
2014-01-01,DE,56,65,54,71
2014-02-01,DE,55,61,55,65
2014-03-01,DE,56,60,57,62
2014-04-01,DE,54,59,52,60
2014-05-01,DE,56,64,51,64
2014-06-01,DE,54,60,52,58
2014-07-01,DE,54,62,53,64
2014-08-01,DE,55,66,54,66
2014-09-01,DE,56,60,54,59
2014-10-01,DE,57,62,55,58
2014-11-01,DE,59,64,60,62
2014-12-01,DE,66,66,62,69
2015-01-01,DE,59,64,54,65
2015-02-01,DE,57,63,54,62
2015-03-01,DE,57,61,57,58
2015-04-01,DE,56,59,51,57
2015-05-01,DE,58,61,51,59
2015-06-01,DE,55,61,54,60
2015-07-01,DE,56,64,53,64
2015-08-01,DE,54,65,52,63
2015-09-01,DE,57,59,54,60
2015-10-01,DE,58,60,60,60
2015-11-01,DE,58,63,60,58
2015-12-01,DE,63,62,60,61
2016-01-01,DE,63,72,54,73
2016-02-01,DE,62,69,55,68
2016-03-01,DE,63,69,56,68
2016-04-01,DE,59,66,59,63
