date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,DK,60,76,36,47
2004-02-01,DK,60,82,38,53
2004-03-01,DK,64,85,38,52
2004-04-01,DK,55,82,32,51
2004-05-01,DK,54,78,35,49
2004-06-01,DK,58,79,40,46
2004-07-01,DK,52,69,36,41
2004-08-01,DK,60,79,39,40
2004-09-01,DK,67,90,40,56
2004-10-01,DK,65,84,41,51
2004-11-01,DK,73,90,49,48
2004-12-01,DK,85,76,60,54
2005-01-01,DK,69,82,46,57
2005-02-01,DK,67,99,43,51
2005-03-01,DK,66,91,41,57
2005-04-01,DK,65,88,43,42
2005-05-01,DK,64,85,45,55
2005-06-01,DK,63,82,42,40
2005-07-01,DK,56,74,43,52
2005-08-01,DK,68,85,49,53
2005-09-01,DK,67,85,45,44
2005-10-01,DK,70,88,45,57
2005-11-01,DK,74,91,52,51
2005-12-01,DK,83,75,64,47
2006-01-01,DK,68,90,49,61
2006-02-01,DK,65,84,46,51
2006-03-01,DK,65,89,47,48
2006-04-01,DK,63,83,47,47
2006-05-01,DK,59,82,47,45
2006-06-01,DK,61,84,46,52
2006-07-01,DK,57,70,45,44
2006-08-01,DK,67,88,52,53
2006-09-01,DK,66,90,48,57
2006-10-01,DK,71,92,53,55
2006-11-01,DK,74,99,58,57
2006-12-01,DK,85,81,68,55
2007-01-01,DK,69,88,52,59
2007-02-01,DK,70,97,46,57
2007-03-01,DK,63,91,47,52
2007-04-01,DK,60,88,48,55
2007-05-01,DK,64,87,47,51
2007-06-01,DK,62,85,47,51
2007-07-01,DK,55,79,41,51
2007-08-01,DK,62,85,49,47
2007-09-01,DK,66,88,50,55
2007-10-01,DK,68,87,48,50
2007-11-01,DK,68,89,55,51
2007-12-01,DK,80,75,72,55
2008-01-01,DK,66,74,49,51
2008-02-01,DK,64,89,50,53
2008-03-01,DK,64,88,50,54
2008-04-01,DK,61,80,43,51
2008-05-01,DK,56,73,45,50
2008-06-01,DK,55,76,46,53
2008-07-01,DK,50,69,38,47
2008-08-01,DK,60,77,48,51
2008-09-01,DK,58,74,42,49
2008-10-01,DK,62,67,46,49
2008-11-01,DK,64,71,51,50
2008-12-01,DK,77,58,77,48
2009-01-01,DK,61,70,51,50
2009-02-01,DK,59,68,46,50
2009-03-01,DK,60,67,46,53
2009-04-01,DK,54,63,45,43
2009-05-01,DK,55,67,46,47
2009-06-01,DK,55,67,49,45
2009-07-01,DK,48,59,40,43
2009-08-01,DK,56,66,44,46
2009-09-01,DK,57,67,43,43
2009-10-01,DK,56,64,50,48
2009-11-01,DK,56,63,51,42
2009-12-01,DK,68,59,63,41
2010-01-01,DK,56,62,47,46
2010-02-01,DK,56,63,41,40
2010-03-01,DK,56,64,42,40
2010-04-01,DK,52,58,44,43
2010-05-01,DK,51,58,44,38
2010-06-01,DK,46,54,39,36
2010-07-01,DK,39,48,33,33
2010-08-01,DK,49,54,40,41
2010-09-01,DK,51,58,38,40
2010-10-01,DK,51,55,42,40
2010-11-01,DK,52,58,41,39
2010-12-01,DK,58,46,54,38
2011-01-01,DK,67,77,56,54
2011-02-01,DK,66,80,50,53
2011-03-01,DK,68,85,51,54
2011-04-01,DK,66,76,54,54
2011-05-01,DK,67,78,53,56
2011-06-01,DK,62,76,53,53
2011-07-01,DK,61,76,51,52
2011-08-01,DK,70,78,56,55
2011-09-01,DK,66,82,54,57
2011-10-01,DK,68,82,59,58
2011-11-01,DK,77,91,65,80
2011-12-01,DK,88,80,82,63
2012-01-01,DK,72,82,66,64
2012-02-01,DK,71,84,62,57
2012-03-01,DK,69,83,61,61
2012-04-01,DK,80,94,70,78
2012-05-01,DK,66,77,66,60
2012-06-01,DK,69,85,69,66
2012-07-01,DK,63,79,55,60
2012-08-01,DK,67,83,62,66
2012-09-01,DK,79,85,68,63
2012-10-01,DK,76,80,64,60
2012-11-01,DK,76,86,68,67
2012-12-01,DK,95,73,92,67
2013-01-01,DK,78,77,65,57
2013-02-01,DK,78,88,60,66
2013-03-01,DK,78,85,68,63
2013-04-01,DK,72,82,68,69
2013-05-01,DK,72,79,67,60
2013-06-01,DK,69,78,64,70
2013-07-01,DK,64,72,57,51
2013-08-01,DK,76,80,60,66
2013-09-01,DK,77,75,58,59
2013-10-01,DK,79,79,58,58
2013-11-01,DK,73,73,65,56
2013-12-01,DK,95,71,100,57
2014-01-01,DK,78,77,63,62
2014-02-01,DK,74,79,57,58
2014-03-01,DK,75,81,60,60
2014-04-01,DK,78,75,68,60
2014-05-01,DK,69,75,64,57
2014-06-01,DK,67,75,63,60
2014-07-01,DK,63,69,57,55
2014-08-01,DK,76,79,67,65
2014-09-01,DK,74,75,60,58
2014-10-01,DK,72,80,64,60
2014-11-01,DK,75,76,69,59
2014-12-01,DK,96,72,98,57
2015-01-01,DK,75,75,63,58
2015-02-01,DK,76,85,57,61
