date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,ES,63,55,46,38
2004-02-01,ES,63,59,39,31
2004-03-01,ES,59,62,39,29
2004-04-01,ES,62,60,43,29
2004-05-01,ES,61,57,47,30
2004-06-01,ES,60,57,48,29
2004-07-01,ES,60,71,50,27
2004-08-01,ES,52,55,43,28
2004-09-01,ES,62,60,51,28
2004-10-01,ES,67,62,55,31
2004-11-01,ES,70,66,59,33
2004-12-01,ES,75,68,63,26
2005-01-01,ES,63,55,56,33
2005-02-01,ES,66,69,50,33
2005-03-01,ES,62,68,52,28
2005-04-01,ES,62,71,54,29
2005-05-01,ES,59,69,57,28
2005-06-01,ES,63,73,57,31
2005-07-01,ES,59,82,57,28
2005-08-01,ES,55,76,51,27
2005-09-01,ES,61,73,62,30
2005-10-01,ES,65,73,66,34
2005-11-01,ES,71,78,69,34
2005-12-01,ES,76,77,73,33
2006-01-01,ES,62,67,63,32
2006-02-01,ES,65,76,57,35
2006-03-01,ES,67,75,64,29
2006-04-01,ES,62,79,58,34
2006-05-01,ES,63,80,61,35
2006-06-01,ES,63,87,62,31
2006-07-01,ES,64,100,66,33
2006-08-01,ES,61,84,56,30
2006-09-01,ES,63,83,64,35
2006-10-01,ES,68,84,73,37
2006-11-01,ES,70,84,76,37
2006-12-01,ES,76,77,77,38
2007-01-01,ES,60,67,69,34
2007-02-01,ES,65,80,58,35
2007-03-01,ES,64,80,69,36
2007-04-01,ES,63,75,62,35
2007-05-01,ES,63,74,63,34
2007-06-01,ES,61,80,61,38
2007-07-01,ES,59,87,64,33
2007-08-01,ES,58,73,53,34
2007-09-01,ES,59,71,61,35
2007-10-01,ES,61,74,66,33
2007-11-01,ES,69,73,75,36
2007-12-01,ES,72,64,77,39
2008-01-01,ES,57,58,67,34
2008-02-01,ES,62,66,59,33
2008-03-01,ES,55,66,60,35
2008-04-01,ES,60,68,63,33
2008-05-01,ES,62,65,62,38
2008-06-01,ES,55,64,59,37
2008-07-01,ES,55,67,57,32
2008-08-01,ES,49,57,54,33
2008-09-01,ES,54,56,58,32
2008-10-01,ES,57,60,66,34
2008-11-01,ES,59,59,65,41
2008-12-01,ES,66,56,68,45
2009-01-01,ES,54,46,57,40
2009-02-01,ES,55,53,56,41
2009-03-01,ES,58,48,56,39
2009-04-01,ES,54,52,52,41
2009-05-01,ES,52,47,53,39
2009-06-01,ES,52,52,52,44
2009-07-01,ES,52,54,57,35
2009-08-01,ES,48,47,47,36
2009-09-01,ES,51,47,52,38
2009-10-01,ES,55,46,53,39
2009-11-01,ES,57,49,56,37
2009-12-01,ES,63,48,60,38
2010-01-01,ES,51,40,50,40
2010-02-01,ES,53,46,50,37
2010-03-01,ES,51,44,48,38
2010-04-01,ES,50,42,45,41
2010-05-01,ES,52,45,48,45
2010-06-01,ES,48,43,46,45
2010-07-01,ES,46,44,43,40
2010-08-01,ES,45,40,40,36
2010-09-01,ES,50,45,46,43
2010-10-01,ES,53,44,49,43
2010-11-01,ES,53,43,54,42
2010-12-01,ES,61,42,53,52
2011-01-01,ES,53,40,51,50
