date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,FI,72,60,57,34
2004-02-01,FI,79,62,75,35
2004-03-01,FI,77,67,55,30
2004-04-01,FI,78,63,43,31
2004-05-01,FI,72,69,49,35
2004-06-01,FI,66,64,55,34
2004-07-01,FI,60,59,45,27
2004-08-01,FI,78,62,68,36
2004-09-01,FI,68,70,49,33
2004-10-01,FI,89,68,65,39
2004-11-01,FI,81,72,54,38
2004-12-01,FI,88,63,98,37
2005-01-01,FI,76,69,76,41
2005-02-01,FI,78,67,75,36
2005-03-01,FI,81,67,77,35
2005-04-01,FI,79,69,85,35
2005-05-01,FI,81,68,79,41
2005-06-01,FI,68,64,70,35
2005-07-01,FI,64,60,58,29
2005-08-01,FI,88,76,69,43
2005-09-01,FI,88,74,69,36
2005-10-01,FI,90,78,65,43
2005-11-01,FI,89,80,65,37
2005-12-01,FI,98,71,72,40
2006-01-01,FI,90,76,64,40
2006-02-01,FI,83,75,69,42
2006-03-01,FI,84,74,65,43
2006-04-01,FI,86,74,76,38
2006-05-01,FI,79,66,61,38
2006-06-01,FI,74,65,83,38
2006-07-01,FI,72,67,68,40
2006-08-01,FI,82,74,75,39
2006-09-01,FI,88,82,74,42
2006-10-01,FI,86,75,68,44
2006-11-01,FI,92,76,74,43
2006-12-01,FI,100,71,85,44
2007-01-01,FI,87,75,94,43
2007-02-01,FI,95,79,83,44
2007-03-01,FI,92,76,76,45
2007-04-01,FI,87,77,81,48
2007-05-01,FI,78,75,67,41
2007-06-01,FI,67,65,75,37
2007-07-01,FI,67,68,64,39
2007-08-01,FI,77,72,70,39
2007-09-01,FI,83,74,69,43
2007-10-01,FI,81,73,100,44
2007-11-01,FI,84,100,74,100
2007-12-01,FI,87,64,71,43
2008-01-01,FI,76,69,65,44
2008-02-01,FI,73,68,57,45
2008-03-01,FI,75,63,56,37
2008-04-01,FI,71,65,55,37
2008-05-01,FI,67,66,60,42
2008-06-01,FI,59,60,61,36
2008-07-01,FI,59,58,53,34
2008-08-01,FI,71,64,64,37
2008-09-01,FI,71,65,51,40
2008-10-01,FI,81,59,53,39
2008-11-01,FI,68,68,54,39
2008-12-01,FI,79,58,56,39
2009-01-01,FI,69,61,59,37
2009-02-01,FI,62,59,48,37
2009-03-01,FI,64,60,54,36
2009-04-01,FI,65,59,51,34
2009-05-01,FI,60,61,48,36
2009-06-01,FI,56,55,46,33
2009-07-01,FI,55,56,45,35
2009-08-01,FI,64,59,54,37
2009-09-01,FI,64,57,47,38
2009-10-01,FI,65,54,44,40
2009-11-01,FI,61,53,53,37
2009-12-01,FI,73,50,56,35
2010-01-01,FI,63,54,50,36
2010-02-01,FI,60,55,45,36
2010-03-01,FI,62,54,52,35
2010-04-01,FI,61,49,73,34
2010-05-01,FI,53,49,45,33
2010-06-01,FI,51,46,48,32
2010-07-01,FI,47,46,45,32
2010-08-01,FI,53,52,48,34
2010-09-01,FI,58,52,47,34
2010-10-01,FI,60,52,47,34
2010-11-01,FI,60,51,47,36
2010-12-01,FI,62,46,55,35
2011-01-01,FI,61,55,46,41
2011-02-01,FI,65,48,50,39
2011-03-01,FI,64,57,46,42
2011-04-01,FI,72,54,55,39
2011-05-01,FI,57,54,47,38
2011-06-01,FI,52,49,48,36
2011-07-01,FI,52,51,44,38
2011-08-01,FI,62,55,52,40
2011-09-01,FI,61,52,50,39
2011-10-01,FI,58,55,44,37
2011-11-01,FI,62,56,45,36
2011-12-01,FI,73,57,57,37
2012-01-01,FI,64,53,48,38
2012-02-01,FI,61,57,47,37
2012-03-01,FI,55,57,45,36
2012-04-01,FI,62,56,51,38
2012-05-01,FI,52,57,45,35
2012-06-01,FI,53,56,49,37
2012-07-01,FI,52,56,44,37
2012-08-01,FI,59,60,49,40
2012-09-01,FI,64,59,56,36
2012-10-01,FI,64,56,51,34
2012-11-01,FI,61,58,50,37
2012-12-01,FI,67,49,62,39
2013-01-01,FI,57,52,52,35
2013-02-01,FI,60,58,51,38
2013-03-01,FI,63,54,54,32
2013-04-01,FI,57,53,56,38
2013-05-01,FI,54,53,49,36
2013-06-01,FI,55,54,60,34
2013-07-01,FI,60,59,54,37
2013-08-01,FI,64,63,59,37
2013-09-01,FI,60,58,54,34
2013-10-01,FI,68,53,55,35
2013-11-01,FI,65,57,56,35
2013-12-01,FI,75,58,71,38
2014-01-01,FI,66,55,58,36
2014-02-01,FI,63,55,57,37
2014-03-01,FI,59,57,55,36
2014-04-01,FI,66,54,66,36
2014-05-01,FI,66,56,59,37
2014-06-01,FI,61,55,68,38
2014-07-01,FI,58,56,59,37
2014-08-01,FI,62,60,58,39
2014-09-01,FI,66,58,58,38
2014-10-01,FI,65,59,59,35
2014-11-01,FI,65,56,75,37
2014-12-01,FI,76,56,71,36
2015-01-01,FI,69,58,67,38
