date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,GR,12,11,9,8
2004-02-01,GR,12,8,8,7
2004-03-01,GR,11,11,6,9
2004-04-01,GR,11,10,8,3
2004-05-01,GR,12,10,5,3
2004-06-01,GR,11,9,5,6
2004-07-01,GR,10,12,6,6
2004-08-01,GR,9,10,3,7
2004-09-01,GR,11,11,6,8
2004-10-01,GR,13,10,18,6
2004-11-01,GR,22,18,28,18
2004-12-01,GR,22,15,26,16
2005-01-01,GR,20,14,24,16
2005-02-01,GR,21,16,27,18
2005-03-01,GR,20,16,27,13
2005-04-01,GR,21,17,34,16
2005-05-01,GR,21,16,25,20
2005-06-01,GR,20,16,31,15
2005-07-01,GR,20,16,27,10
2005-08-01,GR,20,16,30,11
2005-09-01,GR,23,20,28,17
2005-10-01,GR,25,21,35,20
2005-11-01,GR,28,20,44,18
2005-12-01,GR,31,22,48,17
2006-01-01,GR,24,20,31,19
2006-02-01,GR,15,15,10,11
2006-03-01,GR,15,14,11,12
2006-04-01,GR,13,11,12,8
2006-05-01,GR,15,14,11,12
2006-06-01,GR,15,15,12,12
2006-07-01,GR,15,15,13,12
2006-08-01,GR,13,13,9,13
2006-09-01,GR,16,16,16,14
2006-10-01,GR,19,17,15,12
2006-11-01,GR,18,17,17,14
2006-12-01,GR,20,18,13,15
2007-01-01,GR,19,19,13,19
2007-02-01,GR,20,20,14,12
2007-03-01,GR,21,17,14,16
2007-04-01,GR,19,16,12,16
2007-05-01,GR,18,17,15,15
2007-06-01,GR,18,17,15,15
2007-07-01,GR,20,17,15,15
2007-08-01,GR,15,15,11,13
2007-09-01,GR,18,19,17,16
2007-10-01,GR,19,19,17,17
2007-11-01,GR,23,24,17,20
2007-12-01,GR,24,22,14,21
2008-01-01,GR,21,20,16,21
2008-02-01,GR,20,20,16,19
2008-03-01,GR,20,18,14,18
2008-04-01,GR,18,17,14,16
2008-05-01,GR,18,19,15,17
2008-06-01,GR,20,16,15,17
2008-07-01,GR,17,18,15,18
2008-08-01,GR,15,16,12,20
2008-09-01,GR,19,19,16,20
2008-10-01,GR,20,19,17,19
2008-11-01,GR,20,21,19,21
2008-12-01,GR,20,19,14,22
2009-01-01,GR,19,19,15,19
2009-02-01,GR,19,19,16,19
2009-03-01,GR,19,17,14,16
2009-04-01,GR,19,18,14,19
2009-05-01,GR,19,17,16,22
2009-06-01,GR,18,18,15,21
2009-07-01,GR,16,17,16,19
2009-08-01,GR,13,15,12,17
2009-09-01,GR,20,19,17,21
2009-10-01,GR,21,21,18,23
2009-11-01,GR,23,22,20,26
2009-12-01,GR,26,23,23,28
2010-01-01,GR,23,23,20,27
2010-02-01,GR,25,24,22,26
2010-03-01,GR,24,21,24,24
2010-04-01,GR,23,18,22,22
2010-05-01,GR,21,18,22,23
2010-06-01,GR,22,19,25,24
2010-07-01,GR,18,17,24,21
2010-08-01,GR,15,16,20,20
2010-09-01,GR,21,19,27,22
2010-10-01,GR,22,22,23,23
2010-11-01,GR,23,22,24,27
2010-12-01,GR,26,23,23,25
2011-01-01,GR,51,41,50,59
2011-02-01,GR,51,42,53,57
2011-03-01,GR,51,38,47,56
2011-04-01,GR,52,40,47,56
2011-05-01,GR,51,39,54,56
2011-06-01,GR,44,36,52,50
2011-07-01,GR,43,35,44,45
2011-08-01,GR,41,33,35,48
2011-09-01,GR,46,44,44,54
2011-10-01,GR,50,39,47,54
2011-11-01,GR,56,39,50,56
2011-12-01,GR,64,47,50,67
2012-01-01,GR,55,47,48,66
2012-02-01,GR,55,45,48,60
2012-03-01,GR,55,40,50,58
2012-04-01,GR,50,37,44,55
2012-05-01,GR,48,39,46,55
2012-06-01,GR,47,37,48,54
2012-07-01,GR,42,37,44,49
2012-08-01,GR,43,37,43,50
2012-09-01,GR,51,44,52,59
2012-10-01,GR,51,44,54,59
2012-11-01,GR,55,44,58,59
2012-12-01,GR,60,49,70,68
2013-01-01,GR,56,49,54,64
2013-02-01,GR,61,49,61,65
2013-03-01,GR,57,49,55,60
2013-04-01,GR,54,43,60,54
2013-05-01,GR,50,38,53,54
2013-06-01,GR,52,44,55,56
2013-07-01,GR,49,42,59,51
2013-08-01,GR,48,44,55,53
2013-09-01,GR,52,45,65,57
2013-10-01,GR,55,48,67,63
2013-11-01,GR,59,45,65,64
2013-12-01,GR,65,52,72,74
2014-01-01,GR,59,51,79,65
2014-02-01,GR,62,54,74,62
2014-03-01,GR,59,50,67,65
2014-04-01,GR,58,44,70,60
2014-05-01,GR,55,48,69,59
2014-06-01,GR,56,48,75,63
2014-07-01,GR,52,45,73,57
2014-08-01,GR,49,46,65,54
2014-09-01,GR,56,49,75,61
2014-10-01,GR,58,51,78,63
2014-11-01,GR,58,50,73,65
2014-12-01,GR,67,58,74,73
2015-01-01,GR,59,53,72,66
2015-02-01,GR,63,56,69,64
2015-03-01,GR,63,55,74,64
2015-04-01,GR,59,50,69,58
2015-05-01,GR,57,49,75,63
2015-06-01,GR,57,47,75,63
2015-07-01,GR,51,45,72,51
2015-08-01,GR,50,49,59,53
2015-09-01,GR,55,50,100,58
2015-10-01,GR,54,49,64,52
2015-11-01,GR,53,47,61,57
2015-12-01,GR,61,56,62,63
2016-01-01,GR,67,59,89,68
2016-02-01,GR,64,58,67,62
2016-03-01,GR,67,55,52,59
2016-04-01,GR,60,50,50,60
2016-05-01,GR,58,53,54,60
2016-06-01,GR,60,53,57,60
2016-07-01,GR,55,56,50,64
2016-08-01,GR,55,57,46,55
2016-09-01,GR,60,57,49,61
2016-10-01,GR,59,54,46,60
2016-11-01,GR,59,54,48,61
2016-12-01,GR,70,61,46,72
2017-01-01,GR,62,56,46,66
2017-02-01,GR,63,59,44,65
2017-03-01,GR,64,55,63,62
2017-04-01,GR,62,61,54,65
2017-05-01,GR,61,58,46,62
2017-06-01,GR,64,59,45,65
2017-07-01,GR,58,63,42,62
2017-08-01,GR,57,64,39,58
2017-09-01,GR,63,62,54,64
2017-10-01,GR,63,61,66,70
2017-11-01,GR,59,56,60,62
2017-12-01,GR,71,68,47,76
2018-01-01,GR,65,66,43,72
2018-02-01,GR,67,68,39,70
2018-03-01,GR,68,65,42,68
2018-04-01,GR,62,62,41,63
2018-05-01,GR,64,67,46,72
2018-06-01,GR,65,65,47,64
2018-07-01,GR,67,74,45,66
2018-08-01,GR,67,78,44,62
2018-09-01,GR,65,74,45,68
2018-10-01,GR,63,67,41,72
2018-11-01,GR,65,61,40,68
2018-12-01,GR,73,82,40,81
2019-01-01,GR,66,69,37,71
2019-02-01,GR,67,72,43,74
2019-03-01,GR,73,73,49,71
2019-04-01,GR,70,67,54,69
2019-05-01,GR,67,69,45,67
2019-06-01,GR,70,73,49,68
2019-07-01,GR,71,80,47,70
2019-08-01,GR,72,90,42,75
2019-09-01,GR,71,78,45,69
2019-10-01,GR,67,74,45,72
2019-11-01,GR,65,74,42,75
2019-12-01,GR,81,83,44,92
2020-01-01,GR,68,75,40,78
2020-02-01,GR,71,78,40,72
2020-03-01,GR,78,54,76,67
2020-04-01,GR,100,49,66,86
2020-05-01,GR,69,53,43,80
2020-06-01,GR,64,66,41,71
2020-07-01,GR,62,74,42,69
2020-08-01,GR,66,80,41,71
2020-09-01,GR,67,66,46,70
2020-10-01,GR,68,69,45,75
2020-11-01,GR,69,47,41,77
2020-12-01,GR,92,55,45,100
2021-01-01,GR,74,51,40,85
2021-02-01,GR,70,51,43,77
2021-03-01,GR,83,54,41,81
2021-04-01,GR,76,57,54,79
2021-05-01,GR,63,74,40,70
2021-06-01,GR,67,79,39,66
2021-07-01,GR,72,92,43,71
2021-08-01,GR,72,99,40,75
2021-09-01,GR,66,79,42,59
2021-10-01,GR,67,78,43,70
2021-11-01,GR,62,64,37,64
2021-12-01,GR,69,66,37,78
2022-01-01,GR,70,70,39,77
2022-02-01,GR,67,75,40,76
2022-03-01,GR,73,78,39,75
2022-04-01,GR,68,81,35,79
2022-05-01,GR,65,79,37,75
2022-06-01,GR,73,82,38,72
2022-07-01,GR,72,94,42,79
2022-08-01,GR,74,100,41,80
2022-09-01,GR,68,82,41,74
2022-10-01,GR,68,80,43,74
