date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,HR,25,15,17,22
2004-02-01,HR,29,26,10,7
2004-03-01,HR,31,29,17,32
2004-04-01,HR,29,25,12,16
2004-05-01,HR,28,23,11,22
2004-06-01,HR,25,19,13,10
2004-07-01,HR,23,22,14,16
2004-08-01,HR,23,20,12,10
2004-09-01,HR,27,28,11,24
2004-10-01,HR,26,25,10,18
2004-11-01,HR,27,28,10,19
2004-12-01,HR,29,26,17,30
2005-01-01,HR,25,23,9,10
2005-02-01,HR,29,25,13,19
2005-03-01,HR,29,25,10,16
2005-04-01,HR,25,31,13,15
2005-05-01,HR,24,20,14,15
2005-06-01,HR,23,26,13,31
2005-07-01,HR,22,23,11,20
2005-08-01,HR,21,25,13,15
2005-09-01,HR,26,29,14,30
2005-10-01,HR,25,26,11,19
2005-11-01,HR,25,28,8,22
2005-12-01,HR,26,28,10,17
2006-01-01,HR,25,24,15,15
2006-02-01,HR,28,28,15,26
2006-03-01,HR,28,28,15,22
2006-04-01,HR,26,27,14,20
2006-05-01,HR,29,27,17,13
2006-06-01,HR,25,27,14,22
2006-07-01,HR,25,30,17,19
2006-08-01,HR,25,28,15,22
2006-09-01,HR,30,35,18,20
2006-10-01,HR,31,33,22,21
2006-11-01,HR,33,35,25,23
2006-12-01,HR,33,37,21,22
2007-01-01,HR,31,32,19,23
2007-02-01,HR,35,40,18,26
2007-03-01,HR,35,38,23,31
2007-04-01,HR,33,35,18,22
2007-05-01,HR,33,35,17,29
2007-06-01,HR,31,34,18,28
2007-07-01,HR,28,32,22,30
2007-08-01,HR,28,34,19,25
2007-09-01,HR,33,36,19,24
2007-10-01,HR,33,37,20,32
2007-11-01,HR,37,40,20,28
2007-12-01,HR,37,38,25,34
2008-01-01,HR,34,35,22,35
2008-02-01,HR,35,36,22,28
2008-03-01,HR,35,35,25,31
2008-04-01,HR,33,35,23,32
2008-05-01,HR,34,34,23,34
2008-06-01,HR,33,36,23,32
