date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,HU,21,25,20,12
2004-02-01,HU,23,26,19,11
2004-03-01,HU,20,25,15,10
2004-04-01,HU,23,26,17,12
2004-05-01,HU,21,27,17,18
2004-06-01,HU,23,29,30,18
2004-07-01,HU,22,31,23,20
2004-08-01,HU,21,31,17,17
2004-09-01,HU,26,34,20,15
2004-10-01,HU,27,34,22,24
2004-11-01,HU,29,35,34,23
2004-12-01,HU,30,35,25,22
2005-01-01,HU,30,34,23,18
2005-02-01,HU,31,40,25,22
2005-03-01,HU,29,35,27,20
2005-04-01,HU,30,39,26,30
2005-05-01,HU,30,39,22,26
2005-06-01,HU,31,42,26,26
2005-07-01,HU,27,37,22,21
2005-08-01,HU,29,36,26,20
2005-09-01,HU,30,41,21,23
2005-10-01,HU,29,42,21,24
2005-11-01,HU,32,40,25,29
2005-12-01,HU,36,45,25,33
2006-01-01,HU,35,41,21,32
2006-02-01,HU,35,49,23,34
2006-03-01,HU,32,52,24,37
2006-04-01,HU,31,46,24,37
2006-05-01,HU,32,48,23,43
2006-06-01,HU,30,51,20,44
2006-07-01,HU,33,57,25,60
2006-08-01,HU,37,53,30,62
2006-09-01,HU,33,51,26,48
2006-10-01,HU,40,54,28,57
2006-11-01,HU,41,60,29,56
2006-12-01,HU,53,62,30,60
2007-01-01,HU,45,61,30,63
2007-02-01,HU,48,83,29,71
2007-03-01,HU,44,64,30,67
2007-04-01,HU,42,60,29,61
2007-05-01,HU,39,61,28,59
2007-06-01,HU,42,61,29,62
2007-07-01,HU,42,65,30,67
2007-08-01,HU,45,64,32,66
2007-09-01,HU,45,62,38,56
2007-10-01,HU,46,68,39,68
2007-11-01,HU,49,68,38,65
2007-12-01,HU,57,63,37,65
2008-01-01,HU,47,68,34,66
2008-02-01,HU,49,77,40,63
2008-03-01,HU,49,63,53,60
2008-04-01,HU,48,64,56,61
2008-05-01,HU,47,60,43,64
2008-06-01,HU,47,62,39,57
2008-07-01,HU,46,57,38,59
2008-08-01,HU,45,61,41,65
2008-09-01,HU,47,65,40,58
2008-10-01,HU,49,52,44,59
2008-11-01,HU,51,61,47,58
2008-12-01,HU,58,63,45,74
2009-01-01,HU,56,62,45,75
2009-02-01,HU,56,74,45,60
2009-03-01,HU,51,58,45,63
2009-04-01,HU,45,54,39,57
2009-05-01,HU,48,53,38,64
2009-06-01,HU,47,55,38,64
2009-07-01,HU,48,56,35,62
2009-08-01,HU,50,52,35,67
2009-09-01,HU,49,51,41,60
2009-10-01,HU,51,52,39,57
2009-11-01,HU,53,55,47,61
2009-12-01,HU,62,54,41,62
2010-01-01,HU,55,56,37,60
2010-02-01,HU,54,67,35,62
2010-03-01,HU,52,51,39,54
2010-04-01,HU,48,49,35,54
2010-05-01,HU,48,49,34,54
2010-06-01,HU,47,50,32,54
2010-07-01,HU,43,47,31,50
2010-08-01,HU,44,46,30,47
2010-09-01,HU,45,47,35,50
2010-10-01,HU,46,48,33,47
2010-11-01,HU,48,46,37,48
2010-12-01,HU,57,46,38,54
2011-01-01,HU,63,71,48,69
2011-02-01,HU,62,71,47,67
2011-03-01,HU,62,73,48,68
2011-04-01,HU,61,66,44,64
2011-05-01,HU,61,65,45,66
2011-06-01,HU,61,65,45,71
2011-07-01,HU,61,65,45,75
2011-08-01,HU,61,66,42,73
2011-09-01,HU,58,63,51,67
2011-10-01,HU,62,64,49,72
2011-11-01,HU,67,68,54,76
2011-12-01,HU,76,66,58,75
2012-01-01,HU,68,65,53,72
2012-02-01,HU,70,72,55,70
2012-03-01,HU,57,65,54,67
2012-04-01,HU,66,63,51,70
2012-05-01,HU,60,63,49,72
2012-06-01,HU,63,66,45,72
2012-07-01,HU,63,65,47,69
2012-08-01,HU,60,67,44,69
2012-09-01,HU,63,61,46,67
2012-10-01,HU,61,61,46,69
2012-11-01,HU,67,62,58,69
2012-12-01,HU,77,64,54,71
2013-01-01,HU,68,69,51,75
2013-02-01,HU,68,66,53,71
2013-03-01,HU,68,63,51,67
2013-04-01,HU,58,60,45,63
2013-05-01,HU,61,58,46,60
2013-06-01,HU,63,64,49,68
2013-07-01,HU,64,62,49,66
2013-08-01,HU,64,66,47,71
2013-09-01,HU,62,61,47,59
2013-10-01,HU,65,62,48,63
2013-11-01,HU,65,62,50,67
2013-12-01,HU,79,58,55,67
2014-01-01,HU,68,63,52,63
2014-02-01,HU,69,67,54,59
2014-03-01,HU,66,69,51,64
2014-04-01,HU,65,61,50,69
2014-05-01,HU,65,64,48,65
2014-06-01,HU,62,62,50,68
2014-07-01,HU,63,62,52,65
2014-08-01,HU,61,65,48,66
2014-09-01,HU,62,65,50,70
2014-10-01,HU,67,67,53,60
2014-11-01,HU,67,64,55,63
2014-12-01,HU,81,64,54,61
2015-01-01,HU,69,67,56,64
2015-02-01,HU,73,70,54,68
2015-03-01,HU,65,68,57,61
2015-04-01,HU,67,64,54,60
2015-05-01,HU,66,69,50,65
2015-06-01,HU,63,67,49,61
2015-07-01,HU,62,68,50,62
2015-08-01,HU,64,71,49,63
2015-09-01,HU,63,65,47,59
2015-10-01,HU,67,65,49,58
2015-11-01,HU,71,68,53,60
