date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,IT,25,26,17,27
2004-02-01,IT,25,29,18,29
2004-03-01,IT,24,29,18,28
2004-04-01,IT,25,31,16,27
2004-05-01,IT,28,30,18,27
2004-06-01,IT,23,28,19,27
2004-07-01,IT,24,31,18,25
2004-08-01,IT,20,24,16,23
2004-09-01,IT,26,31,22,32
2004-10-01,IT,26,30,23,31
2004-11-01,IT,28,32,24,33
2004-12-01,IT,28,30,21,28
2005-01-01,IT,24,26,21,28
2005-02-01,IT,28,33,22,38
2005-03-01,IT,26,29,20,29
2005-04-01,IT,25,32,21,32
2005-05-01,IT,27,30,21,32
2005-06-01,IT,25,30,21,31
2005-07-01,IT,25,32,20,29
2005-08-01,IT,21,25,18,20
2005-09-01,IT,28,31,25,32
2005-10-01,IT,28,30,25,31
2005-11-01,IT,29,31,29,34
2005-12-01,IT,30,31,23,27
2006-01-01,IT,26,29,26,29
2006-02-01,IT,27,33,23,31
2006-03-01,IT,26,32,25,29
2006-04-01,IT,25,31,21,27
2006-05-01,IT,27,34,25,25
2006-06-01,IT,26,33,26,31
2006-07-01,IT,24,34,27,30
2006-08-01,IT,21,27,22,22
2006-09-01,IT,29,36,29,34
2006-10-01,IT,30,36,31,35
2006-11-01,IT,29,37,31,32
2006-12-01,IT,29,36,24,26
2007-01-01,IT,28,32,27,32
2007-02-01,IT,32,37,27,32
2007-03-01,IT,30,36,28,35
2007-04-01,IT,28,37,28,32
2007-05-01,IT,29,38,28,32
2007-06-01,IT,30,40,31,29
2007-07-01,IT,26,37,25,28
2007-08-01,IT,24,31,23,27
2007-09-01,IT,29,38,31,34
2007-10-01,IT,32,41,31,32
2007-11-01,IT,31,37,31,33
2007-12-01,IT,32,36,28,27
2008-01-01,IT,28,33,27,29
2008-02-01,IT,31,40,28,33
2008-03-01,IT,31,38,27,30
2008-04-01,IT,31,41,28,29
2008-05-01,IT,33,40,27,36
2008-06-01,IT,28,37,25,33
2008-07-01,IT,27,37,24,32
2008-08-01,IT,24,31,20,27
2008-09-01,IT,30,39,26,35
2008-10-01,IT,31,38,28,35
2008-11-01,IT,30,38,28,41
2008-12-01,IT,32,35,27,30
2009-01-01,IT,30,35,25,32
2009-02-01,IT,31,38,25,33
2009-03-01,IT,30,34,24,30
2009-04-01,IT,27,32,22,29
2009-05-01,IT,24,30,19,26
2009-06-01,IT,25,31,21,26
2009-07-01,IT,24,32,20,25
2009-08-01,IT,21,26,18,22
2009-09-01,IT,26,32,20,32
2009-10-01,IT,27,30,23,27
2009-11-01,IT,26,29,23,30
2009-12-01,IT,28,29,20,25
2010-01-01,IT,25,27,21,25
2010-02-01,IT,27,29,20,29
2010-03-01,IT,27,29,19,25
2010-04-01,IT,25,29,18,26
2010-05-01,IT,26,28,19,24
2010-06-01,IT,23,28,18,23
2010-07-01,IT,22,28,16,24
2010-08-01,IT,20,24,13,21
2010-09-01,IT,25,30,19,27
2010-10-01,IT,25,28,18,26
2010-11-01,IT,27,26,20,25
2010-12-01,IT,28,26,19,24
2011-01-01,IT,39,39,27,36
2011-02-01,IT,37,41,26,35
2011-03-01,IT,39,42,28,37
2011-04-01,IT,37,45,27,35
2011-05-01,IT,37,44,27,37
2011-06-01,IT,39,45,25,40
2011-07-01,IT,36,44,25,35
2011-08-01,IT,33,39,22,32
2011-09-01,IT,38,44,27,35
2011-10-01,IT,43,45,27,41
2011-11-01,IT,43,44,31,50
2011-12-01,IT,46,44,29,36
2012-01-01,IT,41,39,27,39
2012-02-01,IT,45,44,28,45
2012-03-01,IT,42,45,27,41
2012-04-01,IT,45,45,30,37
2012-05-01,IT,40,45,29,43
2012-06-01,IT,36,42,27,43
2012-07-01,IT,38,46,27,44
2012-08-01,IT,36,42,26,42
2012-09-01,IT,43,48,33,45
2012-10-01,IT,47,45,30,50
2012-11-01,IT,48,45,31,47
2012-12-01,IT,48,44,30,43
2013-01-01,IT,45,42,31,61
2013-02-01,IT,46,46,29,46
2013-03-01,IT,48,47,30,45
2013-04-01,IT,43,47,29,44
2013-05-01,IT,45,47,29,50
2013-06-01,IT,44,48,28,47
2013-07-01,IT,42,50,30,47
2013-08-01,IT,42,49,29,47
2013-09-01,IT,47,50,32,48
2013-10-01,IT,54,48,35,46
2013-11-01,IT,53,46,33,45
2013-12-01,IT,54,49,35,41
2014-01-01,IT,49,45,35,46
2014-02-01,IT,53,50,34,47
2014-03-01,IT,49,47,31,46
2014-04-01,IT,52,51,34,40
2014-05-01,IT,49,48,32,41
2014-06-01,IT,45,48,34,44
2014-07-01,IT,47,49,33,44
2014-08-01,IT,45,51,33,43
2014-09-01,IT,51,47,35,43
2014-10-01,IT,59,49,36,46
2014-11-01,IT,56,49,38,49
2014-12-01,IT,59,49,39,43
2015-01-01,IT,54,48,34,53
2015-02-01,IT,56,51,36,44
2015-03-01,IT,56,51,36,55
2015-04-01,IT,54,54,36,48
2015-05-01,IT,52,50,34,49
2015-06-01,IT,50,51,34,45
2015-07-01,IT,47,54,38,45
2015-08-01,IT,48,58,34,47
2015-09-01,IT,53,54,35,52
2015-10-01,IT,58,56,39,50
2015-11-01,IT,62,55,39,50
2015-12-01,IT,67,56,43,58
2016-01-01,IT,57,54,34,53
2016-02-01,IT,61,54,35,48
2016-03-01,IT,56,55,35,53
2016-04-01,IT,53,54,31,52
2016-05-01,IT,53,56,33,48
2016-06-01,IT,50,60,35,52
2016-07-01,IT,49,61,35,53
2016-08-01,IT,50,59,35,44
2016-09-01,IT,56,59,36,52
2016-10-01,IT,59,59,36,55
2016-11-01,IT,59,56,40,51
2016-12-01,IT,62,57,42,50
2017-01-01,IT,59,55,39,60
2017-02-01,IT,59,60,38,63
2017-03-01,IT,57,61,37,57
2017-04-01,IT,61,63,42,66
2017-05-01,IT,54,63,38,54
2017-06-01,IT,54,67,41,60
2017-07-01,IT,56,73,41,64
2017-08-01,IT,55,75,44,62
2017-09-01,IT,63,70,44,62
2017-10-01,IT,67,69,45,62
2017-11-01,IT,66,65,48,61
2017-12-01,IT,71,68,47,69
2018-01-01,IT,59,67,45,74
2018-02-01,IT,63,61,42,67
2018-03-01,IT,69,71,47,73
2018-04-01,IT,59,70,44,64
2018-05-01,IT,57,67,44,63
2018-06-01,IT,59,73,49,66
2018-07-01,IT,60,76,48,75
2018-08-01,IT,60,80,50,72
2018-09-01,IT,60,76,51,80
2018-10-01,IT,65,74,52,71
2018-11-01,IT,68,71,56,73
2018-12-01,IT,76,73,60,81
2019-01-01,IT,64,70,52,75
2019-02-01,IT,63,70,49,79
2019-03-01,IT,63,70,53,72
2019-04-01,IT,69,74,60,76
2019-05-01,IT,65,74,57,78
2019-06-01,IT,60,76,56,78
2019-07-01,IT,64,82,58,87
2019-08-01,IT,64,88,59,82
2019-09-01,IT,63,79,61,87
2019-10-01,IT,67,75,59,80
2019-11-01,IT,74,76,58,83
2019-12-01,IT,79,73,63,80
2020-01-01,IT,64,73,54,89
2020-02-01,IT,66,72,54,79
2020-03-01,IT,84,40,100,93
2020-04-01,IT,100,40,96,95
2020-05-01,IT,77,47,82,97
2020-06-01,IT,66,65,69,81
2020-07-01,IT,62,78,64,79
2020-08-01,IT,67,93,65,83
2020-09-01,IT,67,74,61,84
2020-10-01,IT,66,63,66,84
2020-11-01,IT,69,42,75,80
2020-12-01,IT,82,45,80,81
2021-01-01,IT,71,41,68,80
2021-02-01,IT,65,52,61,76
2021-03-01,IT,68,38,67,72
2021-04-01,IT,63,42,66,70
2021-05-01,IT,64,70,63,72
2021-06-01,IT,59,77,63,77
2021-07-01,IT,61,86,60,89
2021-08-01,IT,66,100,61,100
2021-09-01,IT,63,78,59,87
2021-10-01,IT,63,74,55,76
2021-11-01,IT,66,68,59,77
2021-12-01,IT,64,60,57,78
2022-01-01,IT,71,65,63,96
2022-02-01,IT,70,77,59,80
2022-03-01,IT,69,70,68,83
2022-04-01,IT,78,82,73,88
2022-05-01,IT,64,75,65,79
2022-06-01,IT,66,82,68,93
2022-07-01,IT,66,82,76,95
2022-08-01,IT,69,90,68,93
2022-09-01,IT,68,73,63,87
2022-10-01,IT,67,74,62,78
