date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,LT,42,51,19,19
2004-02-01,LT,38,52,23,0
2004-03-01,LT,46,61,25,23
2004-04-01,LT,44,32,12,17
2004-05-01,LT,41,42,22,35
2004-06-01,LT,35,26,49,40
2004-07-01,LT,36,38,32,0
2004-08-01,LT,39,35,16,36
2004-09-01,LT,43,46,25,21
2004-10-01,LT,47,52,0,40
2004-11-01,LT,59,33,19,0
2004-12-01,LT,60,52,18,22
2005-01-01,LT,50,60,20,0
2005-02-01,LT,47,48,35,19
2005-03-01,LT,44,57,9,38
2005-04-01,LT,52,51,24,34
2005-05-01,LT,52,50,21,27
2005-06-01,LT,43,53,7,21
2005-07-01,LT,41,58,0,19
2005-08-01,LT,46,53,32,7
2005-09-01,LT,44,63,11,30
2005-10-01,LT,48,55,27,21
2005-11-01,LT,53,62,25,21
2005-12-01,LT,54,66,30,17
2006-01-01,LT,50,63,11,37
2006-02-01,LT,50,70,17,46
2006-03-01,LT,53,62,14,49
2006-04-01,LT,52,63,7,38
2006-05-01,LT,52,66,16,30
2006-06-01,LT,46,70,8,40
2006-07-01,LT,46,56,16,40
2006-08-01,LT,48,49,21,24
2006-09-01,LT,48,57,18,21
2006-10-01,LT,54,64,26,18
2006-11-01,LT,58,77,22,35
2006-12-01,LT,63,82,13,37
2007-01-01,LT,58,72,34,45
2007-02-01,LT,57,80,14,39
2007-03-01,LT,55,78,25,46
2007-04-01,LT,57,62,22,28
2007-05-01,LT,52,67,21,44
2007-06-01,LT,51,64,16,32
2007-07-01,LT,53,59,18,33
2007-08-01,LT,53,67,17,36
2007-09-01,LT,52,58,26,29
2007-10-01,LT,60,78,22,38
2007-11-01,LT,55,67,25,41
2007-12-01,LT,65,69,26,30
2008-01-01,LT,59,69,22,36
2008-02-01,LT,55,81,12,40
2008-03-01,LT,59,62,18,27
2008-04-01,LT,59,67,20,34
2008-05-01,LT,56,63,15,44
2008-06-01,LT,52,68,18,48
2008-07-01,LT,53,62,15,44
2008-08-01,LT,60,57,16,32
2008-09-01,LT,57,57,16,33
2008-10-01,LT,60,68,24,35
2008-11-01,LT,60,63,15,35
2008-12-01,LT,64,67,17,35
2009-01-01,LT,59,59,21,27
2009-02-01,LT,63,65,22,27
2009-03-01,LT,61,58,29,36
2009-04-01,LT,55,52,28,24
2009-05-01,LT,56,54,21,36
2009-06-01,LT,59,55,21,32
2009-07-01,LT,57,52,17,35
2009-08-01,LT,60,52,19,30
2009-09-01,LT,66,57,17,36
2009-10-01,LT,68,58,21,35
2009-11-01,LT,72,62,22,36
