date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,LU,65,64,90,42
2004-02-01,LU,70,91,37,69
2004-03-01,LU,64,65,29,0
2004-04-01,LU,59,80,40,36
2004-05-01,LU,61,64,77,53
2004-06-01,LU,64,75,45,40
2004-07-01,LU,65,77,43,67
2004-08-01,LU,68,75,75,0
2004-09-01,LU,68,71,55,70
2004-10-01,LU,73,78,83,45
2004-11-01,LU,74,81,98,46
2004-12-01,LU,83,70,80,0
2005-01-01,LU,76,100,63,75
2005-02-01,LU,72,100,98,0
2005-03-01,LU,70,96,74,69
2005-04-01,LU,67,77,85,57
2005-05-01,LU,74,88,79,68
2005-06-01,LU,73,76,36,68
2005-07-01,LU,77,80,48,47
2005-08-01,LU,69,86,46,61
2005-09-01,LU,64,71,66,80
2005-10-01,LU,69,61,59,46
2005-11-01,LU,69,91,66,58
2005-12-01,LU,80,78,80,48
2006-01-01,LU,67,61,100,40
2006-02-01,LU,67,81,44,20
2006-03-01,LU,69,88,50,41
2006-04-01,LU,64,76,49,36
2006-05-01,LU,60,68,70,37
2006-06-01,LU,63,79,61,13
2006-07-01,LU,57,68,51,51
2006-08-01,LU,63,87,53,51
2006-09-01,LU,72,89,62,66
2006-10-01,LU,64,68,34,30
2006-11-01,LU,72,79,71,67
2006-12-01,LU,75,76,64,35
2007-01-01,LU,60,62,77,19
2007-02-01,LU,66,83,62,26
2007-03-01,LU,65,81,57,53
2007-04-01,LU,58,74,45,47
2007-05-01,LU,61,77,56,29
2007-06-01,LU,63,82,55,52
2007-07-01,LU,65,86,54,54
2007-08-01,LU,57,69,61,30
2007-09-01,LU,65,79,62,38
2007-10-01,LU,68,82,56,37
2007-11-01,LU,66,73,57,42
2007-12-01,LU,66,67,57,46
2008-01-01,LU,62,83,61,54
2008-02-01,LU,59,72,53,46
2008-03-01,LU,55,65,41,25
2008-04-01,LU,58,77,49,43
2008-05-01,LU,55,68,54,43
2008-06-01,LU,56,60,49,44
2008-07-01,LU,55,71,39,36
2008-08-01,LU,52,55,45,22
2008-09-01,LU,60,68,56,52
2008-10-01,LU,59,68,45,19
2008-11-01,LU,57,71,52,38
2008-12-01,LU,67,66,50,39
2009-01-01,LU,58,64,46,34
2009-02-01,LU,56,61,42,36
2009-03-01,LU,56,65,41,35
2009-04-01,LU,52,53,44,35
2009-05-01,LU,50,55,33,41
2009-06-01,LU,51,58,35,38
2009-07-01,LU,52,67,40,40
2009-08-01,LU,50,53,34,22
2009-09-01,LU,52,57,35,29
2009-10-01,LU,50,49,42,37
2009-11-01,LU,52,57,39,21
2009-12-01,LU,51,50,44,27
2010-01-01,LU,48,47,34,31
2010-02-01,LU,47,59,32,22
2010-03-01,LU,48,50,31,24
2010-04-01,LU,43,52,30,35
2010-05-01,LU,40,44,30,35
2010-06-01,LU,44,49,29,30
2010-07-01,LU,41,51,32,38
2010-08-01,LU,42,44,27,32
2010-09-01,LU,44,49,35,28
2010-10-01,LU,44,47,26,23
2010-11-01,LU,44,47,34,29
2010-12-01,LU,45,45,31,25
2011-01-01,LU,49,45,33,37
2011-02-01,LU,51,49,30,37
2011-03-01,LU,49,49,39,46
2011-04-01,LU,55,48,36,47
2011-05-01,LU,52,51,38,31
2011-06-01,LU,53,54,40,36
2011-07-01,LU,49,51,38,62
2011-08-01,LU,56,49,33,41
2011-09-01,LU,50,48,42,46
2011-10-01,LU,52,48,38,55
2011-11-01,LU,59,50,44,52
2011-12-01,LU,62,48,53,46
2012-01-01,LU,52,49,38,49
2012-02-01,LU,53,50,35,43
2012-03-01,LU,50,48,36,51
2012-04-01,LU,53,47,38,52
2012-05-01,LU,55,47,35,49
2012-06-01,LU,52,49,35,47
2012-07-01,LU,49,48,40,48
2012-08-01,LU,46,50,37,40
2012-09-01,LU,53,49,44,48
2012-10-01,LU,57,47,45,44
2012-11-01,LU,57,51,38,51
2012-12-01,LU,64,46,48,46
2013-01-01,LU,58,44,38,53
2013-02-01,LU,56,49,32,48
2013-03-01,LU,56,45,32,42
2013-04-01,LU,55,47,38,46
2013-05-01,LU,54,45,38,37
2013-06-01,LU,52,44,39,39
2013-07-01,LU,52,49,33,49
2013-08-01,LU,51,45,28,39
2013-09-01,LU,54,42,36,41
2013-10-01,LU,61,47,40,44
2013-11-01,LU,64,45,46,46
2013-12-01,LU,68,43,45,39
2014-01-01,LU,59,41,36,39
2014-02-01,LU,58,48,36,47
2014-03-01,LU,54,43,30,30
2014-04-01,LU,56,44,34,45
2014-05-01,LU,57,44,35,41
2014-06-01,LU,53,40,36,39
2014-07-01,LU,56,50,39,45
2014-08-01,LU,54,45,37,47
2014-09-01,LU,58,44,41,47
2014-10-01,LU,62,45,44,44
2014-11-01,LU,64,46,42,44
2014-12-01,LU,68,43,47,38
2015-01-01,LU,58,41,38,42
2015-02-01,LU,59,44,34,41
2015-03-01,LU,60,51,40,45
2015-04-01,LU,57,43,36,39
2015-05-01,LU,57,44,37,47
2015-06-01,LU,58,46,38,37
2015-07-01,LU,55,53,34,47
2015-08-01,LU,51,43,37,39
2015-09-01,LU,57,44,33,34
2015-10-01,LU,60,41,36,38
2015-11-01,LU,59,44,39,44
2015-12-01,LU,65,42,49,47
2016-01-01,LU,65,46,39,45
2016-02-01,LU,67,55,37,49
2016-03-01,LU,68,54,40,46
2016-04-01,LU,64,50,39,43
2016-05-01,LU,64,54,39,56
2016-06-01,LU,64,53,44,49
2016-07-01,LU,62,56,43,56
2016-08-01,LU,63,56,34,44
2016-09-01,LU,62,54,42,45
