date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,MT,63,61,47,66
2004-02-01,MT,44,42,42,0
2004-03-01,MT,53,49,97,0
2004-04-01,MT,60,0,0,0
2004-05-01,MT,52,72,100,45
2004-06-01,MT,52,21,0,0
2004-07-01,MT,55,16,0,0
2004-08-01,MT,46,24,23,0
2004-09-01,MT,48,21,29,0
2004-10-01,MT,44,34,39,0
2004-11-01,MT,50,45,30,31
2004-12-01,MT,64,59,38,91
2005-01-01,MT,62,14,0,28
2005-02-01,MT,49,22,19,37
2005-03-01,MT,60,28,17,22
2005-04-01,MT,56,42,0,58
2005-05-01,MT,55,30,0,0
2005-06-01,MT,45,34,0,53
2005-07-01,MT,47,35,23,0
2005-08-01,MT,46,36,45,0
2005-09-01,MT,49,49,25,0
2005-10-01,MT,44,14,12,38
2005-11-01,MT,54,31,32,26
2005-12-01,MT,53,33,0,42
2006-01-01,MT,53,36,59,15
2006-02-01,MT,44,34,17,69
2006-03-01,MT,53,19,20,29
2006-04-01,MT,50,29,42,23
2006-05-01,MT,52,30,59,25
2006-06-01,MT,49,19,17,35
2006-07-01,MT,45,37,10,16
2006-08-01,MT,47,38,28,39
2006-09-01,MT,43,34,29,0
2006-10-01,MT,51,37,35,14
2006-11-01,MT,56,44,43,45
2006-12-01,MT,55,39,41,30
2007-01-01,MT,49,38,23,35
2007-02-01,MT,51,46,22,36
2007-03-01,MT,55,35,13,37
2007-04-01,MT,52,33,30,32
2007-05-01,MT,45,39,23,23
2007-06-01,MT,41,3,13,20
2007-07-01,MT,46,37,9,34
2007-08-01,MT,44,32,25,21
2007-09-01,MT,42,34,29,31
2007-10-01,MT,52,40,34,60
2007-11-01,MT,53,34,11,19
2007-12-01,MT,58,53,20,38
2008-01-01,MT,43,37,13,40
2008-02-01,MT,42,22,14,25
2008-03-01,MT,41,30,30,28
2008-04-01,MT,49,38,36,29
2008-05-01,MT,50,42,49,25
2008-06-01,MT,44,33,33,25
2008-07-01,MT,44,38,25,34
2008-08-01,MT,37,34,30,20
2008-09-01,MT,40,34,47,30
2008-10-01,MT,42,28,52,21
2008-11-01,MT,43,33,48,24
2008-12-01,MT,45,33,36,15
2009-01-01,MT,44,28,47,24
2009-02-01,MT,38,35,48,23
2009-03-01,MT,40,30,39,21
2009-04-01,MT,38,29,32,24
2009-05-01,MT,40,26,39,24
2009-06-01,MT,34,29,43,29
2009-07-01,MT,36,35,27,25
2009-08-01,MT,38,32,29,25
2009-09-01,MT,34,38,29,39
2009-10-01,MT,36,27,40,22
2009-11-01,MT,41,29,29,21
2009-12-01,MT,41,35,31,23
2010-01-01,MT,37,26,28,28
2010-02-01,MT,38,31,27,28
2010-03-01,MT,42,32,41,29
2010-04-01,MT,37,24,38,26
2010-05-01,MT,37,31,37,20
2010-06-01,MT,35,27,47,16
