date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,NL,60,75,54,34
2004-02-01,NL,61,75,46,38
2004-03-01,NL,65,72,55,39
2004-04-01,NL,62,68,50,37
2004-05-01,NL,58,72,50,37
2004-06-01,NL,64,71,54,39
2004-07-01,NL,61,73,49,32
2004-08-01,NL,61,70,50,36
2004-09-01,NL,67,77,63,36
2004-10-01,NL,70,85,62,43
2004-11-01,NL,74,97,66,37
2004-12-01,NL,86,91,70,40
2005-01-01,NL,71,84,67,46
2005-02-01,NL,74,84,69,41
2005-03-01,NL,74,85,69,37
2005-04-01,NL,68,80,67,40
2005-05-01,NL,64,79,69,40
2005-06-01,NL,70,82,61,43
2005-07-01,NL,65,71,62,37
2005-08-01,NL,69,76,62,37
2005-09-01,NL,65,76,63,34
2005-10-01,NL,72,86,65,39
2005-11-01,NL,73,88,67,41
2005-12-01,NL,84,95,67,40
2006-01-01,NL,69,87,67,43
2006-02-01,NL,68,80,68,42
2006-03-01,NL,69,88,70,41
2006-04-01,NL,66,84,73,41
2006-05-01,NL,67,83,72,39
2006-06-01,NL,65,81,74,41
2006-07-01,NL,60,77,68,40
2006-08-01,NL,66,92,69,40
2006-09-01,NL,70,89,68,41
2006-10-01,NL,74,99,64,46
2006-11-01,NL,71,100,72,41
2006-12-01,NL,81,95,80,43
2007-01-01,NL,68,89,66,44
2007-02-01,NL,68,96,73,44
2007-03-01,NL,68,87,70,40
2007-04-01,NL,63,84,66,39
2007-05-01,NL,67,89,71,44
2007-06-01,NL,65,90,65,45
2007-07-01,NL,58,85,64,43
2007-08-01,NL,60,81,64,38
2007-09-01,NL,64,92,67,43
2007-10-01,NL,66,91,58,41
2007-11-01,NL,70,94,63,44
2007-12-01,NL,77,86,71,43
2008-01-01,NL,63,86,61,44
2008-02-01,NL,64,86,62,42
2008-03-01,NL,62,85,62,41
2008-04-01,NL,57,82,64,41
2008-05-01,NL,57,73,64,38
2008-06-01,NL,56,75,58,40
2008-07-01,NL,51,76,52,35
2008-08-01,NL,59,78,54,40
2008-09-01,NL,60,74,55,39
2008-10-01,NL,59,78,56,39
2008-11-01,NL,59,77,57,37
2008-12-01,NL,70,74,73,37
2009-01-01,NL,56,69,56,35
2009-02-01,NL,54,71,54,36
2009-03-01,NL,55,69,52,35
2009-04-01,NL,51,62,58,31
2009-05-01,NL,52,65,61,33
2009-06-01,NL,52,69,58,35
2009-07-01,NL,49,64,51,29
2009-08-01,NL,52,63,55,33
