date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,PL,15,20,10,20
2004-02-01,PL,16,22,12,14
2004-03-01,PL,17,21,12,22
2004-04-01,PL,16,22,10,17
2004-05-01,PL,17,24,12,28
2004-06-01,PL,17,24,14,22
2004-07-01,PL,16,24,13,25
2004-08-01,PL,18,24,15,20
2004-09-01,PL,21,27,16,25
2004-10-01,PL,24,28,18,27
2004-11-01,PL,25,33,22,29
2004-12-01,PL,29,33,24,29
2005-01-01,PL,26,38,20,42
2005-02-01,PL,30,38,20,36
2005-03-01,PL,29,34,21,33
2005-04-01,PL,27,37,25,37
2005-05-01,PL,28,35,24,37
2005-06-01,PL,28,38,24,40
2005-07-01,PL,28,36,23,36
2005-08-01,PL,31,36,26,32
2005-09-01,PL,28,40,22,34
2005-10-01,PL,30,44,25,35
2005-11-01,PL,36,48,32,40
2005-12-01,PL,38,49,37,41
2006-01-01,PL,34,48,27,50
2006-02-01,PL,34,50,29,41
2006-03-01,PL,34,45,28,39
2006-04-01,PL,34,42,28,38
2006-05-01,PL,34,46,31,44
2006-06-01,PL,33,46,29,45
2006-07-01,PL,32,47,32,44
2006-08-01,PL,37,46,32,47
2006-09-01,PL,37,42,30,45
2006-10-01,PL,37,50,32,47
2006-11-01,PL,38,53,41,48
2006-12-01,PL,45,50,47,50
2007-01-01,PL,39,54,33,58
2007-02-01,PL,42,56,34,55
2007-03-01,PL,39,51,37,53
2007-04-01,PL,37,47,33,49
2007-05-01,PL,37,49,34,52
2007-06-01,PL,38,50,35,60
2007-07-01,PL,39,47,34,60
2007-08-01,PL,39,50,36,51
2007-09-01,PL,41,48,33,53
2007-10-01,PL,38,53,35,51
2007-11-01,PL,40,55,41,55
2007-12-01,PL,43,53,43,51
2008-01-01,PL,39,57,32,57
2008-02-01,PL,39,54,34,56
2008-03-01,PL,39,46,35,47
2008-04-01,PL,36,50,34,46
2008-05-01,PL,33,47,29,45
2008-06-01,PL,33,49,35,54
2008-07-01,PL,36,45,33,45
2008-08-01,PL,37,45,35,45
2008-09-01,PL,38,49,36,47
2008-10-01,PL,38,51,34,48
2008-11-01,PL,39,54,43,50
2008-12-01,PL,46,52,45,47
2009-01-01,PL,43,56,36,58
2009-02-01,PL,40,54,37,50
2009-03-01,PL,38,50,40,50
2009-04-01,PL,35,44,35,43
2009-05-01,PL,36,47,34,47
2009-06-01,PL,35,47,32,44
2009-07-01,PL,34,43,30,41
2009-08-01,PL,36,42,33,40
2009-09-01,PL,36,42,30,38
2009-10-01,PL,37,44,38,40
2009-11-01,PL,39,47,47,41
2009-12-01,PL,46,43,49,41
2010-01-01,PL,38,46,36,49
2010-02-01,PL,38,49,37,47
2010-03-01,PL,38,44,43,43
2010-04-01,PL,34,40,39,41
2010-05-01,PL,35,45,43,42
2010-06-01,PL,32,41,37,39
2010-07-01,PL,33,38,37,37
2010-08-01,PL,34,39,37,34
2010-09-01,PL,36,40,37,37
2010-10-01,PL,36,40,40,37
2010-11-01,PL,37,43,49,38
2010-12-01,PL,42,41,53,37
2011-01-01,PL,46,58,56,53
2011-02-01,PL,48,55,56,52
2011-03-01,PL,45,52,60,47
2011-04-01,PL,47,46,58,46
2011-05-01,PL,46,52,56,47
2011-06-01,PL,44,51,55,52
2011-07-01,PL,49,55,56,54
2011-08-01,PL,47,50,54,49
2011-09-01,PL,46,49,52,47
2011-10-01,PL,48,53,59,49
2011-11-01,PL,55,55,73,53
2011-12-01,PL,57,53,76,52
2012-01-01,PL,51,56,57,51
2012-02-01,PL,53,57,60,55
2012-03-01,PL,48,53,62,44
2012-04-01,PL,47,50,56,43
2012-05-01,PL,44,48,56,47
2012-06-01,PL,45,51,53,54
2012-07-01,PL,47,52,53,48
2012-08-01,PL,48,51,57,46
2012-09-01,PL,52,53,59,51
2012-10-01,PL,51,52,62,46
