date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,PT,28,22,13,19
2004-02-01,PT,27,24,10,15
2004-03-01,PT,32,25,16,16
2004-04-01,PT,29,25,14,15
2004-05-01,PT,33,25,17,21
2004-06-01,PT,30,22,10,18
2004-07-01,PT,28,30,16,20
2004-08-01,PT,25,24,14,14
2004-09-01,PT,30,26,17,18
2004-10-01,PT,32,34,19,40
2004-11-01,PT,37,32,19,29
2004-12-01,PT,35,32,22,24
2005-01-01,PT,33,31,19,28
2005-02-01,PT,36,30,21,23
2005-03-01,PT,32,26,19,19
2005-04-01,PT,36,34,20,28
2005-05-01,PT,38,34,20,24
2005-06-01,PT,33,27,23,22
2005-07-01,PT,35,35,24,23
2005-08-01,PT,32,32,23,25
2005-09-01,PT,34,32,23,23
2005-10-01,PT,42,30,25,21
2005-11-01,PT,36,34,26,29
2005-12-01,PT,38,38,22,29
2006-01-01,PT,35,33,22,28
2006-02-01,PT,34,37,17,31
2006-03-01,PT,40,34,24,27
2006-04-01,PT,38,36,21,29
2006-05-01,PT,42,42,23,25
2006-06-01,PT,40,39,23,30
2006-07-01,PT,38,38,26,28
2006-08-01,PT,34,33,23,22
2006-09-01,PT,43,38,30,30
2006-10-01,PT,43,40,26,32
2006-11-01,PT,45,40,31,31
2006-12-01,PT,43,41,26,30
2007-01-01,PT,42,39,25,34
2007-02-01,PT,42,43,23,30
2007-03-01,PT,42,44,23,38
2007-04-01,PT,41,41,24,34
2007-05-01,PT,42,40,26,35
2007-06-01,PT,43,42,26,35
2007-07-01,PT,41,41,27,34
2007-08-01,PT,42,40,23,30
2007-09-01,PT,38,38,27,34
2007-10-01,PT,43,41,24,35
2007-11-01,PT,45,45,30,39
2007-12-01,PT,45,44,28,34
2008-01-01,PT,43,43,25,40
2008-02-01,PT,43,42,21,35
2008-03-01,PT,41,44,22,40
2008-04-01,PT,43,43,22,37
2008-05-01,PT,43,49,23,44
2008-06-01,PT,38,38,22,35
2008-07-01,PT,40,43,24,39
2008-08-01,PT,39,41,21,35
2008-09-01,PT,41,43,24,35
2008-10-01,PT,42,39,25,30
2008-11-01,PT,43,43,23,39
2008-12-01,PT,46,44,27,36
2009-01-01,PT,42,43,24,41
2009-02-01,PT,42,42,20,37
2009-03-01,PT,42,41,22,41
2009-04-01,PT,42,41,22,38
2009-05-01,PT,42,43,21,35
2009-06-01,PT,38,37,21,33
2009-07-01,PT,38,41,23,32
2009-08-01,PT,37,39,22,32
2009-09-01,PT,39,41,24,35
2009-10-01,PT,38,42,25,30
2009-11-01,PT,42,41,29,32
2009-12-01,PT,44,44,25,33
2010-01-01,PT,40,39,22,32
2010-02-01,PT,40,43,21,33
2010-03-01,PT,40,42,20,36
2010-04-01,PT,38,40,21,32
2010-05-01,PT,37,38,19,28
2010-06-01,PT,33,37,19,30
2010-07-01,PT,32,37,18,28
2010-08-01,PT,29,32,16,26
2010-09-01,PT,32,35,17,28
2010-10-01,PT,33,33,17,26
2010-11-01,PT,31,30,19,24
2010-12-01,PT,34,32,16,23
2011-01-01,PT,47,40,26,41
2011-02-01,PT,49,41,26,37
2011-03-01,PT,48,42,25,46
2011-04-01,PT,47,44,24,38
2011-05-01,PT,48,45,25,43
2011-06-01,PT,59,39,25,40
2011-07-01,PT,51,45,26,41
2011-08-01,PT,49,41,27,40
2011-09-01,PT,51,53,27,50
2011-10-01,PT,56,51,25,52
2011-11-01,PT,53,46,27,43
2011-12-01,PT,60,50,28,39
2012-01-01,PT,56,47,26,44
2012-02-01,PT,53,51,23,51
2012-03-01,PT,55,62,23,75
2012-04-01,PT,58,53,26,52
2012-05-01,PT,53,48,35,43
2012-06-01,PT,50,46,26,48
2012-07-01,PT,50,45,26,43
2012-08-01,PT,51,48,27,45
2012-09-01,PT,51,52,27,46
2012-10-01,PT,57,47,28,42
2012-11-01,PT,57,47,33,43
2012-12-01,PT,59,47,31,42
2013-01-01,PT,54,46,28,48
2013-02-01,PT,55,49,26,43
2013-03-01,PT,55,44,29,41
2013-04-01,PT,50,43,35,40
2013-05-01,PT,52,48,34,43
2013-06-01,PT,50,44,35,44
2013-07-01,PT,48,48,38,41
2013-08-01,PT,49,48,35,41
2013-09-01,PT,49,47,43,38
2013-10-01,PT,54,47,47,39
