date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,RO,22,24,15,17
2004-02-01,RO,21,29,15,18
2004-03-01,RO,23,32,12,23
2004-04-01,RO,20,22,11,32
2004-05-01,RO,25,29,17,25
2004-06-01,RO,22,19,12,14
2004-07-01,RO,21,30,18,20
2004-08-01,RO,19,24,19,22
2004-09-01,RO,21,24,22,18
2004-10-01,RO,24,31,16,20
2004-11-01,RO,25,36,18,25
2004-12-01,RO,24,36,19,23
2005-01-01,RO,28,42,20,37
2005-02-01,RO,31,46,20,33
2005-03-01,RO,31,40,28,41
2005-04-01,RO,29,41,28,36
2005-05-01,RO,28,42,24,39
2005-06-01,RO,28,37,27,25
2005-07-01,RO,26,38,25,32
2005-08-01,RO,26,38,28,26
2005-09-01,RO,28,41,26,32
2005-10-01,RO,30,46,30,30
2005-11-01,RO,31,53,36,31
2005-12-01,RO,32,48,42,29
2006-01-01,RO,35,57,39,44
2006-02-01,RO,35,61,33,47
2006-03-01,RO,35,60,32,46
2006-04-01,RO,34,53,32,49
2006-05-01,RO,42,57,32,45
2006-06-01,RO,36,60,32,43
2006-07-01,RO,33,56,37,36
2006-08-01,RO,35,51,33,34
2006-09-01,RO,37,60,34,38
2006-10-01,RO,42,66,34,51
2006-11-01,RO,47,66,48,50
2006-12-01,RO,45,62,58,39
2007-01-01,RO,48,72,47,62
2007-02-01,RO,50,76,46,52
2007-03-01,RO,50,73,49,51
2007-04-01,RO,45,65,46,54
2007-05-01,RO,49,64,48,50
2007-06-01,RO,44,62,49,47
2007-07-01,RO,40,58,46,44
2007-08-01,RO,42,58,41,43
2007-09-01,RO,44,59,43,42
2007-10-01,RO,46,63,43,43
2007-11-01,RO,49,74,53,50
2007-12-01,RO,46,61,61,40
2008-01-01,RO,51,67,40,53
2008-02-01,RO,47,68,40,52
2008-03-01,RO,46,57,38,44
2008-04-01,RO,38,51,41,43
2008-05-01,RO,42,57,33,46
2008-06-01,RO,38,50,31,42
2008-07-01,RO,35,47,30,41
2008-08-01,RO,36,48,28,43
2008-09-01,RO,37,50,33,40
2008-10-01,RO,40,49,34,37
2008-11-01,RO,39,50,41,36
2008-12-01,RO,38,48,52,29
2009-01-01,RO,41,51,36,40
2009-02-01,RO,41,51,31,42
2009-03-01,RO,40,46,34,37
2009-04-01,RO,36,40,37,33
2009-05-01,RO,35,41,29,33
2009-06-01,RO,34,39,29,27
2009-07-01,RO,31,34,28,26
2009-08-01,RO,30,33,26,25
2009-09-01,RO,36,33,23,28
2009-10-01,RO,33,37,26,27
2009-11-01,RO,34,39,30,26
2009-12-01,RO,33,32,34,22
2010-01-01,RO,34,37,25,28
2010-02-01,RO,35,40,25,29
2010-03-01,RO,34,36,25,25
2010-04-01,RO,30,35,22,27
2010-05-01,RO,32,35,22,27
2010-06-01,RO,32,34,22,27
2010-07-01,RO,27,30,20,20
2010-08-01,RO,28,31,19,23
2010-09-01,RO,30,32,20,23
2010-10-01,RO,31,33,23,25
2010-11-01,RO,32,35,28,26
2010-12-01,RO,31,31,31,22
2011-01-01,RO,76,73,53,52
2011-02-01,RO,77,77,47,54
2011-03-01,RO,71,73,46,51
2011-04-01,RO,71,63,47,51
2011-05-01,RO,68,61,42,53
2011-06-01,RO,67,68,42,59
2011-07-01,RO,65,69,41,52
2011-08-01,RO,67,70,46,50
2011-09-01,RO,71,73,48,55
2011-10-01,RO,72,68,62,58
2011-11-01,RO,75,74,73,65
2011-12-01,RO,83,66,87,60
2012-01-01,RO,82,74,65,68
2012-02-01,RO,81,73,67,65
2012-03-01,RO,74,70,57,68
2012-04-01,RO,73,62,57,68
2012-05-01,RO,67,65,54,61
2012-06-01,RO,67,67,52,65
2012-07-01,RO,60,59,48,63
2012-08-01,RO,59,59,51,59
2012-09-01,RO,66,60,52,62
2012-10-01,RO,65,55,54,63
2012-11-01,RO,70,53,72,65
2012-12-01,RO,74,61,87,68
2013-01-01,RO,73,68,61,82
2013-02-01,RO,73,73,62,75
2013-03-01,RO,72,63,56,75
2013-04-01,RO,66,59,58,71
2013-05-01,RO,62,56,56,66
2013-06-01,RO,66,67,57,78
2013-07-01,RO,64,58,54,76
2013-08-01,RO,65,57,53,76
2013-09-01,RO,68,63,56,72
2013-10-01,RO,71,62,53,73
2013-11-01,RO,73,66,75,77
2013-12-01,RO,80,66,83,83
2014-01-01,RO,78,65,62,84
2014-02-01,RO,73,63,63,79
2014-03-01,RO,70,63,56,79
2014-04-01,RO,75,64,56,80
2014-05-01,RO,72,70,58,85
2014-06-01,RO,74,67,60,88
2014-07-01,RO,69,67,58,90
2014-08-01,RO,67,66,49,92
2014-09-01,RO,72,71,60,82
2014-10-01,RO,78,66,64,81
2014-11-01,RO,78,72,75,87
2014-12-01,RO,87,71,80,87
2015-01-01,RO,82,86,75,90
2015-02-01,RO,87,90,67,90
2015-03-01,RO,83,84,60,81
2015-04-01,RO,78,74,62,81
2015-05-01,RO,79,87,58,93
2015-06-01,RO,78,84,61,91
2015-07-01,RO,68,74,57,94
2015-08-01,RO,68,71,56,84
2015-09-01,RO,73,68,60,75
2015-10-01,RO,78,76,64,85
2015-11-01,RO,78,75,75,88
2015-12-01,RO,88,78,84,88
2016-01-01,RO,84,84,60,94
2016-02-01,RO,81,82,50,96
2016-03-01,RO,77,81,54,92
2016-04-01,RO,75,72,54,81
2016-05-01,RO,73,75,50,91
2016-06-01,RO,74,70,50,84
2016-07-01,RO,68,74,48,93
2016-08-01,RO,71,70,46,80
2016-09-01,RO,73,70,49,76
2016-10-01,RO,78,70,55,74
2016-11-01,RO,79,73,64,74
2016-12-01,RO,82,59,60,69
2017-01-01,RO,81,79,59,77
2017-02-01,RO,78,71,54,72
2017-03-01,RO,74,69,51,67
