date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,SE,38,56,52,71
2004-02-01,SE,41,59,59,79
2004-03-01,SE,43,70,67,91
2004-04-01,SE,39,61,55,90
2004-05-01,SE,40,61,56,78
2004-06-01,SE,34,59,56,83
2004-07-01,SE,33,54,60,76
2004-08-01,SE,38,60,55,78
2004-09-01,SE,46,62,66,82
2004-10-01,SE,47,69,58,92
2004-11-01,SE,47,67,64,92
2004-12-01,SE,53,63,57,77
2005-01-01,SE,46,64,59,88
2005-02-01,SE,50,67,63,89
2005-03-01,SE,46,63,57,86
2005-04-01,SE,47,70,68,94
2005-05-01,SE,49,73,65,92
2005-06-01,SE,43,63,61,78
2005-07-01,SE,41,61,58,78
2005-08-01,SE,49,72,61,99
2005-09-01,SE,49,66,66,88
2005-10-01,SE,52,67,74,88
2005-11-01,SE,53,69,67,90
2005-12-01,SE,59,68,71,100
2006-01-01,SE,50,72,65,92
2006-02-01,SE,49,69,58,92
2006-03-01,SE,51,74,67,91
2006-04-01,SE,49,68,69,93
2006-05-01,SE,46,73,61,98
2006-06-01,SE,44,67,67,91
2006-07-01,SE,44,64,68,83
2006-08-01,SE,48,73,66,95
2006-09-01,SE,56,70,70,88
2006-10-01,SE,56,76,70,99
2006-11-01,SE,54,72,65,83
2006-12-01,SE,63,67,74,72
2007-01-01,SE,52,69,70,91
2007-02-01,SE,57,73,70,97
2007-03-01,SE,52,73,67,97
2007-04-01,SE,50,70,73,94
2007-05-01,SE,53,72,70,98
2007-06-01,SE,48,67,68,94
2007-07-01,SE,45,65,57,83
2007-08-01,SE,53,70,60,93
2007-09-01,SE,55,69,66,99
2007-10-01,SE,55,65,70,91
2007-11-01,SE,55,71,69,93
2007-12-01,SE,63,56,74,69
2008-01-01,SE,52,63,65,88
2008-02-01,SE,53,70,63,86
2008-03-01,SE,52,64,70,88
2008-04-01,SE,55,69,73,90
2008-05-01,SE,49,67,63,85
2008-06-01,SE,47,63,74,84
2008-07-01,SE,44,60,55,76
2008-08-01,SE,54,69,70,91
2008-09-01,SE,53,58,70,83
2008-10-01,SE,54,62,66,75
2008-11-01,SE,54,58,71,71
2008-12-01,SE,62,55,73,66
2009-01-01,SE,51,57,60,78
2009-02-01,SE,53,58,62,75
2009-03-01,SE,54,63,63,76
2009-04-01,SE,48,53,60,68
2009-05-01,SE,50,55,56,69
2009-06-01,SE,43,53,61,72
2009-07-01,SE,43,52,56,64
2009-08-01,SE,53,57,58,74
2009-09-01,SE,51,58,55,68
2009-10-01,SE,54,55,56,60
2009-11-01,SE,53,56,57,61
2009-12-01,SE,61,49,59,53
2010-01-01,SE,53,53,50,59
2010-02-01,SE,52,52,53,61
2010-03-01,SE,50,53,55,59
2010-04-01,SE,49,53,62,65
2010-05-01,SE,49,54,54,62
2010-06-01,SE,44,53,51,60
2010-07-01,SE,41,45,44,51
2010-08-01,SE,49,54,51,61
2010-09-01,SE,49,50,49,62
2010-10-01,SE,52,55,52,58
2010-11-01,SE,54,54,55,60
2010-12-01,SE,56,55,58,57
2011-01-01,SE,56,58,57,65
2011-02-01,SE,54,59,50,60
2011-03-01,SE,58,64,53,63
2011-04-01,SE,57,60,56,59
2011-05-01,SE,55,63,56,69
2011-06-01,SE,53,62,57,61
2011-07-01,SE,53,59,50,64
2011-08-01,SE,59,65,56,67
2011-09-01,SE,57,64,56,66
2011-10-01,SE,60,66,58,62
2011-11-01,SE,62,65,59,67
2011-12-01,SE,73,63,65,61
2012-01-01,SE,61,62,60,64
2012-02-01,SE,60,65,58,70
2012-03-01,SE,58,64,57,64
2012-04-01,SE,63,67,67,72
2012-05-01,SE,56,66,61,72
2012-06-01,SE,59,64,61,70
2012-07-01,SE,56,68,60,66
2012-08-01,SE,62,68,61,69
2012-09-01,SE,63,65,68,67
2012-10-01,SE,62,65,60,72
2012-11-01,SE,65,65,61,59
2012-12-01,SE,76,66,67,62
2013-01-01,SE,64,67,63,66
2013-02-01,SE,66,68,61,70
2013-03-01,SE,64,64,63,62
2013-04-01,SE,64,62,63,65
2013-05-01,SE,61,66,63,72
2013-06-01,SE,63,64,63,66
2013-07-01,SE,60,69,61,65
2013-08-01,SE,69,73,60,69
2013-09-01,SE,67,66,64,64
2013-10-01,SE,67,73,57,68
2013-11-01,SE,67,61,63,53
2013-12-01,SE,85,65,72,57
2014-01-01,SE,69,65,67,62
2014-02-01,SE,66,64,63,57
2014-03-01,SE,66,65,57,62
2014-04-01,SE,65,67,67,67
2014-05-01,SE,67,68,66,65
2014-06-01,SE,64,67,68,61
2014-07-01,SE,58,67,60,57
2014-08-01,SE,68,73,65,69
2014-09-01,SE,65,64,70,63
2014-10-01,SE,64,70,65,61
2014-11-01,SE,66,66,60,53
2014-12-01,SE,83,65,69,52
2015-01-01,SE,69,67,56,63
2015-02-01,SE,68,63,60,56
2015-03-01,SE,63,63,56,60
2015-04-01,SE,63,63,65,60
2015-05-01,SE,64,66,64,61
2015-06-01,SE,61,67,64,64
2015-07-01,SE,63,71,60,61
2015-08-01,SE,63,69,60,62
2015-09-01,SE,63,64,59,66
2015-10-01,SE,64,68,64,59
2015-11-01,SE,67,64,59,59
2015-12-01,SE,80,62,66,56
2016-01-01,SE,71,69,58,67
2016-02-01,SE,69,70,60,59
2016-03-01,SE,70,70,63,63
2016-04-01,SE,67,70,63,70
2016-05-01,SE,66,70,63,64
2016-06-01,SE,63,75,66,68
2016-07-01,SE,69,78,62,69
2016-08-01,SE,73,77,66,67
2016-09-01,SE,71,76,67,69
2016-10-01,SE,73,74,68,66
2016-11-01,SE,73,74,73,64
2016-12-01,SE,87,70,71,56
2017-01-01,SE,72,72,59,69
2017-02-01,SE,73,77,59,64
2017-03-01,SE,69,74,63,72
2017-04-01,SE,75,76,72,78
2017-05-01,SE,70,77,67,74
2017-06-01,SE,72,85,75,84
2017-07-01,SE,71,87,66,82
2017-08-01,SE,76,83,74,83
2017-09-01,SE,79,77,68,77
2017-10-01,SE,81,81,66,81
2017-11-01,SE,75,75,70,75
2017-12-01,SE,93,76,79,71
2018-01-01,SE,75,74,65,73
2018-02-01,SE,77,85,64,81
2018-03-01,SE,76,83,62,82
2018-04-01,SE,70,77,67,81
2018-05-01,SE,68,78,73,92
2018-06-01,SE,70,88,74,82
2018-07-01,SE,69,93,71,85
2018-08-01,SE,73,87,67,84
2018-09-01,SE,78,79,67,79
2018-10-01,SE,77,82,67,76
2018-11-01,SE,73,78,71,72
2018-12-01,SE,95,78,91,73
2019-01-01,SE,74,76,64,80
2019-02-01,SE,74,78,66,82
2019-03-01,SE,76,78,70,80
2019-04-01,SE,75,78,86,79
2019-05-01,SE,74,84,78,85
2019-06-01,SE,74,83,87,84
2019-07-01,SE,80,92,80,89
2019-08-01,SE,80,91,78,91
2019-09-01,SE,80,82,78,81
2019-10-01,SE,79,79,78,83
2019-11-01,SE,79,80,77,79
2019-12-01,SE,95,78,92,76
2020-01-01,SE,77,77,70,81
2020-02-01,SE,80,78,69,80
2020-03-01,SE,76,60,76,73
2020-04-01,SE,84,61,85,73
2020-05-01,SE,85,69,85,84
2020-06-01,SE,80,74,87,87
2020-07-01,SE,88,93,85,97
2020-08-01,SE,83,84,81,87
2020-09-01,SE,82,79,80,84
2020-10-01,SE,79,73,78,81
2020-11-01,SE,83,62,80,72
2020-12-01,SE,100,66,100,74
2021-01-01,SE,78,65,75,81
2021-02-01,SE,78,70,74,83
2021-03-01,SE,75,68,79,88
2021-04-01,SE,78,71,81,85
2021-05-01,SE,76,78,84,83
2021-06-01,SE,72,80,79,89
2021-07-01,SE,79,100,92,95
2021-08-01,SE,80,91,78,89
2021-09-01,SE,74,80,74,83
2021-10-01,SE,75,78,67,78
2021-11-01,SE,73,76,70,77
2021-12-01,SE,91,74,89,76
2022-01-01,SE,77,69,64,78
2022-02-01,SE,71,70,60,75
2022-03-01,SE,64,66,65,67
2022-04-01,SE,68,70,74,75
2022-05-01,SE,64,74,72,74
2022-06-01,SE,64,74,80,77
2022-07-01,SE,70,82,74,76
2022-08-01,SE,65,75,69,75
2022-09-01,SE,67,67,66,66
2022-10-01,SE,70,66,67,63
