date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,SI,54,30,25,23
2004-02-01,SI,61,35,18,0
2004-03-01,SI,57,54,12,58
2004-04-01,SI,54,89,41,0
2004-05-01,SI,53,68,30,23
2004-06-01,SI,64,48,18,27
2004-07-01,SI,51,55,30,71
2004-08-01,SI,50,55,39,45
2004-09-01,SI,60,43,54,0
2004-10-01,SI,65,43,43,60
2004-11-01,SI,70,75,50,34
2004-12-01,SI,66,58,44,63
2005-01-01,SI,65,50,46,32
2005-02-01,SI,69,54,31,22
2005-03-01,SI,69,47,43,18
2005-04-01,SI,62,75,45,45
2005-05-01,SI,59,73,37,39
2005-06-01,SI,61,40,39,19
2005-07-01,SI,51,64,37,0
2005-08-01,SI,59,51,44,13
2005-09-01,SI,60,38,35,16
2005-10-01,SI,69,62,42,39
2005-11-01,SI,69,77,44,42
2005-12-01,SI,78,48,48,18
2006-01-01,SI,72,56,39,32
2006-02-01,SI,73,47,37,27
2006-03-01,SI,72,61,51,37
2006-04-01,SI,69,64,44,58
2006-05-01,SI,69,58,43,47
2006-06-01,SI,72,72,40,66
2006-07-01,SI,51,59,38,52
2006-08-01,SI,67,70,46,48
2006-09-01,SI,78,80,50,16
2006-10-01,SI,80,87,73,32
2006-11-01,SI,81,70,56,29
2006-12-01,SI,87,69,55,31
2007-01-01,SI,85,80,53,46
2007-02-01,SI,86,80,60,48
2007-03-01,SI,86,81,70,47
2007-04-01,SI,79,67,72,55
2007-05-01,SI,85,60,64,40
2007-06-01,SI,76,75,51,32
2007-07-01,SI,63,77,51,63
2007-08-01,SI,73,83,51,81
2007-09-01,SI,83,68,61,48
2007-10-01,SI,100,69,81,36
2007-11-01,SI,83,69,79,61
2007-12-01,SI,90,65,71,55
2008-01-01,SI,80,77,73,43
2008-02-01,SI,75,72,65,40
2008-03-01,SI,80,67,69,51
2008-04-01,SI,75,63,63,37
2008-05-01,SI,71,68,60,44
2008-06-01,SI,67,63,61,52
2008-07-01,SI,58,59,52,42
2008-08-01,SI,61,59,61,23
2008-09-01,SI,74,74,69,43
2008-10-01,SI,71,71,84,57
2008-11-01,SI,74,72,70,42
2008-12-01,SI,70,63,74,49
2009-01-01,SI,73,71,72,62
2009-02-01,SI,67,59,63,45
2009-03-01,SI,67,70,60,56
2009-04-01,SI,59,52,56,41
2009-05-01,SI,60,55,51,37
2009-06-01,SI,57,49,48,35
2009-07-01,SI,49,54,57,42
2009-08-01,SI,53,58,57,44
2009-09-01,SI,57,58,59,42
2009-10-01,SI,57,63,72,44
2009-11-01,SI,65,56,63,46
2009-12-01,SI,60,55,61,39
2010-01-01,SI,60,53,59,30
2010-02-01,SI,55,60,53,45
2010-03-01,SI,55,51,55,33
2010-04-01,SI,52,52,45,41
2010-05-01,SI,56,51,55,35
2010-06-01,SI,49,49,52,28
2010-07-01,SI,38,49,46,36
2010-08-01,SI,47,51,55,37
2010-09-01,SI,54,50,64,38
2010-10-01,SI,56,55,80,40
2010-11-01,SI,60,48,66,34
2010-12-01,SI,59,51,58,39
2011-01-01,SI,83,78,77,56
2011-02-01,SI,78,70,66,52
2011-03-01,SI,82,73,77,65
2011-04-01,SI,72,61,66,44
2011-05-01,SI,74,70,67,56
2011-06-01,SI,79,63,73,45
2011-07-01,SI,62,64,58,49
2011-08-01,SI,70,69,58,61
2011-09-01,SI,79,73,73,50
2011-10-01,SI,82,71,95,55
2011-11-01,SI,84,69,85,46
2011-12-01,SI,87,72,76,58
2012-01-01,SI,81,75,69,61
2012-02-01,SI,80,65,65,51
2012-03-01,SI,74,62,74,57
2012-04-01,SI,79,70,74,60
2012-05-01,SI,78,71,75,67
2012-06-01,SI,74,72,64,62
2012-07-01,SI,57,65,58,53
2012-08-01,SI,65,66,56,59
2012-09-01,SI,84,63,88,49
2012-10-01,SI,85,67,92,54
2012-11-01,SI,84,66,76,60
2012-12-01,SI,85,67,77,62
2013-01-01,SI,82,69,76,64
2013-02-01,SI,80,68,66,62
2013-03-01,SI,78,66,68,58
2013-04-01,SI,71,66,60,63
2013-05-01,SI,75,67,57,55
2013-06-01,SI,67,58,56,48
2013-07-01,SI,58,59,56,46
2013-08-01,SI,66,64,55,49
2013-09-01,SI,81,61,75,50
2013-10-01,SI,82,61,85,52
2013-11-01,SI,84,55,72,53
2013-12-01,SI,89,61,72,58
2014-01-01,SI,80,68,62,62
2014-02-01,SI,79,58,63,54
2014-03-01,SI,74,56,71,49
2014-04-01,SI,74,58,66,52
2014-05-01,SI,76,61,64,50
2014-06-01,SI,70,56,69,45
2014-07-01,SI,70,64,67,60
2014-08-01,SI,76,77,69,69
2014-09-01,SI,88,73,88,63
2014-10-01,SI,88,71,100,66
2014-11-01,SI,91,73,82,59
2014-12-01,SI,90,59,79,57
2015-01-01,SI,82,66,65,52
2015-02-01,SI,85,69,71,63
2015-03-01,SI,84,69,79,58
2015-04-01,SI,77,66,68,54
2015-05-01,SI,82,69,62,63
2015-06-01,SI,74,66,64,54
2015-07-01,SI,64,56,56,48
2015-08-01,SI,70,69,56,55
2015-09-01,SI,80,63,78,50
2015-10-01,SI,83,64,85,50
2015-11-01,SI,86,67,69,52
2015-12-01,SI,94,69,69,58
2016-01-01,SI,72,53,50,44
2016-02-01,SI,76,65,55,54
2016-03-01,SI,69,60,53,53
2016-04-01,SI,66,55,42,46
2016-05-01,SI,72,59,49,46
2016-06-01,SI,67,64,45,58
2016-07-01,SI,51,58,36,46
2016-08-01,SI,58,59,43,46
2016-09-01,SI,65,63,50,52
2016-10-01,SI,70,67,68,53
2016-11-01,SI,70,61,51,50
2016-12-01,SI,76,63,49,53
2017-01-01,SI,70,61,44,50
2017-02-01,SI,65,62,48,58
2017-03-01,SI,65,61,63,55
2017-04-01,SI,71,70,63,65
2017-05-01,SI,69,68,58,60
2017-06-01,SI,60,64,46,59
2017-07-01,SI,56,65,44,58
2017-08-01,SI,62,71,42,66
2017-09-01,SI,76,71,57,58
2017-10-01,SI,76,71,67,66
2017-11-01,SI,78,71,51,64
2017-12-01,SI,85,77,54,74
2018-01-01,SI,76,81,45,79
2018-02-01,SI,72,69,44,68
2018-03-01,SI,77,73,58,73
2018-04-01,SI,66,69,42,69
2018-05-01,SI,72,76,46,63
2018-06-01,SI,68,76,43,67
2018-07-01,SI,63,84,42,80
2018-08-01,SI,65,88,44,75
2018-09-01,SI,76,75,53,64
2018-10-01,SI,77,80,59,71
2018-11-01,SI,76,80,46,70
2018-12-01,SI,80,84,50,78
2019-01-01,SI,74,74,43,73
2019-02-01,SI,69,73,40,70
2019-03-01,SI,72,77,48,68
2019-04-01,SI,73,81,44,75
2019-05-01,SI,74,77,40,69
2019-06-01,SI,65,83,38,75
2019-07-01,SI,64,85,41,76
2019-08-01,SI,71,92,42,85
2019-09-01,SI,76,84,53,71
2019-10-01,SI,80,82,57,75
2019-11-01,SI,84,82,47,76
2019-12-01,SI,85,85,53,83
2020-01-01,SI,77,77,43,76
2020-02-01,SI,75,76,39,70
2020-03-01,SI,93,56,45,67
2020-04-01,SI,94,63,41,83
2020-05-01,SI,91,81,49,99
2020-06-01,SI,80,81,61,80
2020-07-01,SI,69,76,50,73
2020-08-01,SI,75,90,48,81
2020-09-01,SI,79,75,54,78
2020-10-01,SI,85,77,61,79
2020-11-01,SI,89,56,43,67
2020-12-01,SI,100,60,44,78
2021-01-01,SI,84,70,39,87
2021-02-01,SI,78,76,40,94
2021-03-01,SI,74,77,41,89
2021-04-01,SI,80,82,37,100
2021-05-01,SI,78,86,43,95
2021-06-01,SI,71,86,54,88
2021-07-01,SI,66,92,51,95
2021-08-01,SI,74,98,47,100
2021-09-01,SI,76,82,49,86
2021-10-01,SI,76,82,51,86
2021-11-01,SI,76,76,46,81
2021-12-01,SI,81,70,49,76
2022-01-01,SI,84,89,44,97
2022-02-01,SI,81,88,42,90
2022-03-01,SI,80,83,55,80
2022-04-01,SI,79,90,47,93
2022-05-01,SI,80,90,49,87
2022-06-01,SI,80,92,54,93
2022-07-01,SI,70,96,44,91
2022-08-01,SI,77,100,46,93
2022-09-01,SI,79,85,45,84
2022-10-01,SI,82,88,57,84
2022-11-01,SI,83,86,42,80
2022-12-01,SI,95,89,48,94
2023-01-01,SI,84,85,41,87
2023-02-01,SI,84,87,40,89
2023-03-01,SI,80,80,50,82
2023-04-01,SI,85,91,40,88
