date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,SK,13,19,21,0
2004-02-01,SK,14,17,13,17
2004-03-01,SK,14,13,22,10
2004-04-01,SK,15,20,18,9
2004-05-01,SK,15,13,19,9
2004-06-01,SK,15,20,21,16
2004-07-01,SK,12,15,25,0
2004-08-01,SK,15,10,21,10
2004-09-01,SK,16,15,29,7
2004-10-01,SK,18,26,23,20
2004-11-01,SK,17,20,12,7
2004-12-01,SK,19,27,32,16
2005-01-01,SK,18,17,29,22
2005-02-01,SK,20,26,21,10
2005-03-01,SK,18,34,18,20
2005-04-01,SK,20,23,15,11
2005-05-01,SK,20,28,24,22
2005-06-01,SK,18,23,13,17
2005-07-01,SK,18,27,23,23
2005-08-01,SK,19,23,22,9
2005-09-01,SK,17,21,20,20
2005-10-01,SK,22,26,26,28
2005-11-01,SK,22,23,27,14
2005-12-01,SK,23,29,27,18
2006-01-01,SK,23,27,19,18
2006-02-01,SK,25,31,28,17
2006-03-01,SK,27,31,24,25
2006-04-01,SK,24,33,22,16
2006-05-01,SK,26,32,20,29
2006-06-01,SK,25,30,27,21
2006-07-01,SK,21,30,25,18
2006-08-01,SK,25,31,23,21
2006-09-01,SK,26,32,28,27
2006-10-01,SK,29,31,25,27
2006-11-01,SK,31,37,31,27
2006-12-01,SK,33,39,34,31
2007-01-01,SK,32,38,27,29
2007-02-01,SK,33,33,26,35
2007-03-01,SK,33,41,35,30
2007-04-01,SK,32,35,27,28
2007-05-01,SK,32,38,28,28
2007-06-01,SK,33,39,31,35
2007-07-01,SK,29,36,34,37
2007-08-01,SK,32,41,28,41
2007-09-01,SK,31,40,29,36
2007-10-01,SK,32,41,36,38
2007-11-01,SK,33,49,37,37
2007-12-01,SK,35,47,34,36
2008-01-01,SK,34,37,29,42
2008-02-01,SK,30,33,31,33
2008-03-01,SK,29,34,31,30
2008-04-01,SK,29,36,27,32
2008-05-01,SK,30,34,28,33
2008-06-01,SK,27,36,30,29
2008-07-01,SK,28,38,25,36
2008-08-01,SK,28,39,25,34
2008-09-01,SK,29,36,30,36
2008-10-01,SK,31,39,30,29
2008-11-01,SK,34,49,34,43
2008-12-01,SK,39,49,37,31
2009-01-01,SK,37,41,32,42
2009-02-01,SK,40,46,34,54
2009-03-01,SK,37,38,38,41
2009-04-01,SK,30,38,31,35
2009-05-01,SK,34,36,28,36
2009-06-01,SK,35,39,26,43
2009-07-01,SK,32,39,27,41
2009-08-01,SK,37,34,28,37
2009-09-01,SK,33,36,26,32
2009-10-01,SK,37,37,29,40
2009-11-01,SK,38,45,30,35
2009-12-01,SK,42,46,36,39
2010-01-01,SK,38,40,28,46
2010-02-01,SK,41,40,28,42
2010-03-01,SK,38,37,27,40
2010-04-01,SK,35,36,27,42
2010-05-01,SK,36,35,26,39
2010-06-01,SK,32,35,23,37
2010-07-01,SK,29,32,22,35
2010-08-01,SK,31,34,21,40
2010-09-01,SK,33,32,23,34
2010-10-01,SK,33,34,26,42
2010-11-01,SK,35,41,29,38
2010-12-01,SK,37,45,30,40
2011-01-01,SK,60,51,41,56
2011-02-01,SK,62,54,42,63
2011-03-01,SK,57,56,40,65
2011-04-01,SK,59,52,42,62
2011-05-01,SK,56,52,36,61
2011-06-01,SK,60,55,41,62
2011-07-01,SK,60,57,36,67
