time,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,AT,67,65,41,65
2004-02-01,AT,63,71,39,51
2004-03-01,AT,70,70,46,63
2004-04-01,AT,65,73,42,53
2004-05-01,AT,65,67,40,44
2004-06-01,AT,64,70,52,61
2004-07-01,AT,56,66,49,55
2004-08-01,AT,58,63,42,52
2004-09-01,AT,67,69,45,46
2004-10-01,AT,65,71,44,46
2004-11-01,AT,76,81,48,64
2004-12-01,AT,78,68,50,48
2005-01-01,AT,71,65,47,58
2005-02-01,AT,70,69,43,50
2005-03-01,AT,67,66,55,44
2005-04-01,AT,71,74,50,54
2005-05-01,AT,63,72,48,60
2005-06-01,AT,67,73,42,54
2005-07-01,AT,64,66,46,52
2005-08-01,AT,65,74,44,56
2005-09-01,AT,63,60,50,43
2005-10-01,AT,65,65,48,43
2005-11-01,AT,74,73,58,49
2005-12-01,AT,74,71,62,46
2006-01-01,AT,64,64,55,54
2006-02-01,AT,63,68,50,52
2006-03-01,AT,66,70,53,59
2006-04-01,AT,60,62,45,45
2006-05-01,AT,65,75,47,50
2006-06-01,AT,61,68,46,47
2006-07-01,AT,58,68,45,43
2006-08-01,AT,63,71,44,49
2006-09-01,AT,60,64,47,45
2006-10-01,AT,64,68,42,46
2006-11-01,AT,68,73,50,52
2006-12-01,AT,70,67,53,49
2007-01-01,AT,60,63,47,51
2007-02-01,AT,62,65,49,48
2007-03-01,AT,66,68,47,50
2007-04-01,AT,56,65,46,49
2007-05-01,AT,62,65,46,49
2007-06-01,AT,57,62,44,48
2007-07-01,AT,52,62,42,48
2007-08-01,AT,57,63,44,45
2007-09-01,AT,59,64,47,49
2007-10-01,AT,61,66,46,47
2007-11-01,AT,68,67,51,49
2007-12-01,AT,62,59,58,47
2008-01-01,AT,57,57,47,44
2008-02-01,AT,58,59,46,47
2008-03-01,AT,58,58,48,47
2008-04-01,AT,57,59,48,56
2008-05-01,AT,55,59,47,49
2008-06-01,AT,52,57,46,49
2008-07-01,AT,52,56,44,45
2008-08-01,AT,53,57,45,43
2008-09-01,AT,51,58,45,43
2008-10-01,AT,55,55,48,42
2008-11-01,AT,60,69,51,45
2008-12-01,AT,59,58,57,45
2009-01-01,AT,53,54,45,43
2009-02-01,AT,54,58,46,50
2009-03-01,AT,53,58,46,47
2009-04-01,AT,48,49,43,38
2009-05-01,AT,50,50,40,43
2009-06-01,AT,48,50,40,40
2009-07-01,AT,45,47,40,40
2009-08-01,AT,46,50,40,41
2009-09-01,AT,48,49,41,40
2009-10-01,AT,48,53,41,42
2009-11-01,AT,51,48,41,38
2009-12-01,AT,51,47,49,38
2010-01-01,AT,44,44,38,46
2010-02-01,AT,44,47,38,38
2010-03-01,AT,44,45,41,44
2010-04-01,AT,43,43,38,35
2010-05-01,AT,41,43,36,45
2010-06-01,AT,40,41,36,35
2010-07-01,AT,37,41,34,37
2010-08-01,AT,42,42,33,39
2010-09-01,AT,40,40,34,35
2010-10-01,AT,41,40,34,38
2010-11-01,AT,44,45,37,41
2010-12-01,AT,44,43,43,43
2011-01-01,AT,53,50,43,54
2011-02-01,AT,52,49,44,51
2011-03-01,AT,54,52,42,48
2011-04-01,AT,51,50,42,48
2011-05-01,AT,52,56,43,58
2011-06-01,AT,53,53,45,57
2011-07-01,AT,50,54,43,49
2011-08-01,AT,49,54,42,47
2011-09-01,AT,51,50,41,50
2011-10-01,AT,56,58,43,53
2011-11-01,AT,59,61,43,59
2011-12-01,AT,63,58,52,55
2012-01-01,AT,57,58,44,59
2012-02-01,AT,56,57,42,55
2012-03-01,AT,54,56,42,51
2012-04-01,AT,55,59,44,55
2012-05-01,AT,54,61,44,61
2012-06-01,AT,55,59,43,61
2012-07-01,AT,55,59,44,58
2012-08-01,AT,54,62,44,58
2012-09-01,AT,58,63,42,66
2012-10-01,AT,58,60,44,57
2012-11-01,AT,59,62,39,62
2012-12-01,AT,61,58,56,60
2013-01-01,AT,57,60,43,57
2013-02-01,AT,61,62,43,59
2013-03-01,AT,61,57,44,59
2013-04-01,AT,57,57,41,54
2013-05-01,AT,58,61,42,60
2013-06-01,AT,56,61,49,60
2013-07-01,AT,58,59,43,54
2013-08-01,AT,58,62,48,61
2013-09-01,AT,57,52,42,58
2013-10-01,AT,63,60,44,57
2013-11-01,AT,61,55,44,56
2013-12-01,AT,65,56,63,55
2014-01-01,AT,63,63,45,70
2014-02-01,AT,62,63,43,68
2014-03-01,AT,60,58,50,57
2014-04-01,AT,62,56,50,55
2014-05-01,AT,66,59,45,58
2014-06-01,AT,58,55,49,62
2014-07-01,AT,64,60,48,55
2014-08-01,AT,64,60,47,59
2014-09-01,AT,59,57,48,54
2014-10-01,AT,63,59,48,55
2014-11-01,AT,67,60,50,55
2014-12-01,AT,70,66,66,57
2015-01-01,AT,64,59,50,63
2015-02-01,AT,63,59,51,58
2015-03-01,AT,64,61,53,69
2015-04-01,AT,64,60,54,59
2015-05-01,AT,65,60,54,62
